,Game,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,38.45,8.0,18.0,0.444444444444,0.0,0.0,0.0,0.444444444444,7.0,10.0,0.7,7.0,3.0,23.0,0.513392857143,15.6,11.8,29.1,106.0,104.0
1,2,38.675,10.5,20.5,0.512195121951,1.0,1.0,1.0,0.536585365854,9.0,11.0,0.818181818182,7.0,3.5,31.0,0.611681136543,21.55,13.4,34.2,113.0,110.5
2,3,38.4944444444,9.0,20.3333333333,0.44262295082,0.666666666667,1.0,0.666666666667,0.459016393443,7.66666666667,10.0,0.766666666667,7.33333333333,3.66666666667,26.3333333333,0.532345013477,20.9666666667,11.5333333333,32.9666666667,104.0,111.666666667
3,4,38.4833333333,10.25,20.5,0.5,0.5,0.75,0.666666666667,0.512195121951,6.5,8.5,0.764705882353,7.75,3.75,27.5,0.567244224422,21.025,9.7,32.25,110.75,110.5
4,5,37.0466666667,9.6,19.4,0.494845360825,0.4,0.6,0.666666666667,0.505154639175,5.2,7.0,0.742857142857,6.4,3.2,24.8,0.551601423488,17.94,10.06,30.76,103.8,114.0
5,6,36.7444444444,9.33333333333,20.1666666667,0.462809917355,0.333333333333,0.5,0.666666666667,0.471074380165,5.5,7.16666666667,0.767441860465,6.33333333333,3.16666666667,24.5,0.525300171527,17.2833333333,8.96666666667,32.0333333333,102.333333333,114.166666667
6,7,36.8023809524,9.28571428571,19.7142857143,0.471014492754,0.285714285714,0.428571428571,0.666666666667,0.478260869565,5.42857142857,7.14285714286,0.76,6.85714285714,3.57142857143,24.2857142857,0.53125,20.0,9.54285714286,31.8714285714,103.571428571,112.285714286
7,8,36.1895833333,9.0,18.75,0.48,0.25,0.375,0.666666666667,0.486666666667,5.375,7.25,0.741379310345,7.0,3.625,23.625,0.538400182315,20.45,10.9125,31.325,103.625,111.125
8,9,36.2407407407,8.77777777778,18.3333333333,0.478787878788,0.222222222222,0.444444444444,0.5,0.484848484848,5.33333333333,7.55555555556,0.705882352941,7.33333333333,3.66666666667,23.1111111111,0.533552226554,20.3444444444,11.9777777778,31.3,102.222222222,112.0
9,10,35.6366666667,8.7,18.3,0.475409836066,0.2,0.4,0.5,0.48087431694,5.2,7.4,0.702702702703,7.0,3.5,22.8,0.528855075153,19.29,11.24,31.68,101.4,111.1
10,11,35.1227272727,9.0,18.2727272727,0.492537313433,0.272727272727,0.545454545455,0.5,0.5,4.81818181818,7.0,0.688311688312,7.0,3.54545454545,23.0909090909,0.540701634877,19.9818181818,10.2181818182,31.6818181818,104.818181818,109.727272727
11,12,34.9819444444,8.66666666667,18.1666666667,0.477064220183,0.25,0.5,0.5,0.483944954128,4.58333333333,6.75,0.679012345679,6.75,3.5,22.1666666667,0.524365242075,19.7666666667,10.8333333333,31.7833333333,101.25,110.166666667
12,13,35.2448717949,8.76923076923,18.5384615385,0.473029045643,0.230769230769,0.461538461538,0.5,0.479253112033,4.38461538462,6.46153846154,0.678571428571,7.46153846154,3.92307692308,22.1538461538,0.51806015254,20.9076923077,10.5846153846,31.8615384615,102.230769231,109.615384615
13,14,35.0928571429,8.57142857143,18.4285714286,0.46511627907,0.214285714286,0.428571428571,0.5,0.470930232558,4.28571428571,6.21428571429,0.689655172414,7.42857142857,4.14285714286,21.6428571429,0.511340623734,21.9714285714,10.5285714286,31.6642857143,102.428571429,109.714285714
14,15,34.7955555556,8.73333333333,18.5333333333,0.471223021583,0.2,0.4,0.5,0.476618705036,4.53333333333,6.33333333333,0.715789473684,7.6,3.93333333333,22.2,0.520637898687,21.0066666667,10.3466666667,32.2,103.733333333,108.733333333
15,16,34.7302083333,9.0,18.5,0.486486486486,0.25,0.4375,0.571428571429,0.493243243243,4.3125,6.0625,0.711340206186,7.5,3.875,22.5625,0.532951458604,20.7,10.0125,32.0,106.5625,109.0
16,17,34.1774509804,8.94117647059,18.2352941176,0.490322580645,0.235294117647,0.411764705882,0.571428571429,0.496774193548,4.47058823529,6.17647058824,0.72380952381,7.52941176471,3.82352941176,22.5882352941,0.539023020775,20.7764705882,9.74117647059,31.9941176471,108.294117647,108.529411765
17,18,33.8842592593,8.94444444444,18.1111111111,0.493865030675,0.222222222222,0.388888888889,0.571428571429,0.5,4.38888888889,6.05555555556,0.724770642202,7.55555555556,3.94444444444,22.5,0.541501764895,21.6666666667,10.2222222222,32.1111111111,108.222222222,107.111111111
