,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Carmelo Anthony 2015,28.8,5.0,13.0,0.384615384615,1.0,3.0,0.333333333333,0.423076923077,3.0,4.0,0.75,4.0,3.0,1.0,14.0,0.474254742547,22.1,16.9,28.6,90.0,122.0
1,2,Carmelo Anthony 2015,31.5666666667,7.0,15.0,0.466666666667,1.5,3.5,0.428571428571,0.516666666667,4.0,5.5,0.727272727273,3.0,4.5,0.5,19.5,0.559701492537,28.25,13.0,31.1,106.5,118.5
2,3,Carmelo Anthony 2015,32.6166666667,8.66666666667,17.3333333333,0.5,1.66666666667,3.33333333333,0.5,0.548076923077,3.33333333333,4.66666666667,0.714285714286,2.66666666667,3.66666666667,0.666666666667,22.3333333333,0.575997248968,22.9333333333,11.3,32.7,107.666666667,115.333333333
3,4,Carmelo Anthony 2015,33.675,8.5,18.75,0.453333333333,1.5,3.0,0.5,0.493333333333,2.75,4.0,0.6875,3.5,3.5,0.75,21.25,0.518039980497,22.2,14.15,33.9,98.5,115.0
4,5,Carmelo Anthony 2015,34.6666666667,7.8,19.2,0.40625,1.2,3.2,0.375,0.4375,2.8,4.0,0.7,4.0,4.4,0.6,19.6,0.467557251908,23.82,12.16,32.82,95.0,115.4
5,6,Carmelo Anthony 2015,34.8194444444,7.33333333333,19.3333333333,0.379310344828,1.16666666667,3.33333333333,0.35,0.409482758621,3.66666666667,4.83333333333,0.758620689655,4.0,4.33333333333,0.666666666667,19.5,0.454333643989,22.8166666667,10.8,32.3,95.8333333333,116.166666667
6,7,Carmelo Anthony 2015,35.15,7.42857142857,19.4285714286,0.382352941176,1.28571428571,3.57142857143,0.36,0.415441176471,3.42857142857,4.57142857143,0.75,4.71428571429,4.0,0.571428571429,19.5714285714,0.456423240938,20.8,9.9,31.6571428571,97.2857142857,116.142857143
7,8,Carmelo Anthony 2015,35.9458333333,7.875,20.125,0.391304347826,1.125,3.75,0.3,0.419254658385,3.375,4.625,0.72972972973,5.25,4.375,0.5,20.25,0.45690433213,22.55,9.9,31.925,97.25,114.75
8,9,Carmelo Anthony 2015,35.5240740741,8.11111111111,19.7777777778,0.410112359551,1.22222222222,3.77777777778,0.323529411765,0.441011235955,3.55555555556,4.77777777778,0.744186046512,5.22222222222,4.0,0.555555555556,21.0,0.479890310786,20.8,9.33333333333,31.8333333333,101.555555556,114.0
9,10,Carmelo Anthony 2015,35.8933333333,8.9,20.4,0.436274509804,1.2,3.5,0.342857142857,0.46568627451,4.5,5.9,0.762711864407,5.4,3.7,0.6,23.5,0.510958427553,19.35,8.97,32.99,105.1,114.5
