,Game,FG_G,FGA_G,FG_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G
0,1,7.0,17.0,0.411764705882,1.0,6.0,32.0,0.666,46.6,0.0,34.7
1,2,6.5,17.5,0.371428571429,4.0,8.0,25.0,0.551,42.65,11.25,33.9
2,3,6.0,16.3333333333,0.367346938776,5.33333333333,7.33333333333,25.3333333333,0.582333333333,41.1333333333,11.8333333333,33.3666666667
3,4,6.25,16.75,0.373134328358,6.25,6.75,27.75,0.6055,37.625,12.225,33.625
4,5,6.2,16.0,0.3875,6.8,7.4,27.2,0.628,38.64,14.24,32.46
5,6,6.5,15.8333333333,0.410526315789,6.66666666667,7.16666666667,26.0,0.617833333333,38.75,17.0666666667,32.85
6,7,6.71428571429,17.0,0.394957983193,6.71428571429,7.14285714286,25.4285714286,0.588571428571,38.4428571429,16.8857142857,32.4142857143
7,8,6.875,17.75,0.387323943662,6.375,7.5,25.125,0.572,38.1625,15.25,31.95
8,9,7.22222222222,18.4444444444,0.39156626506,6.33333333333,7.44444444444,26.2222222222,0.571111111111,39.2444444444,15.1,32.4888888889
9,10,7.0,18.3,0.382513661202,6.6,7.2,25.5,0.5603,39.22,15.22,32.19
10,11,6.45454545455,17.3636363636,0.371727748691,6.45454545455,6.90909090909,23.7272727273,0.536090909091,37.2545454545,15.9,30.8545454545
11,12,6.5,16.8333333333,0.386138613861,6.25,6.91666666667,23.75,0.556333333333,37.675,16.9083333333,30.525
12,13,6.61538461538,16.9230769231,0.390909090909,6.38461538462,6.69230769231,24.3846153846,0.565461538462,36.8,16.7153846154,30.7076923077
13,14,6.92857142857,17.2857142857,0.400826446281,6.35714285714,6.64285714286,25.2142857143,0.576357142857,36.9642857143,16.7071428571,31.1142857143
14,15,7.13333333333,18.2,0.391941391941,6.4,6.73333333333,25.2666666667,0.563666666667,36.84,15.7866666667,31.8666666667
15,16,7.0,17.8125,0.39298245614,6.25,6.6875,24.6875,0.5625625,36.39375,16.39375,31.39375
16,17,7.11764705882,17.5882352941,0.404682274247,6.23529411765,6.70588235294,25.2352941176,0.580176470588,35.8294117647,16.6176470588,31.2529411765
17,18,7.05555555556,17.2222222222,0.409677419355,6.11111111111,6.55555555556,25.0,0.588111111111,35.0777777778,16.6444444444,30.8944444444
18,19,7.26315789474,17.2105263158,0.422018348624,6.0,6.52631578947,25.6842105263,0.600315789474,35.3052631579,17.1210526316,31.3578947368
19,20,7.15,17.4,0.41091954023,6.3,6.55,25.15,0.58645,35.135,17.29,31.325
20,21,7.47619047619,17.8571428571,0.418666666667,6.33333333333,6.42857142857,25.5714285714,0.586666666667,34.6142857143,17.1714285714,31.580952381
21,22,7.77272727273,18.5,0.420147420147,6.22727272727,6.5,26.4090909091,0.585909090909,34.8272727273,16.6136363636,31.8090909091
22,23,7.73913043478,18.5652173913,0.416861826698,6.39130434783,6.65217391304,26.3043478261,0.582217391304,35.1347826087,16.3739130435,31.6913043478
23,24,7.875,18.6666666667,0.421875,6.29166666667,6.79166666667,26.9166666667,0.586208333333,35.9041666667,16.1791666667,31.75
24,25,7.88,18.84,0.418259023355,6.32,6.72,26.68,0.57944,35.764,16.08,32.016
25,26,7.76923076923,18.7307692308,0.414784394251,6.30769230769,7.0,26.3461538462,0.575730769231,36.7538461538,15.9961538462,31.7115384615
26,27,8.0,19.0,0.421052631579,6.18518518519,7.0,27.0,0.580111111111,37.3592592593,15.5185185185,32.1703703704
27,28,8.07142857143,18.9285714286,0.42641509434,6.25,7.10714285714,27.1785714286,0.585571428571,37.6464285714,15.2642857143,31.95
28,29,8.13793103448,18.8965517241,0.430656934307,6.10344827586,7.03448275862,27.2068965517,0.58875862069,37.2827586207,15.7862068966,32.0379310345
29,30,8.26666666667,19.0333333333,0.434325744308,6.1,6.93333333333,27.4,0.590233333333,36.7933333333,15.4966666667,32.0733333333
30,31,8.38709677419,19.0322580645,0.440677966102,6.12903225806,6.90322580645,27.6774193548,0.599161290323,36.9612903226,15.1451612903,31.9774193548
31,32,8.28125,18.84375,0.439469320066,6.0,6.78125,27.15625,0.59365625,36.509375,15.540625,31.9375
32,33,8.30303030303,18.7878787879,0.441935483871,5.9696969697,6.63636363636,27.1818181818,0.596787878788,35.8060606061,15.4636363636,32.0393939394
33,34,8.26470588235,18.8823529412,0.43769470405,5.85294117647,6.55882352941,26.9705882353,0.591852941176,35.1382352941,15.2411764706,31.8735294118
34,35,8.2,18.8571428571,0.434848484848,5.88571428571,6.62857142857,26.8,0.589171428571,35.3685714286,15.5171428571,31.9885714286
35,36,8.19444444444,18.8055555556,0.435745937962,5.83333333333,6.69444444444,26.75,0.590472222222,35.7611111111,15.4555555556,31.9944444444
36,37,8.18918918919,18.6756756757,0.438494934877,5.75675675676,6.64864864865,26.8378378378,0.596027027027,35.6621621622,15.6918918919,32.0135135135
37,38,8.21052631579,18.5263157895,0.443181818182,5.68421052632,6.63157894737,26.9210526316,0.604236842105,35.6842105263,15.5631578947,31.8921052632
38,39,8.25641025641,18.4615384615,0.447222222222,5.64102564103,6.71794871795,26.8974358974,0.606615384615,35.8743589744,15.8641025641,31.8102564103
39,40,8.275,18.375,0.450340136054,5.725,6.8,27.0,0.6119,36.0675,15.705,31.6475
