,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,LaMarcus Aldridge 2015,34.1,10.0,19.0,0.526315789474,1.0,1.0,1.0,0.552631578947,6.0,8.0,0.75,3.0,2.0,27.0,0.59946714032,11.3,8.2,32.4,120.0,102.0
1,2,LaMarcus Aldridge 2015,35.8333333333,8.5,18.5,0.459459459459,1.0,2.0,0.5,0.486486486486,6.5,8.0,0.8125,3.5,2.5,24.5,0.556312443233,13.3,6.3,30.4,115.0,111.0
2,3,LaMarcus Aldridge 2015,34.9555555556,9.0,19.0,0.473684210526,0.666666666667,2.0,0.333333333333,0.491228070175,6.33333333333,8.0,0.791666666667,6.66666666667,2.0,25.0,0.555062166963,11.0,7.96666666667,31.1666666667,113.0,105.333333333
3,4,LaMarcus Aldridge 2015,35.5083333333,8.5,18.0,0.472222222222,0.5,1.75,0.285714285714,0.486111111111,5.25,6.5,0.807692307692,6.0,2.0,22.75,0.545302013423,10.55,8.775,29.325,109.5,103.25
4,5,LaMarcus Aldridge 2015,34.3866666667,8.8,17.6,0.5,0.4,1.6,0.25,0.511363636364,4.2,5.4,0.777777777778,6.2,1.6,22.2,0.55566680016,8.44,8.16,28.94,111.2,102.4
5,6,LaMarcus Aldridge 2015,35.1527777778,8.5,18.3333333333,0.463636363636,0.5,1.66666666667,0.3,0.477272727273,4.5,5.5,0.818181818182,6.83333333333,1.66666666667,22.0,0.530035335689,8.53333333333,7.45,29.0333333333,108.666666667,104.333333333
6,7,LaMarcus Aldridge 2015,35.3023809524,9.0,19.4285714286,0.463235294118,0.571428571429,1.57142857143,0.363636363636,0.477941176471,4.28571428571,5.28571428571,0.810810810811,7.14285714286,2.0,22.8571428571,0.525348043079,9.91428571429,6.88571428571,29.5714285714,109.714285714,104.142857143
7,8,LaMarcus Aldridge 2015,35.7458333333,9.125,19.625,0.464968152866,0.5,1.375,0.363636363636,0.477707006369,4.375,5.25,0.833333333333,8.0,2.125,23.125,0.527125598359,10.35,6.025,29.075,112.125,104.875
8,9,LaMarcus Aldridge 2015,35.1574074074,8.55555555556,18.6666666667,0.458333333333,0.555555555556,1.33333333333,0.416666666667,0.473214285714,4.22222222222,5.0,0.844444444444,7.88888888889,2.22222222222,21.8888888889,0.524494142705,10.5555555556,5.35555555556,27.7222222222,112.888888889,105.0
9,10,LaMarcus Aldridge 2015,35.1574074074,8.55555555556,18.6666666667,0.458333333333,0.555555555556,1.33333333333,0.416666666667,0.473214285714,4.22222222222,5.0,0.844444444444,7.88888888889,2.22222222222,21.8888888889,0.524494142705,10.5555555556,5.35555555556,27.7222222222,112.888888889,105.0
10,11,LaMarcus Aldridge 2015,35.2983333333,8.6,18.6,0.462365591398,0.5,1.2,0.416666666667,0.475806451613,4.2,4.9,0.857142857143,8.0,2.2,21.9,0.527558296396,10.5,4.82,27.44,114.3,104.7
11,12,LaMarcus Aldridge 2015,34.6454545455,8.36363636364,18.0909090909,0.462311557789,0.636363636364,1.27272727273,0.5,0.479899497487,4.0,4.72727272727,0.846153846154,8.09090909091,2.36363636364,21.3636363636,0.529565530918,11.7,4.38181818182,27.0454545455,115.454545455,102.909090909
12,13,LaMarcus Aldridge 2015,34.8625,8.25,18.3333333333,0.45,0.583333333333,1.16666666667,0.5,0.465909090909,4.16666666667,4.91666666667,0.847457627119,8.58333333333,2.33333333333,21.25,0.518376971865,11.4916666667,4.35,27.275,113.75,101.916666667
13,14,LaMarcus Aldridge 2015,34.7641025641,8.61538461538,18.4615384615,0.466666666667,0.615384615385,1.15384615385,0.533333333333,0.483333333333,4.30769230769,5.07692307692,0.848484848485,8.76923076923,2.38461538462,22.1538461538,0.535236396075,11.9076923077,4.33846153846,27.5,117.0,102.846153846
14,15,LaMarcus Aldridge 2015,34.8,8.21428571429,18.4285714286,0.445736434109,0.571428571429,1.07142857143,0.533333333333,0.461240310078,4.21428571429,5.14285714286,0.819444444444,9.14285714286,2.35714285714,21.2142857143,0.512634631317,11.6142857143,4.35714285714,27.4714285714,112.571428571,102.285714286
15,16,LaMarcus Aldridge 2015,34.88,8.13333333333,18.4666666667,0.440433212996,0.533333333333,1.06666666667,0.5,0.454873646209,4.26666666667,5.2,0.820512820513,9.2,2.33333333333,21.0666666667,0.507516381858,11.44,4.88,27.6,111.133333333,102.933333333
16,17,LaMarcus Aldridge 2015,34.9395833333,8.3125,18.375,0.452380952381,0.5,1.0,0.5,0.465986394558,4.25,5.125,0.829268292683,9.5625,2.3125,21.375,0.518056228793,11.4125,4.89375,27.3125,113.0625,102.375
