,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,LeBron James 2015,43.2333333333,5.0,15.0,0.333333333333,1.0,5.0,0.2,0.366666666667,6.0,7.0,0.857142857143,5.0,4.0,0.0,17.0,0.470132743363,16.8,30.7,29.6,75.0,117.0
1,2,LeBron James 2015,42.45,9.5,22.5,0.422222222222,1.0,4.0,0.25,0.444444444444,6.5,8.0,0.8125,6.5,4.5,2.0,26.5,0.509223674097,22.1,19.4,33.25,95.5,107.0
2,3,LeBron James 2015,39.9444444444,7.66666666667,19.0,0.40350877193,1.33333333333,4.0,0.333333333333,0.438596491228,4.66666666667,5.66666666667,0.823529411765,6.66666666667,5.33333333333,1.66666666667,21.3333333333,0.496277915633,27.3,19.4,28.9,94.0,109.0
3,4,LeBron James 2015,40.4666666667,7.75,18.75,0.413333333333,1.75,4.25,0.411764705882,0.46,6.5,7.25,0.896551724138,5.75,5.0,2.0,23.75,0.541248860529,25.95,18.225,29.35,101.75,110.75
4,5,LeBron James 2015,40.3,7.8,18.6,0.41935483871,1.6,4.4,0.363636363636,0.462365591398,6.2,7.0,0.885714285714,6.0,6.2,1.8,23.4,0.539667896679,29.56,17.12,28.86,103.2,109.2
5,6,LeBron James 2015,40.3222222222,8.0,18.3333333333,0.436363636364,1.5,4.16666666667,0.36,0.477272727273,7.33333333333,8.66666666667,0.846153846154,6.83333333333,6.66666666667,1.66666666667,24.8333333333,0.560656231186,30.7,16.6,29.5166666667,108.166666667,111.0
6,7,LeBron James 2015,40.3976190476,9.14285714286,19.5714285714,0.467153284672,1.71428571429,4.71428571429,0.363636363636,0.510948905109,7.14285714286,8.71428571429,0.819672131148,6.42857142857,6.71428571429,1.42857142857,27.1428571429,0.579833984375,31.1714285714,15.4857142857,30.3714285714,110.857142857,112.428571429
7,8,LeBron James 2015,38.9604166667,9.625,19.625,0.490445859873,2.0,4.75,0.421052631579,0.541401273885,6.5,8.125,0.8,6.375,6.75,1.25,27.75,0.598060344828,32.575,15.0625,31.3,114.0,110.875
8,9,LeBron James 2015,39.1388888889,9.44444444444,19.4444444444,0.485714285714,1.88888888889,4.66666666667,0.404761904762,0.534285714286,6.33333333333,8.0,0.791666666667,6.66666666667,6.55555555556,1.11111111111,27.1111111111,0.590284497774,31.6333333333,15.1555555556,30.9888888889,112.222222222,111.111111111
9,10,LeBron James 2015,38.635,9.1,19.2,0.473958333333,1.9,4.5,0.422222222222,0.5234375,5.8,7.3,0.794520547945,6.6,6.8,1.1,25.9,0.577815456006,32.91,15.87,30.91,109.9,110.3
10,11,LeBron James 2015,38.6712121212,9.0,19.3636363636,0.464788732394,1.90909090909,4.72727272727,0.403846153846,0.514084507042,5.63636363636,7.27272727273,0.775,6.36363636364,6.54545454545,1.09090909091,25.5454545455,0.566075745367,32.5272727273,15.4363636364,31.0090909091,108.363636364,109.636363636
11,12,LeBron James 2015,38.5555555556,8.75,18.75,0.466666666667,1.83333333333,4.66666666667,0.392857142857,0.515555555556,5.33333333333,6.91666666667,0.771084337349,5.91666666667,6.83333333333,1.08333333333,24.6666666667,0.565922300398,33.75,16.425,30.1833333333,107.5,110.333333333
12,13,LeBron James 2015,37.9743589744,8.76923076923,18.6153846154,0.471074380165,1.84615384615,4.61538461538,0.4,0.520661157025,5.61538461538,7.23076923077,0.776595744681,5.76923076923,7.15384615385,1.23076923077,25.0,0.573475437606,35.8230769231,15.5,30.5076923077,110.615384615,108.307692308
