,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Marc Gasol 2015,36.9166666667,12.0,17.0,0.705882352941,0.0,0.0,0.0,0.705882352941,8.0,10.0,0.8,9.0,3.0,32.0,0.747663551402,14.2,12.3,29.4,138.0,99.0
1,2,Marc Gasol 2015,34.875,10.5,16.5,0.636363636364,0.0,0.0,0.0,0.636363636364,5.0,6.5,0.769230769231,7.5,2.5,26.0,0.671487603306,13.8,11.35,28.85,121.5,97.0
2,3,Marc Gasol 2015,35.1333333333,10.0,17.0,0.588235294118,0.0,0.0,0.0,0.588235294118,4.66666666667,6.0,0.777777777778,7.66666666667,2.33333333333,24.6666666667,0.627970128988,14.5333333333,13.0666666667,29.7,112.333333333,90.6666666667
3,4,Marc Gasol 2015,36.3458333333,8.5,15.25,0.55737704918,0.0,0.0,0.0,0.55737704918,5.5,7.5,0.733333333333,8.5,2.25,22.5,0.606469002695,13.2,11.325,27.0,112.75,89.5
4,5,Marc Gasol 2015,36.1533333333,8.0,14.6,0.547945205479,0.0,0.0,0.0,0.547945205479,5.6,7.2,0.777777777778,7.8,3.0,21.6,0.60783430887,15.66,13.36,26.48,112.6,90.0
5,6,Marc Gasol 2015,36.9222222222,7.33333333333,14.0,0.52380952381,0.0,0.0,0.0,0.52380952381,4.66666666667,6.0,0.777777777778,8.0,3.0,19.3333333333,0.580929487179,15.0666666667,16.35,25.3166666667,105.0,92.0
6,7,Marc Gasol 2015,36.4833333333,6.85714285714,13.5714285714,0.505263157895,0.0,0.0,0.0,0.505263157895,5.42857142857,6.71428571429,0.808510638298,7.42857142857,2.71428571429,19.1428571429,0.57918395574,13.7857142857,16.2857142857,25.1714285714,105.857142857,93.4285714286
7,8,Marc Gasol 2015,35.94375,6.375,13.125,0.485714285714,0.0,0.0,0.0,0.485714285714,5.0,6.125,0.816326530612,7.5,3.5,17.75,0.560998735777,16.6625,16.1875,24.375,106.125,96.5
8,9,Marc Gasol 2015,36.1074074074,6.22222222222,13.1111111111,0.474576271186,0.0,0.0,0.0,0.474576271186,5.55555555556,6.66666666667,0.833333333333,7.44444444444,3.33333333333,18.0,0.560941828255,15.6888888889,15.5111111111,24.4666666667,107.333333333,99.0
9,10,Marc Gasol 2015,36.2766666667,6.2,13.4,0.462686567164,0.0,0.1,0.0,0.462686567164,6.1,7.2,0.847222222222,7.5,3.3,18.5,0.558305166586,15.68,14.41,24.63,108.8,98.7
