,Game,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,32.65,11.0,26.0,0.423076923077,1.0,2.0,0.5,0.442307692308,15.0,16.0,0.9375,3.0,6.0,38.0,0.575060532688,52.4,5.7,48.9,127.0,118.0
1,2,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
2,3,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
3,4,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
4,5,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
5,6,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
6,7,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
7,8,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
8,9,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
9,10,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
10,11,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
11,12,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
12,13,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
13,14,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
14,15,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
15,16,20.6833333333,6.0,14.5,0.413793103448,0.5,1.5,0.333333333333,0.431034482759,7.5,8.0,0.9375,1.5,5.0,20.0,0.554938956715,75.15,27.85,40.65,95.0,108.0
16,17,21.7222222222,8.0,15.3333333333,0.521739130435,1.33333333333,2.33333333333,0.571428571429,0.565217391304,6.66666666667,7.66666666667,0.869565217391,3.33333333333,6.0,24.0,0.64148253742,83.4333333333,22.9,41.2,115.0,101.333333333
17,18,24.55,7.5,16.5,0.454545454545,1.25,2.75,0.454545454545,0.492424242424,7.0,8.0,0.875,4.0,6.25,23.25,0.580669330669,71.575,22.825,40.875,107.0,102.75
18,19,25.7833333333,7.6,16.0,0.475,1.2,2.8,0.428571428571,0.5125,7.6,9.2,0.826086956522,4.2,6.4,24.0,0.598563447725,66.98,22.84,40.82,107.8,101.0
19,20,27.2638888889,7.83333333333,16.5,0.474747474747,1.16666666667,2.83333333333,0.411764705882,0.510101010101,6.83333333333,8.66666666667,0.788461538462,5.33333333333,6.5,23.6666666667,0.582540203479,61.9,21.6333333333,39.4166666667,106.833333333,101.5
20,21,27.9571428571,7.85714285714,16.4285714286,0.478260869565,1.0,2.71428571429,0.368421052632,0.508695652174,7.57142857143,9.57142857143,0.791044776119,5.28571428571,6.57142857143,24.2857142857,0.588316722038,58.2,21.1285714286,38.8285714286,108.857142857,101.142857143
21,22,28.93125,8.375,17.375,0.482014388489,0.875,2.625,0.333333333333,0.507194244604,6.875,8.625,0.797101449275,5.5,6.75,24.5,0.578649031649,57.0625,20.225,38.475,108.125,101.375
22,23,29.6888888889,8.77777777778,17.5555555556,0.5,1.0,2.66666666667,0.375,0.528481012658,7.0,8.66666666667,0.807692307692,5.55555555556,6.66666666667,25.5555555556,0.597961730449,53.8222222222,19.6222222222,37.7333333333,111.777777778,101.0
23,24,29.3716666667,8.6,17.6,0.488636363636,1.0,2.8,0.357142857143,0.517045454545,7.6,9.1,0.835164835165,5.8,6.8,25.8,0.597111645991,53.94,18.78,38.24,113.8,99.6
24,25,29.5954545455,8.81818181818,17.8181818182,0.494897959184,1.0,2.81818181818,0.354838709677,0.522959183673,7.72727272727,9.36363636364,0.825242718447,5.81818181818,6.81818181818,26.3636363636,0.600861926073,52.9636363636,17.4181818182,38.1090909091,116.090909091,99.0
25,26,30.4777777778,9.0,18.8333333333,0.477876106195,1.16666666667,3.41666666667,0.341463414634,0.508849557522,7.75,9.58333333333,0.808695652174,5.58333333333,6.91666666667,26.9166666667,0.583875632683,51.4083333333,17.175,38.6166666667,114.333333333,100.5
26,27,30.9217948718,9.0,19.0769230769,0.471774193548,1.07692307692,3.23076923077,0.333333333333,0.5,8.15384615385,9.84615384615,0.828125,5.53846153846,7.15384615385,27.2307692308,0.581624605678,51.5153846154,16.1230769231,38.4153846154,115.307692308,101.384615385
27,28,31.2011904762,9.07142857143,19.6428571429,0.461818181818,1.0,3.42857142857,0.291666666667,0.487272727273,8.21428571429,9.92857142857,0.827338129496,5.5,7.21428571429,27.3571428571,0.56966920514,51.0857142857,16.1071428571,39.0714285714,114.142857143,101.928571429
28,29,31.6944444444,9.53333333333,20.6,0.462783171521,1.0,3.53333333333,0.283018867925,0.487055016181,8.13333333333,9.86666666667,0.824324324324,5.8,7.13333333333,28.2,0.565326633166,49.9666666667,15.3666666667,39.5533333333,114.266666667,102.266666667
29,30,31.8802083333,9.8125,21.0625,0.46587537092,0.9375,3.375,0.277777777778,0.488130563798,8.0,9.75,0.820512820513,5.75,7.375,28.5625,0.563307366137,51.05,15.1125,39.83125,114.5625,102.25
30,31,31.5019607843,9.88235294118,21.0588235294,0.469273743017,0.941176470588,3.23529411765,0.290909090909,0.491620111732,7.88235294118,9.52941176471,0.827160493827,5.52941176471,7.23529411765,28.5882352941,0.566064107343,51.6823529412,15.4117647059,40.5235294118,114.0,101.0
31,32,31.7722222222,9.66666666667,21.1666666667,0.456692913386,0.888888888889,3.11111111111,0.285714285714,0.477690288714,7.77777777778,9.5,0.818713450292,5.72222222222,7.33333333333,28.0,0.552340873225,50.5888888889,15.4222222222,40.2722222222,112.277777778,100.888888889
32,33,31.0087719298,9.42105263158,20.7368421053,0.454314720812,0.894736842105,3.05263157895,0.293103448276,0.475888324873,7.84210526316,9.52631578947,0.82320441989,5.63157894737,7.15789473684,27.5789473684,0.553162739633,50.4473684211,14.8947368421,40.3947368421,113.578947368,102.0
33,34,30.9566666667,9.35,20.85,0.448441247002,0.85,3.05,0.27868852459,0.468824940048,7.75,9.4,0.824468085106,5.5,7.1,27.3,0.546305931322,49.465,14.505,40.595,112.55,102.2
34,35,30.8849206349,9.14285714286,20.8571428571,0.438356164384,0.857142857143,3.14285714286,0.272727272727,0.458904109589,7.90476190476,9.61904761905,0.821782178218,5.57142857143,7.0,27.0476190476,0.539022168236,48.8857142857,14.1428571429,40.4857142857,111.761904762,103.0
35,36,30.7287878788,8.86363636364,20.7727272727,0.426695842451,0.818181818182,3.22727272727,0.253521126761,0.446389496718,7.72727272727,9.40909090909,0.821256038647,5.63636363636,6.86363636364,26.2727272727,0.52729528536,48.0,14.6272727273,40.4681818182,108.954545455,102.954545455
36,37,31.0231884058,8.86956521739,20.6086956522,0.430379746835,0.826086956522,3.13043478261,0.263888888889,0.450421940928,7.65217391304,9.26086956522,0.826291079812,5.5652173913,7.08695652174,26.2173913043,0.531071655041,48.1043478261,14.5695652174,39.8652173913,109.782608696,102.739130435
37,38,31.3048611111,8.75,20.2916666667,0.431211498973,0.833333333333,3.125,0.266666666667,0.451745379877,7.45833333333,9.04166666667,0.824884792627,5.66666666667,7.125,25.7916666667,0.531348715836,47.6458333333,15.425,39.2958333333,108.875,103.0
