,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Stephen Curry 2015,36.5333333333,7.0,17.0,0.411764705882,2.0,9.0,0.222222222222,0.470588235294,8.0,9.0,0.888888888889,10.0,5.0,6.0,24.0,0.572519083969,27.6,16.0,29.5,105.0,61.0
1,2,Stephen Curry 2015,35.3166666667,8.5,18.0,0.472222222222,2.5,8.5,0.294117647059,0.541666666667,8.0,8.5,0.941176470588,7.5,7.5,4.5,27.5,0.632474701012,35.85,12.1,29.7,128.5,79.5
2,3,Stephen Curry 2015,33.8222222222,7.66666666667,18.0,0.425925925926,2.0,7.33333333333,0.272727272727,0.481481481481,8.0,8.33333333333,0.96,6.66666666667,7.0,3.66666666667,25.3333333333,0.584615384615,35.5666666667,12.1333333333,31.6666666667,118.333333333,83.6666666667
3,4,Stephen Curry 2015,33.8208333333,8.0,18.0,0.444444444444,2.5,7.5,0.333333333333,0.513888888889,7.5,7.75,0.967741935484,6.5,7.0,3.0,26.0,0.607192900514,34.9,13.975,32.35,118.0,88.75
4,5,Stephen Curry 2015,35.05,9.0,18.2,0.494505494505,3.2,7.8,0.410256410256,0.582417582418,6.4,6.6,0.969696969697,7.0,6.6,3.2,27.6,0.653904473086,33.06,15.2,30.84,121.6,87.0
5,6,Stephen Curry 2015,34.8861111111,9.16666666667,18.5,0.495495495495,3.33333333333,8.16666666667,0.408163265306,0.585585585586,6.0,6.16666666667,0.972972972973,6.16666666667,7.16666666667,3.5,27.6666666667,0.652105593966,39.9666666667,17.9166666667,32.85,117.833333333,88.8333333333
6,7,Stephen Curry 2015,35.0119047619,8.85714285714,18.4285714286,0.480620155039,2.85714285714,8.0,0.357142857143,0.558139534884,5.42857142857,5.57142857143,0.974358974359,6.14285714286,6.85714285714,3.0,26.0,0.622605363985,37.6142857143,17.3142857143,32.4428571429,112.571428571,93.2857142857
7,8,Stephen Curry 2015,34.6270833333,8.5,17.625,0.482269503546,2.875,7.875,0.365079365079,0.563829787234,5.0,5.125,0.975609756098,5.75,6.625,2.625,24.875,0.625628772636,35.85,17.5125,31.125,113.0,95.375
8,9,Stephen Curry 2015,33.9240740741,8.44444444444,17.3333333333,0.487179487179,2.88888888889,7.66666666667,0.376811594203,0.570512820513,4.44444444444,4.66666666667,0.952380952381,5.66666666667,6.88888888889,2.44444444444,24.2222222222,0.624713434204,37.2666666667,16.2444444444,30.5555555556,115.666666667,95.1111111111
9,10,Stephen Curry 2015,33.525,8.6,17.5,0.491428571429,3.1,7.8,0.397435897436,0.58,4.5,4.7,0.957446808511,5.5,7.7,2.3,24.8,0.633687653312,41.57,15.86,30.82,118.8,96.9
10,11,Stephen Curry 2015,32.7045454545,8.09090909091,16.7272727273,0.483695652174,3.0,7.63636363636,0.392857142857,0.573369565217,4.09090909091,4.27272727273,0.957446808511,5.45454545455,7.90909090909,2.27272727273,23.2727272727,0.62536642564,42.8636363636,17.2181818182,30.2545454545,116.0,96.0
11,12,Stephen Curry 2015,33.1555555556,7.83333333333,16.5833333333,0.472361809045,2.91666666667,7.5,0.388888888889,0.560301507538,4.0,4.25,0.941176470588,5.5,7.75,2.16666666667,22.5833333333,0.611903901734,41.65,16.25,29.3916666667,114.416666667,95.6666666667
12,13,Stephen Curry 2015,33.4576923077,8.15384615385,16.7692307692,0.48623853211,3.30769230769,7.76923076923,0.425742574257,0.584862385321,4.30769230769,4.61538461538,0.933333333333,5.53846153846,7.69230769231,2.23076923077,23.9230769231,0.636252045827,40.9846153846,15.6153846154,29.7153846154,118.230769231,96.0769230769
13,14,Stephen Curry 2015,32.755952381,8.21428571429,16.5,0.497835497835,3.5,7.78571428571,0.449541284404,0.603896103896,4.28571428571,4.64285714286,0.923076923077,5.5,7.71428571429,2.07142857143,24.2142857143,0.652927580894,42.5714285714,14.9428571429,29.7642857143,122.285714286,96.5
14,15,Stephen Curry 2015,32.7277777778,8.26666666667,16.7333333333,0.494023904382,3.33333333333,7.93333333333,0.420168067227,0.593625498008,4.46666666667,4.8,0.930555555556,5.4,7.6,2.0,24.3333333333,0.645606339324,41.8066666667,14.9333333333,30.0533333333,121.4,96.9333333333
15,16,Stephen Curry 2015,32.4552083333,8.0625,16.25,0.496153846154,3.1875,7.625,0.418032786885,0.594230769231,4.5,4.875,0.923076923077,5.25,7.75,1.9375,23.8125,0.647254688774,42.9,14.49375,29.425,123.3125,97.1875
16,17,Stephen Curry 2015,32.6901960784,8.05882352941,16.2941176471,0.494584837545,3.17647058824,7.70588235294,0.412213740458,0.592057761733,4.41176470588,4.76470588235,0.925925925926,5.17647058824,7.58823529412,1.82352941176,23.7058823529,0.644511258956,41.7882352941,14.6941176471,29.3411764706,122.411764706,98.0588235294
17,18,Stephen Curry 2015,32.575,8.05555555556,16.3333333333,0.493197278912,3.16666666667,7.61111111111,0.416058394161,0.590136054422,4.16666666667,4.5,0.925925925926,5.05555555556,7.77777777778,1.94444444444,23.4444444444,0.640092221818,42.2444444444,14.4611111111,29.1333333333,122.444444444,97.0555555556
18,19,Stephen Curry 2015,32.7649122807,7.89473684211,16.2105263158,0.487012987013,3.05263157895,7.47368421053,0.408450704225,0.581168831169,4.36842105263,4.73684210526,0.922222222222,5.10526315789,7.73684210526,1.89473684211,23.2105263158,0.634349827388,41.4842105263,14.4526315789,28.9157894737,122.0,97.7894736842
19,20,Stephen Curry 2015,32.6933333333,8.0,16.4,0.487804878049,2.95,7.45,0.395973154362,0.577743902439,4.15,4.5,0.922222222222,5.05,7.7,1.95,23.1,0.628400435256,41.42,14.38,29.015,121.25,97.25
20,21,Stephen Curry 2015,32.9198412698,8.0,16.3333333333,0.489795918367,2.95238095238,7.33333333333,0.402597402597,0.580174927114,4.0,4.33333333333,0.923076923077,5.14285714286,7.66666666667,1.85714285714,22.9523809524,0.62917710944,40.8857142857,14.6761904762,28.7666666667,120.857142857,97.4285714286
21,22,Stephen Curry 2015,33.1136363636,8.04545454545,16.5909090909,0.484931506849,2.95454545455,7.5,0.393939393939,0.57397260274,4.18181818182,4.54545454545,0.92,5.04545454545,7.68181818182,1.86363636364,23.2272727273,0.624694376528,40.8772727273,14.1772727273,28.9272727273,120.954545455,97.6363636364
22,23,Stephen Curry 2015,33.4094202899,8.17391304348,16.7826086957,0.487046632124,3.08695652174,7.60869565217,0.405714285714,0.579015544041,4.26086956522,4.60869565217,0.924528301887,5.13043478261,7.65217391304,1.82608695652,23.6956521739,0.629853920118,40.4739130435,14.4391304348,29.0913043478,120.956521739,98.2608695652
23,24,Stephen Curry 2015,33.6402777778,8.20833333333,17.125,0.479318734793,3.0,7.70833333333,0.389189189189,0.566909975669,4.08333333333,4.41666666667,0.924528301887,5.20833333333,7.58333333333,1.91666666667,23.5,0.616204877196,39.8916666667,14.2833333333,29.1375,119.375,98.4166666667
24,25,Stephen Curry 2015,33.9553333333,8.44,17.4,0.485057471264,3.08,7.88,0.390862944162,0.573563218391,3.96,4.28,0.92523364486,5.28,7.64,2.0,23.92,0.620229007634,39.604,14.276,29.196,119.76,98.76
25,26,Stephen Curry 2015,33.6608974359,8.30769230769,17.1923076923,0.48322147651,3.0,7.76923076923,0.386138613861,0.570469798658,3.84615384615,4.15384615385,0.925925925926,5.15384615385,7.76923076923,2.03846153846,23.4615384615,0.61675968616,40.0153846154,14.0115384615,28.9038461538,119.846153846,98.8846153846
26,27,Stephen Curry 2015,33.5240740741,8.37037037037,17.0740740741,0.490238611714,2.96296296296,7.66666666667,0.386473429952,0.577006507592,3.7037037037,4.0,0.925925925926,5.03703703704,7.7037037037,2.07407407407,23.4074074074,0.621411153937,40.0814814815,14.7259259259,28.9592592593,119.37037037,99.4444444444
27,28,Stephen Curry 2015,33.6119047619,8.25,16.8928571429,0.488372093023,2.89285714286,7.57142857143,0.382075471698,0.57399577167,3.67857142857,4.0,0.919642857143,5.17857142857,7.67857142857,2.07142857143,23.0714285714,0.618442214904,39.8714285714,15.1535714286,28.7714285714,118.285714286,99.5
28,29,Stephen Curry 2015,33.5057471264,8.27586206897,16.9310344828,0.488798370672,2.93103448276,7.62068965517,0.384615384615,0.575356415479,3.65517241379,4.0,0.913793103448,5.10344827586,7.62068965517,2.10344827586,23.1379310345,0.618958010479,39.7068965517,15.0862068966,28.8689655172,118.137931034,99.3448275862
29,30,Stephen Curry 2015,33.2794444444,8.13333333333,16.6,0.489959839357,2.93333333333,7.56666666667,0.387665198238,0.578313253012,3.6,3.93333333333,0.915254237288,5.03333333333,7.66666666667,2.13333333333,22.8,0.621908641257,39.7733333333,15.5033333333,28.51,118.666666667,98.8333333333
30,31,Stephen Curry 2015,33.2994623656,8.1935483871,16.6451612903,0.492248062016,3.0,7.67741935484,0.390756302521,0.582364341085,3.70967741935,4.03225806452,0.92,5.03225806452,7.8064516129,2.09677419355,23.0967741935,0.626970227671,40.064516129,15.0032258065,28.4677419355,120.548387097,99.3548387097
31,32,Stephen Curry 2015,33.2364583333,8.15625,16.5625,0.492452830189,2.9375,7.5625,0.388429752066,0.581132075472,3.71875,4.03125,0.922480620155,5.15625,7.75,2.15625,22.96875,0.626320812598,39.7625,14.8875,28.325,120.53125,98.625
32,33,Stephen Curry 2015,33.2833333333,8.15151515152,16.5757575758,0.491773308958,2.9696969697,7.57575757576,0.392,0.581352833638,3.63636363636,3.93939393939,0.923076923077,5.09090909091,7.9696969697,2.21212121212,22.9090909091,0.625620655412,40.4060606061,15.1121212121,28.3121212121,120.363636364,98.5757575758
