,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Tim Duncan 2015,30.1833333333,5.0,10.0,0.5,0.0,0.0,0.0,0.5,4.0,5.0,0.8,13.0,2.0,14.0,0.573770491803,10.9,29.1,28.2,101.0,107.0
1,2,Tim Duncan 2015,30.2583333333,5.5,10.5,0.52380952381,0.0,0.0,0.0,0.52380952381,4.0,5.5,0.727272727273,11.0,2.0,15.0,0.580495356037,12.5,17.95,25.65,107.5,104.0
2,3,Tim Duncan 2015,31.7555555556,5.33333333333,11.0,0.484848484848,0.0,0.0,0.0,0.484848484848,5.0,7.66666666667,0.652173913043,11.6666666667,2.66666666667,15.6666666667,0.544990723562,15.9666666667,11.9666666667,24.7,113.0,96.3333333333
3,4,Tim Duncan 2015,31.7555555556,5.33333333333,11.0,0.484848484848,0.0,0.0,0.0,0.484848484848,5.0,7.66666666667,0.652173913043,11.6666666667,2.66666666667,15.6666666667,0.544990723562,15.9666666667,11.9666666667,24.7,113.0,96.3333333333
4,5,Tim Duncan 2015,31.9666666667,4.75,10.75,0.441860465116,0.0,0.0,0.0,0.441860465116,5.0,7.25,0.689655172414,11.25,2.25,14.5,0.520086083214,13.15,13.775,23.725,108.0,99.5
5,6,Tim Duncan 2015,32.7,5.0,11.4,0.438596491228,0.0,0.0,0.0,0.438596491228,5.2,7.4,0.702702702703,11.2,2.4,15.2,0.518558951965,13.76,12.1,23.82,108.4,99.2
6,7,Tim Duncan 2015,33.1472222222,5.0,11.6666666667,0.428571428571,0.0,0.0,0.0,0.428571428571,4.66666666667,6.66666666667,0.7,11.5,2.5,14.6666666667,0.502283105023,13.2,11.1666666667,23.0666666667,105.666666667,99.5
7,8,Tim Duncan 2015,32.0166666667,5.14285714286,11.1428571429,0.461538461538,0.0,0.0,0.0,0.461538461538,4.14285714286,5.85714285714,0.707317073171,11.4285714286,2.42857142857,14.4285714286,0.525822573928,13.8285714286,11.0857142857,22.3714285714,109.142857143,96.7142857143
8,9,Tim Duncan 2015,32.2833333333,5.0,11.125,0.449438202247,0.0,0.0,0.0,0.449438202247,4.5,6.125,0.734693877551,11.0,2.375,14.5,0.524602026049,13.3375,10.5,22.25,108.625,96.375
9,10,Tim Duncan 2015,30.512962963,4.88888888889,10.6666666667,0.458333333333,0.0,0.0,0.0,0.458333333333,4.22222222222,5.77777777778,0.730769230769,10.7777777778,2.33333333333,14.0,0.529946164199,14.5444444444,12.2777777778,23.2222222222,107.222222222,94.3333333333
10,11,Tim Duncan 2015,30.9266666667,5.1,11.3,0.451327433628,0.0,0.0,0.0,0.451327433628,4.3,5.9,0.728813559322,10.7,2.4,14.5,0.521732872769,14.73,13.35,24.51,105.0,94.3
11,12,Tim Duncan 2015,30.1939393939,4.90909090909,10.5454545455,0.465517241379,0.0,0.0,0.0,0.465517241379,4.18181818182,5.63636363636,0.741935483871,10.6363636364,2.27272727273,14.0,0.537409268565,13.8727272727,15.8636363636,23.5272727273,107.181818182,93.6363636364
12,13,Tim Duncan 2015,29.7875,4.75,10.0833333333,0.471074380165,0.0,0.0,0.0,0.471074380165,3.91666666667,5.33333333333,0.734375,10.5833333333,2.66666666667,13.4166666667,0.539688924645,15.85,14.5416666667,22.5166666667,111.416666667,91.9166666667
13,14,Tim Duncan 2015,30.0397435897,4.92307692308,10.0769230769,0.488549618321,0.0,0.0,0.0,0.488549618321,3.84615384615,5.38461538462,0.714285714286,10.2307692308,2.69230769231,13.6923076923,0.550061804697,15.7153846154,14.4769230769,22.3923076923,112.615384615,92.7692307692
14,15,Tim Duncan 2015,30.205952381,5.07142857143,10.2142857143,0.496503496503,0.0,0.0,0.0,0.496503496503,3.85714285714,5.42857142857,0.710526315789,10.0714285714,2.71428571429,14.0,0.555429607799,15.6,13.9,22.5071428571,113.214285714,94.0
15,16,Tim Duncan 2015,29.8411111111,5.0,10.3333333333,0.483870967742,0.0,0.0,0.0,0.483870967742,4.0,5.46666666667,0.731707317073,9.93333333333,2.66666666667,14.0,0.549508059452,15.34,13.4,22.8866666667,113.2,93.9333333333
16,17,Tim Duncan 2015,29.8411111111,5.0,10.3333333333,0.483870967742,0.0,0.0,0.0,0.483870967742,4.0,5.46666666667,0.731707317073,9.93333333333,2.66666666667,14.0,0.549508059452,15.34,13.4,22.8866666667,113.2,93.9333333333
17,18,Tim Duncan 2015,30.2385416667,5.0,10.8125,0.462427745665,0.0,0.0625,0.0,0.462427745665,4.0,5.375,0.744186046512,10.375,2.5625,14.0,0.531208499336,14.7,13.1375,23.2,111.375,93.875
18,19,Tim Duncan 2015,30.6049019608,5.05882352941,10.8823529412,0.464864864865,0.0,0.0588235294118,0.0,0.464864864865,3.88235294118,5.23529411765,0.741573033708,10.3529411765,3.0,14.0,0.530870806567,16.2470588235,13.1352941176,22.9647058824,112.470588235,94.8823529412
19,20,Tim Duncan 2015,29.9398148148,5.05555555556,10.8888888889,0.464285714286,0.0,0.0555555555556,0.0,0.464285714286,3.83333333333,5.11111111111,0.75,10.3333333333,3.11111111111,13.9444444444,0.530700270636,17.4388888889,13.4944444444,23.7,112.5,95.0
20,21,Tim Duncan 2015,30.2385964912,5.31578947368,11.1578947368,0.47641509434,0.0,0.0526315789474,0.0,0.47641509434,3.78947368421,5.05263157895,0.75,10.5263157895,3.05263157895,14.4210526316,0.538860918817,17.0789473684,13.3157894737,23.7631578947,113.052631579,94.8421052632
21,22,Tim Duncan 2015,30.2385964912,5.31578947368,11.1578947368,0.47641509434,0.0,0.0526315789474,0.0,0.47641509434,3.78947368421,5.05263157895,0.75,10.5263157895,3.05263157895,14.4210526316,0.538860918817,17.0789473684,13.3157894737,23.7631578947,113.052631579,94.8421052632
22,23,Tim Duncan 2015,30.725,5.5,11.4,0.482456140351,0.0,0.05,0.0,0.482456140351,3.65,4.9,0.744897959184,10.9,3.0,14.65,0.540351136028,16.665,13.61,23.745,112.7,95.45
23,24,Tim Duncan 2015,30.7992063492,5.47619047619,11.5238095238,0.47520661157,0.0,0.047619047619,0.0,0.47520661157,3.71428571429,4.95238095238,0.75,10.8095238095,3.04761904762,14.6666666667,0.535168195719,16.9380952381,13.4714285714,23.9047619048,112.142857143,95.380952381
24,25,Tim Duncan 2015,30.7992063492,5.47619047619,11.5238095238,0.47520661157,0.0,0.047619047619,0.0,0.47520661157,3.71428571429,4.95238095238,0.75,10.8095238095,3.04761904762,14.6666666667,0.535168195719,16.9380952381,13.4714285714,23.9047619048,112.142857143,95.380952381
