,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Anthony Davis 2016,34.5166666667,4.0,20.0,0.2,0.0,2.0,0.0,0.2,10.0,15.0,0.666666666667,6.0,2.0,0.0,18.0,0.338345864662,9.4,15.8,38.9,66.0,112.0
1,2,Anthony Davis 2016,37.5833333333,7.0,18.5,0.378378378378,1.5,3.5,0.428571428571,0.418918918919,6.0,9.5,0.631578947368,8.0,1.0,1.0,21.5,0.473985890653,4.7,12.7,30.6,90.5,108.5
2,3,Anthony Davis 2016,37.45,7.33333333333,18.0,0.407407407407,1.33333333333,3.0,0.444444444444,0.444444444444,7.0,10.0,0.7,10.3333333333,2.0,0.666666666667,23.0,0.513392857143,7.96666666667,12.5,28.9333333333,101.666666667,114.0
3,4,Anthony Davis 2016,37.1541666667,6.25,16.5,0.378787878788,1.0,2.75,0.363636363636,0.409090909091,7.25,10.0,0.725,10.0,1.75,0.75,20.75,0.496411483254,7.15,12.1,27.0,97.5,109.25
4,5,Anthony Davis 2016,38.0,7.8,17.8,0.438202247191,1.0,2.4,0.416666666667,0.466292134831,8.6,11.2,0.767857142857,10.0,2.0,1.4,25.2,0.554382259768,8.42,10.32,28.36,106.8,109.8
5,6,Anthony Davis 2016,38.2222222222,8.33333333333,18.0,0.462962962963,0.833333333333,2.33333333333,0.357142857143,0.486111111111,7.66666666667,10.1666666667,0.754098360656,9.33333333333,2.33333333333,1.33333333333,25.1666666667,0.559922871551,10.2,11.25,28.5666666667,106.166666667,110.166666667
6,7,Anthony Davis 2016,35.4523809524,8.28571428571,17.4285714286,0.475409836066,0.714285714286,2.14285714286,0.333333333333,0.495901639344,6.71428571429,9.28571428571,0.723076923077,9.0,2.28571428571,1.28571428571,24.0,0.557768924303,11.5857142857,10.5,29.9857142857,105.714285714,108.0
7,8,Anthony Davis 2016,35.4523809524,8.28571428571,17.4285714286,0.475409836066,0.714285714286,2.14285714286,0.333333333333,0.495901639344,6.71428571429,9.28571428571,0.723076923077,9.0,2.28571428571,1.28571428571,24.0,0.557768924303,11.5857142857,10.5,29.9857142857,105.714285714,108.0
8,9,Anthony Davis 2016,35.4523809524,8.28571428571,17.4285714286,0.475409836066,0.714285714286,2.14285714286,0.333333333333,0.495901639344,6.71428571429,9.28571428571,0.723076923077,9.0,2.28571428571,1.28571428571,24.0,0.557768924303,11.5857142857,10.5,29.9857142857,105.714285714,108.0
9,10,Anthony Davis 2016,36.06875,9.0,18.5,0.486486486486,0.875,2.375,0.368421052632,0.510135135135,6.625,9.0,0.736111111111,9.25,2.125,1.25,25.5,0.56767586821,11.1,10.7,31.2875,105.875,106.5
10,11,Anthony Davis 2016,32.7666666667,8.0,16.7777777778,0.476821192053,0.777777777778,2.11111111111,0.368421052632,0.5,5.88888888889,8.0,0.736111111111,8.44444444444,2.0,1.11111111111,22.6666666667,0.558353404861,11.9111111111,9.51111111111,30.4111111111,96.5555555556,108.666666667
11,12,Anthony Davis 2016,32.7666666667,8.0,16.7777777778,0.476821192053,0.777777777778,2.11111111111,0.368421052632,0.5,5.88888888889,8.0,0.736111111111,8.44444444444,2.0,1.11111111111,22.6666666667,0.558353404861,11.9111111111,9.51111111111,30.4111111111,96.5555555556,108.666666667
12,13,Anthony Davis 2016,33.41,8.1,17.4,0.465517241379,0.7,2.0,0.35,0.485632183908,5.5,7.4,0.743243243243,9.4,2.1,1.0,22.4,0.542215336948,11.99,8.96,30.29,95.9,106.8
13,14,Anthony Davis 2016,33.9227272727,8.36363636364,17.8181818182,0.469387755102,0.727272727273,2.0,0.363636363636,0.489795918367,5.81818181818,7.72727272727,0.752941176471,10.2727272727,2.0,1.09090909091,23.2727272727,0.548414738646,11.3363636364,9.06363636364,30.4,98.0,106.181818182
14,15,Anthony Davis 2016,34.35,8.58333333333,17.5,0.490476190476,0.666666666667,1.83333333333,0.363636363636,0.509523809524,5.66666666667,7.58333333333,0.747252747253,10.8333333333,1.83333333333,1.16666666667,23.5,0.563909774436,10.3916666667,9.925,29.7916666667,100.083333333,105.75
15,16,Anthony Davis 2016,33.8756410256,8.46153846154,17.3846153846,0.486725663717,0.615384615385,1.76923076923,0.347826086957,0.504424778761,5.46153846154,7.30769230769,0.747368421053,10.4615384615,1.69230769231,1.07692307692,23.0,0.558252427184,9.59230769231,10.2769230769,29.8384615385,99.0,106.384615385
16,17,Anthony Davis 2016,34.6226190476,8.71428571429,17.4285714286,0.5,0.571428571429,1.78571428571,0.32,0.516393442623,5.92857142857,7.85714285714,0.754545454545,10.5,1.64285714286,1.14285714286,23.9285714286,0.572845417237,9.39285714286,10.0785714286,29.8,101.571428571,106.071428571
17,18,Anthony Davis 2016,35.0544444444,8.4,17.2666666667,0.486486486486,0.6,1.73333333333,0.346153846154,0.503861003861,6.06666666667,8.2,0.739837398374,10.7333333333,1.66666666667,1.2,23.4666666667,0.56208482371,9.28,9.71333333333,29.4466666667,101.133333333,106.066666667
18,19,Anthony Davis 2016,35.0395833333,8.4375,17.4375,0.483870967742,0.625,1.75,0.357142857143,0.501792114695,6.3125,8.375,0.753731343284,10.875,1.625,1.25,23.8125,0.563676174695,9.0625,9.575,29.5,102.4375,105.4375
19,20,Anthony Davis 2016,35.7,8.70588235294,17.7058823529,0.491694352159,0.705882352941,1.88235294118,0.375,0.511627906977,6.11764705882,8.23529411765,0.742857142857,10.9411764706,1.58823529412,1.41176470588,24.2352941176,0.568119139548,8.77647058824,9.24117647059,29.2823529412,103.647058824,105.0
20,21,Anthony Davis 2016,35.4009259259,8.66666666667,17.8888888889,0.484472049689,0.666666666667,1.88888888889,0.352941176471,0.503105590062,5.77777777778,7.77777777778,0.742857142857,10.6666666667,1.5,1.44444444444,23.7777777778,0.55787278415,8.28888888889,8.72777777778,29.3055555556,102.611111111,105.055555556
21,22,Anthony Davis 2016,35.6078947368,8.63157894737,17.7368421053,0.486646884273,0.684210526316,1.94736842105,0.351351351351,0.505934718101,5.52631578947,7.47368421053,0.739436619718,10.6842105263,1.52631578947,1.42105263158,23.4736842105,0.558225693401,8.28947368421,8.85789473684,28.8789473684,103.263157895,105.578947368
22,23,Anthony Davis 2016,35.9075,8.6,18.05,0.476454293629,0.65,1.95,0.333333333333,0.494459833795,5.55,7.55,0.735099337748,10.8,1.55,1.4,23.4,0.547445255474,8.25,9.04,29.21,101.65,105.05
23,24,Anthony Davis 2016,36.2055555556,8.71428571429,18.0952380952,0.481578947368,0.619047619048,1.95238095238,0.317073170732,0.498684210526,5.57142857143,7.61904761905,0.73125,10.7619047619,1.52380952381,1.33333333333,23.619047619,0.550621669627,8.08571428571,8.99047619048,29.1333333333,102.333333333,105.142857143
24,25,Anthony Davis 2016,36.2931818182,8.63636363636,17.9545454545,0.481012658228,0.590909090909,1.90909090909,0.309523809524,0.49746835443,5.45454545455,7.40909090909,0.736196319018,10.8636363636,1.45454545455,1.27272727273,23.3181818182,0.549580047995,7.71818181818,8.58181818182,28.7909090909,103.0,105.363636364
25,26,Anthony Davis 2016,36.5326086957,8.47826086957,17.6956521739,0.479115479115,0.565217391304,1.82608695652,0.309523809524,0.495085995086,5.47826086957,7.34782608696,0.745562130178,10.9130434783,1.47826086957,1.30434782609,23.0,0.549484793086,7.87391304348,9.14347826087,28.3956521739,102.782608696,105.173913043
