,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,DeAndre Jordan 2016,27.1,4.0,6.0,0.666666666667,0.0,0.0,0.0,0.666666666667,0.0,3.0,0.0,12.0,1.0,0.0,8.0,0.546448087432,5.1,12.0,13.6,106.0,92.0
1,2,DeAndre Jordan 2016,26.4833333333,3.0,4.0,0.75,0.0,0.0,0.0,0.75,1.0,5.5,0.181818181818,13.5,1.5,0.0,7.0,0.545171339564,7.95,13.65,12.3,106.5,83.0
2,3,DeAndre Jordan 2016,29.55,3.66666666667,4.66666666667,0.785714285714,0.0,0.0,0.0,0.785714285714,2.33333333333,7.66666666667,0.304347826087,15.0,1.33333333333,0.333333333333,9.66666666667,0.601160862355,6.7,11.8,13.0666666667,114.0,84.6666666667
3,4,DeAndre Jordan 2016,30.1333333333,3.5,4.25,0.823529411765,0.0,0.0,0.0,0.823529411765,2.0,6.25,0.32,13.5,1.0,0.5,9.0,0.642857142857,5.025,13.975,11.6,118.5,85.75
4,5,DeAndre Jordan 2016,30.96,3.8,4.8,0.791666666667,0.0,0.0,0.0,0.791666666667,1.8,5.8,0.310344827586,13.4,1.0,0.4,9.4,0.639281828074,4.8,16.28,12.32,116.2,91.2
5,6,DeAndre Jordan 2016,31.4305555556,3.83333333333,5.0,0.766666666667,0.0,0.0,0.0,0.766666666667,2.0,6.0,0.333333333333,13.5,1.16666666667,0.333333333333,9.66666666667,0.632635253054,5.3,17.7,12.85,114.0,93.6666666667
6,7,DeAndre Jordan 2016,32.030952381,4.14285714286,5.57142857143,0.74358974359,0.0,0.0,0.0,0.74358974359,1.85714285714,5.42857142857,0.342105263158,13.2857142857,1.14285714286,0.285714285714,10.1428571429,0.637114142139,5.51428571429,16.4857142857,13.0571428571,116.428571429,93.7142857143
7,8,DeAndre Jordan 2016,31.4104166667,4.0,5.5,0.727272727273,0.0,0.0,0.0,0.727272727273,2.0,5.875,0.340425531915,13.0,1.0,0.25,10.0,0.618429189858,4.825,16.7,13.625,112.875,97.125
8,9,DeAndre Jordan 2016,30.9203703704,3.88888888889,5.44444444444,0.714285714286,0.0,0.0,0.0,0.714285714286,2.33333333333,6.66666666667,0.35,12.5555555556,1.0,0.222222222222,10.1111111111,0.603448275862,4.85555555556,15.7888888889,14.1,112.0,99.4444444444
9,10,DeAndre Jordan 2016,31.6666666667,4.0,5.6,0.714285714286,0.0,0.0,0.0,0.714285714286,2.1,6.0,0.35,12.9,1.1,0.3,10.1,0.61286407767,5.18,15.46,13.66,114.6,99.2
