,Game,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,36.3833333333,6.0,21.0,0.285714285714,2.0,12.0,0.166666666667,0.333333333333,8.0,9.0,0.888888888889,6.0,6.0,22.0,0.440705128205,35.8,10.7,32.2,96.0,106.0
1,2,36.6916666667,5.0,19.5,0.25641025641,1.5,11.0,0.136363636364,0.294871794872,7.5,8.5,0.882352941176,6.5,5.5,19.0,0.408777969019,30.95,13.2,30.65,87.5,109.5
2,3,37.4944444444,4.0,18.0,0.222222222222,1.0,10.6666666667,0.09375,0.25,9.0,10.3333333333,0.870967741935,6.33333333333,6.0,18.0,0.399172087522,30.3333333333,15.1666666667,30.7333333333,83.6666666667,109.0
3,4,37.7375,6.0,20.0,0.3,1.75,11.0,0.159090909091,0.34375,9.0,10.5,0.857142857143,6.0,5.25,22.75,0.462022745735,26.35,12.9,32.05,91.5,107.0
4,5,38.92,6.0,20.4,0.294117647059,1.8,11.0,0.163636363636,0.338235294118,10.0,11.8,0.847457627119,6.2,5.0,23.8,0.464989059081,23.88,14.16,32.9,92.0,108.6
5,6,39.4083333333,7.16666666667,20.8333333333,0.344,2.16666666667,10.8333333333,0.2,0.396,10.5,12.5,0.84,6.16666666667,6.33333333333,27.0,0.512658227848,29.8,14.95,33.5833333333,99.3333333333,108.833333333
6,7,39.4428571429,8.14285714286,21.5714285714,0.377483443709,2.57142857143,10.7142857143,0.24,0.437086092715,10.8571428571,12.7142857143,0.85393258427,5.85714285714,5.71428571429,29.7142857143,0.546907867059,27.1857142857,15.3714285714,34.7857142857,102.428571429,108.857142857
7,8,39.3166666667,8.125,21.625,0.375722543353,2.625,10.625,0.247058823529,0.436416184971,10.0,11.75,0.851063829787,6.25,5.75,28.875,0.53881321142,26.7125,15.225,34.425,101.125,109.125
8,9,39.1574074074,8.22222222222,21.3333333333,0.385416666667,2.44444444444,10.0,0.244444444444,0.442708333333,9.88888888889,11.6666666667,0.847619047619,6.44444444444,5.66666666667,28.7777777778,0.543660789253,27.0,15.1333333333,34.1444444444,102.0,108.111111111
9,10,39.4083333333,7.9,21.3,0.370892018779,2.3,9.6,0.239583333333,0.424882629108,10.3,11.9,0.865546218487,6.5,6.1,28.4,0.535122098282,28.69,15.43,34.2,101.5,108.6
10,11,38.5242424242,7.54545454545,20.2727272727,0.372197309417,2.45454545455,9.36363636364,0.26213592233,0.432735426009,9.72727272727,11.1818181818,0.869918699187,6.0,5.81818181818,27.2727272727,0.541281755196,27.5727272727,16.3363636364,33.0727272727,102.0,109.545454545
11,12,39.2638888889,7.83333333333,21.0,0.373015873016,2.58333333333,9.83333333333,0.262711864407,0.434523809524,10.5,11.9166666667,0.881118881119,6.16666666667,6.25,28.75,0.547758160803,30.475,15.95,33.525,103.666666667,107.916666667
12,13,38.9820512821,7.76923076923,20.5384615385,0.378277153558,2.46153846154,9.61538461538,0.256,0.438202247191,10.2307692308,11.6153846154,0.880794701987,6.15384615385,6.15384615385,28.2307692308,0.550323896353,30.9230769231,16.6076923077,33.1923076923,103.076923077,107.0
13,14,38.9333333333,7.78571428571,20.5,0.379790940767,2.5,9.21428571429,0.271317829457,0.440766550523,9.85714285714,11.1428571429,0.884615384615,6.21428571429,6.42857142857,27.9285714286,0.549713193117,32.3,16.2714285714,32.9642857143,104.714285714,107.571428571
14,15,39.0644444444,8.06666666667,20.4,0.395424836601,2.66666666667,9.2,0.289855072464,0.460784313725,9.93333333333,11.1333333333,0.892215568862,6.13333333333,6.33333333333,28.7333333333,0.567882365342,32.6066666667,16.1466666667,32.9066666667,107.333333333,107.466666667
15,16,39.1322916667,8.4375,20.875,0.404191616766,2.875,9.375,0.306666666667,0.473053892216,10.3125,11.6875,0.882352941176,6.3125,6.4375,30.0625,0.577736139137,33.38125,16.36875,33.925,108.1875,108.25
16,17,39.4950980392,8.52941176471,21.2941176471,0.400552486188,2.70588235294,9.23529411765,0.292993630573,0.46408839779,10.0588235294,11.5882352941,0.868020304569,6.35294117647,6.58823529412,29.8235294118,0.564990639208,33.3941176471,15.7470588235,33.9235294118,107.764705882,108.588235294
17,18,39.6546296296,8.38888888889,20.9444444444,0.400530503979,2.66666666667,8.94444444444,0.298136645963,0.464190981432,10.3333333333,11.8888888889,0.869158878505,6.5,6.61111111111,29.7777777778,0.56880889719,33.1,15.8833333333,33.5277777778,108.666666667,109.166666667
18,19,39.55,8.31578947368,20.8947368421,0.39798488665,2.57894736842,8.89473684211,0.289940828402,0.459697732997,10.2631578947,11.7894736842,0.870535714286,6.68421052632,6.57894736842,29.4736842105,0.565017354104,32.8421052632,15.0473684211,33.1947368421,108.894736842,108.368421053
