,Game,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,35.3166666667,13.0,22.0,0.590909090909,1.0,3.0,0.333333333333,0.613636363636,5.0,5.0,1.0,8.0,0.0,32.0,0.661157024793,0.0,11.0,33.1,116.0,103.0
1,2,30.55,9.5,19.0,0.5,0.5,2.5,0.2,0.513157894737,4.5,4.5,1.0,9.0,0.5,24.0,0.571973307912,3.25,14.7,35.0,99.0,86.5
2,3,31.7944444444,9.0,18.6666666667,0.482142857143,0.666666666667,2.66666666667,0.25,0.5,3.66666666667,3.66666666667,1.0,7.66666666667,1.0,22.3333333333,0.550624589086,5.93333333333,13.0,32.0333333333,98.3333333333,86.6666666667
3,4,32.8666666667,8.75,18.0,0.486111111111,0.75,3.0,0.25,0.506944444444,3.0,3.0,1.0,9.25,1.0,21.25,0.549948240166,5.625,12.45,30.2,99.25,84.5
4,5,33.26,9.0,18.8,0.478723404255,0.8,3.2,0.25,0.5,2.8,2.8,1.0,9.2,0.8,21.6,0.539137380192,4.5,10.8,30.16,100.2,88.4
5,6,33.4,9.16666666667,18.3333333333,0.5,1.0,3.33333333333,0.3,0.527272727273,2.5,2.66666666667,0.9375,8.33333333333,1.0,21.8333333333,0.55963773069,5.26666666667,9.0,28.9666666667,105.333333333,90.1666666667
6,7,33.1452380952,9.28571428571,17.5714285714,0.528455284553,1.28571428571,3.42857142857,0.375,0.565040650407,2.28571428571,2.57142857143,0.888888888889,7.57142857143,1.14285714286,22.1428571429,0.591964558509,5.92857142857,7.71428571429,27.6142857143,113.571428571,89.8571428571
7,8,33.3541666667,9.0,17.125,0.525547445255,1.25,3.625,0.344827586207,0.56204379562,2.625,2.875,0.913043478261,7.5,1.375,21.875,0.594752582926,6.6125,7.475,27.1,115.25,92.0
8,9,33.3541666667,9.0,17.125,0.525547445255,1.25,3.625,0.344827586207,0.56204379562,2.625,2.875,0.913043478261,7.5,1.375,21.875,0.594752582926,6.6125,7.475,27.1,115.25,92.0
9,10,33.0685185185,8.88888888889,16.8888888889,0.526315789474,1.44444444444,3.77777777778,0.382352941176,0.569078947368,2.33333333333,2.66666666667,0.875,7.66666666667,1.55555555556,21.5555555556,0.596702755906,7.91111111111,6.64444444444,26.7444444444,116.555555556,91.2222222222
10,11,33.4433333333,8.8,16.8,0.52380952381,1.6,3.8,0.421052631579,0.571428571429,2.2,2.5,0.88,7.7,1.7,21.4,0.597765363128,8.36,5.98,26.12,117.6,92.4
11,12,33.7318181818,8.81818181818,17.0909090909,0.515957446809,1.72727272727,3.90909090909,0.441860465116,0.566489361702,2.09090909091,2.45454545455,0.851851851852,7.45454545455,1.72727272727,21.4545454545,0.590354212528,8.67272727273,5.43636363636,26.2545454545,116.090909091,94.0
12,13,34.2763888889,8.5,16.9166666667,0.502463054187,1.83333333333,4.08333333333,0.448979591837,0.556650246305,2.41666666667,2.91666666667,0.828571428571,7.41666666667,1.83333333333,21.25,0.583791208791,9.01666666667,4.98333333333,25.9333333333,116.333333333,94.1666666667
13,14,34.5025641026,8.69230769231,17.0,0.511312217195,1.76923076923,3.92307692308,0.450980392157,0.56334841629,2.30769230769,2.76923076923,0.833333333333,7.84615384615,2.0,21.4615384615,0.589005235602,9.74615384615,5.67692307692,25.9384615385,116.846153846,93.0769230769
14,15,34.9261904762,8.71428571429,16.9285714286,0.514767932489,1.92857142857,4.14285714286,0.465517241379,0.571729957806,2.42857142857,2.85714285714,0.85,7.85714285714,2.21428571429,21.7857142857,0.598978790259,10.95,5.99285714286,25.7214285714,118.428571429,93.0
15,16,34.7222222222,8.86666666667,17.0,0.521568627451,1.93333333333,4.13333333333,0.467741935484,0.578431372549,2.33333333333,2.73333333333,0.853658536585,7.8,2.46666666667,22.0,0.604307061236,13.32,6.24666666667,26.0733333333,119.0,91.3333333333
16,17,34.3791666667,8.6875,16.625,0.522556390977,2.0,4.0625,0.492307692308,0.582706766917,2.625,3.0,0.875,7.75,2.4375,22.0,0.612984118139,13.16875,6.63125,25.94375,120.5,91.3125
17,18,34.7225490196,8.70588235294,16.8823529412,0.515679442509,1.88235294118,4.0,0.470588235294,0.571428571429,2.88235294118,3.35294117647,0.859649122807,7.76470588235,2.47058823529,22.1764705882,0.604011791848,13.1941176471,6.67647058824,26.1882352941,119.529411765,91.7647058824
18,19,34.187962963,8.38888888889,16.6111111111,0.505016722408,1.77777777778,3.83333333333,0.463768115942,0.558528428094,3.11111111111,3.61111111111,0.861538461538,7.5,2.55555555556,21.6666666667,0.595238095238,13.8222222222,6.30555555556,26.2333333333,118.833333333,91.3888888889
19,20,34.1236842105,8.42105263158,16.4210526316,0.512820512821,2.05263157895,4.10526315789,0.5,0.575320512821,3.05263157895,3.52631578947,0.865671641791,7.52631578947,2.57894736842,21.9473684211,0.610577486236,13.9473684211,6.32631578947,25.9631578947,121.578947368,91.1052631579
20,21,34.1225,8.2,16.25,0.504615384615,2.05,4.1,0.5,0.567692307692,3.15,3.65,0.86301369863,7.5,2.65,21.6,0.604838709677,13.985,6.815,25.895,120.25,91.7
21,22,34.1225,8.2,16.25,0.504615384615,2.05,4.1,0.5,0.567692307692,3.15,3.65,0.86301369863,7.5,2.65,21.6,0.604838709677,13.985,6.815,25.895,120.25,91.7
22,23,33.7682539683,7.95238095238,15.8571428571,0.501501501502,2.0,4.0,0.5,0.564564564565,3.0,3.52380952381,0.851351351351,7.42857142857,2.61904761905,20.9047619048,0.600448626764,13.919047619,7.40476190476,25.5238095238,118.666666667,92.4285714286
23,24,33.3689393939,7.86363636364,15.6818181818,0.501449275362,1.90909090909,3.90909090909,0.488372093023,0.56231884058,3.04545454545,3.54545454545,0.858974358974,7.59090909091,2.59090909091,20.6818181818,0.599757460719,13.8227272727,7.06818181818,25.4954545455,119.454545455,91.6818181818
24,25,33.3282608696,7.82608695652,15.5652173913,0.502793296089,1.86956521739,3.86956521739,0.483146067416,0.562849162011,3.21739130435,3.69565217391,0.870588235294,7.60869565217,2.65217391304,20.7391304348,0.603186646434,14.2260869565,7.24347826087,25.4782608696,119.956521739,90.6956521739
25,26,32.9694444444,7.79166666667,15.3333333333,0.508152173913,1.875,3.83333333333,0.489130434783,0.569293478261,3.33333333333,3.79166666667,0.879120879121,7.58333333333,2.625,20.7916666667,0.611459660818,14.2041666667,6.94166666667,25.4625,122.583333333,90.375
26,27,33.1766666667,7.84,15.32,0.511749347258,1.96,3.96,0.494949494949,0.575718015666,3.4,3.88,0.876288659794,7.4,2.68,21.04,0.617834993422,14.252,6.88,25.344,123.56,90.72
27,28,33.2814102564,7.76923076923,15.2692307692,0.508816120907,1.92307692308,3.92307692308,0.490196078431,0.571788413098,3.5,4.0,0.875,7.46153846154,2.65384615385,20.9615384615,0.615457584244,13.9961538462,6.61538461538,25.2,123.653846154,91.8076923077
28,29,33.3351851852,7.85185185185,15.4074074074,0.509615384615,1.88888888889,4.0,0.472222222222,0.570913461538,3.48148148148,3.96296296296,0.878504672897,7.40740740741,2.74074074074,21.0740740741,0.614364688607,14.2740740741,6.37037037037,25.2851851852,123.777777778,91.8518518519
29,30,33.2380952381,7.85714285714,15.4285714286,0.509259259259,1.92857142857,4.10714285714,0.469565217391,0.571759259259,3.35714285714,3.82142857143,0.878504672897,7.35714285714,2.71428571429,21.0,0.613676212741,14.1214285714,6.35357142857,25.3035714286,124.0,91.7857142857
30,31,33.4379310345,7.86206896552,15.5517241379,0.505543237251,1.93103448276,4.13793103448,0.466666666667,0.567627494457,3.31034482759,3.75862068966,0.880733944954,7.37931034483,2.75862068966,20.9655172414,0.609267275934,14.2827586207,6.3,25.2620689655,123.620689655,91.5172413793
31,32,33.3888888889,7.83333333333,15.4666666667,0.506465517241,1.93333333333,4.06666666667,0.475409836066,0.568965517241,3.33333333333,3.76666666667,0.884955752212,7.3,2.83333333333,20.9333333333,0.611227906252,14.6866666667,6.48666666667,25.2633333333,123.966666667,91.7333333333
32,33,33.5177419355,7.74193548387,15.2580645161,0.507399577167,1.90322580645,3.96774193548,0.479674796748,0.56976744186,3.41935483871,3.87096774194,0.883333333333,7.41935483871,2.83870967742,20.8064516129,0.613351084062,14.6193548387,6.27741935484,24.9483870968,124.774193548,91.8709677419
