,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Kyle Lowry 2016,38.9666666667,8.0,17.0,0.470588235294,2.0,4.0,0.5,0.529411764706,5.0,6.0,0.833333333333,3.0,6.0,2.0,23.0,0.585539714868,28.3,20.3,25.9,104.0,98.0
1,2,Kyle Lowry 2016,36.6,5.5,14.0,0.392857142857,1.0,2.5,0.4,0.428571428571,6.5,8.0,0.8125,5.0,7.5,2.5,18.5,0.52796803653,34.0,18.3,23.85,104.5,93.0
2,3,Kyle Lowry 2016,34.1666666667,5.33333333333,12.6666666667,0.421052631579,1.0,3.33333333333,0.3,0.460526315789,5.66666666667,6.66666666667,0.85,5.0,7.33333333333,3.0,17.3333333333,0.555555555556,34.3333333333,14.8,22.1333333333,120.333333333,91.6666666667
3,4,Kyle Lowry 2016,34.825,6.25,13.25,0.471698113208,1.75,3.75,0.466666666667,0.537735849057,5.5,6.25,0.88,5.0,8.0,3.0,19.75,0.6171875,38.65,15.825,22.925,124.75,91.0
4,5,Kyle Lowry 2016,34.63,6.0,13.4,0.44776119403,2.0,4.6,0.434782608696,0.522388059701,5.2,6.2,0.838709677419,4.8,6.6,2.8,19.2,0.595238095238,32.02,17.28,23.92,116.6,93.6
5,6,Kyle Lowry 2016,34.1472222222,6.0,13.8333333333,0.433734939759,2.16666666667,5.0,0.433333333333,0.512048192771,4.66666666667,5.66666666667,0.823529411765,4.83333333333,6.0,2.5,18.8333333333,0.57676602695,30.3,16.8666666667,24.6833333333,113.166666667,95.3333333333
6,7,Kyle Lowry 2016,34.5357142857,5.71428571429,14.1428571429,0.40404040404,2.14285714286,5.42857142857,0.394736842105,0.479797979798,4.71428571429,5.71428571429,0.825,5.0,6.28571428571,2.28571428571,18.2857142857,0.548885077187,32.5,15.8428571429,25.1285714286,109.857142857,97.5714285714
7,8,Kyle Lowry 2016,34.8416666667,6.0,14.625,0.410256410256,2.125,5.375,0.395348837209,0.482905982906,4.75,5.875,0.808510638298,5.125,6.625,2.375,18.875,0.548373038931,33.925,15.85,25.6125,109.625,99.25
8,9,Kyle Lowry 2016,34.187037037,6.0,14.3333333333,0.418604651163,2.11111111111,5.44444444444,0.387755102041,0.492248062016,5.22222222222,6.33333333333,0.824561403509,4.88888888889,6.77777777778,2.33333333333,19.3333333333,0.564641744548,34.6111111111,15.3,25.8333333333,113.888888889,100.444444444
9,10,Kyle Lowry 2016,34.2316666667,5.8,14.2,0.408450704225,2.3,5.7,0.40350877193,0.489436619718,5.5,6.5,0.846153846154,5.0,6.6,2.5,19.4,0.56858147714,33.59,14.85,25.72,115.4,98.4
