,Game,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,35.6166666667,14.0,26.0,0.538461538462,5.0,12.0,0.416666666667,0.634615384615,7.0,7.0,1.0,6.0,7.0,40.0,0.687757909216,42.6,6.4,33.3,152.0,96.0
1,2,31.5083333333,11.5,20.5,0.560975609756,4.5,10.5,0.428571428571,0.670731707317,5.0,5.5,0.909090909091,6.5,6.5,32.5,0.708987783595,40.6,6.0,30.55,149.0,93.0
2,3,32.8833333333,13.3333333333,22.6666666667,0.588235294118,5.66666666667,11.6666666667,0.485714285714,0.713235294118,7.0,7.33333333333,0.954545454545,5.66666666667,7.33333333333,39.3333333333,0.759526261586,44.5666666667,5.96666666667,34.2666666667,152.333333333,98.3333333333
3,4,31.7625,12.5,21.0,0.595238095238,5.25,10.75,0.488372093023,0.720238095238,6.75,7.0,0.964285714286,5.0,6.25,37.0,0.768272425249,38.275,7.95,33.925,148.0,90.75
4,5,31.9366666667,11.6,20.2,0.574257425743,5.6,10.8,0.518518518519,0.712871287129,7.0,7.4,0.945945945946,5.0,5.8,35.8,0.763130968622,34.94,6.36,32.72,149.0,94.8
5,6,32.3888888889,11.6666666667,20.5,0.569105691057,6.0,11.6666666667,0.514285714286,0.715447154472,6.16666666667,6.66666666667,0.925,5.33333333333,6.5,35.5,0.75746799431,36.9833333333,7.73333333333,32.4833333333,145.333333333,94.1666666667
6,7,33.3523809524,11.1428571429,20.1428571429,0.553191489362,5.42857142857,11.4285714286,0.475,0.687943262411,6.14285714286,6.71428571429,0.914893617021,5.42857142857,6.0,33.8571428571,0.732929242949,33.5714285714,9.8,31.8142857143,138.142857143,94.4285714286
7,8,33.7875,10.625,19.875,0.534591194969,5.125,10.875,0.471264367816,0.663522012579,6.0,6.625,0.905660377358,5.375,5.875,32.375,0.710289600702,31.775,11.0125,31.5375,133.25,94.75
8,9,33.8666666667,10.4444444444,20.0,0.522222222222,4.88888888889,10.7777777778,0.453608247423,0.644444444444,6.11111111111,6.66666666667,0.916666666667,5.33333333333,5.77777777778,31.8888888889,0.695251937984,31.5333333333,11.3666666667,32.0444444444,130.444444444,92.7777777778
9,10,34.25,10.9,20.5,0.531707317073,5.2,11.0,0.472727272727,0.658536585366,6.3,6.8,0.926470588235,5.3,5.6,33.3,0.708751915546,30.14,11.18,32.59,131.4,95.2
10,11,35.1121212121,11.0909090909,21.4545454545,0.516949152542,5.18181818182,11.4545454545,0.452380952381,0.637711864407,6.0,6.45454545455,0.929577464789,5.09090909091,5.63636363636,33.3636363636,0.686648705284,29.8272727273,11.1636363636,33.0909090909,128.363636364,95.9090909091
11,12,35.4847222222,11.25,21.5833333333,0.521235521236,5.16666666667,11.3333333333,0.455882352941,0.640926640927,6.0,6.5,0.923076923077,4.83333333333,5.91666666667,33.6666666667,0.688667666712,30.6833333333,12.0,33.325,127.416666667,97.4166666667
12,13,35.5833333333,11.2307692308,21.6153846154,0.519572953737,5.23076923077,11.5384615385,0.453333333333,0.640569395018,6.46153846154,6.92307692308,0.933333333333,5.30769230769,5.76923076923,34.1538461538,0.69245165315,30.0230769231,12.6461538462,33.9538461538,126.615384615,98.3846153846
13,14,35.619047619,11.0714285714,21.5,0.514950166113,5.07142857143,11.5,0.44099378882,0.632890365449,6.42857142857,6.85714285714,0.9375,5.28571428571,5.64285714286,33.6428571429,0.686108845123,29.2857142857,13.2357142857,34.1285714286,125.0,98.2142857143
14,15,35.0855555556,10.8666666667,21.1333333333,0.514195583596,4.93333333333,11.2666666667,0.437869822485,0.630914826498,6.0,6.4,0.9375,5.2,5.73333333333,32.6666666667,0.681995323461,29.7866666667,13.6866666667,33.8533333333,123.8,98.2
15,16,34.778125,10.8125,21.125,0.511834319527,4.875,11.3125,0.430939226519,0.627218934911,5.625,6.0,0.9375,5.125,5.9375,32.125,0.675888912266,31.0,12.83125,33.69375,124.1875,97.1875
16,17,34.5352941176,10.8235294118,21.0588235294,0.513966480447,5.11764705882,11.5882352941,0.441624365482,0.635474860335,5.88235294118,6.29411764706,0.934579439252,5.17647058824,6.05882352941,32.6470588235,0.685049866693,31.7352941176,13.2235294118,34.1294117647,125.294117647,97.8235294118
17,18,34.2722222222,10.4444444444,20.2777777778,0.515068493151,5.0,11.2777777778,0.443349753695,0.638356164384,6.0,6.38888888889,0.939130434783,5.11111111111,6.05555555556,31.8888888889,0.690567853705,31.6222222222,12.9722222222,33.1888888889,128.333333333,98.0
18,19,34.4298245614,10.3684210526,20.2631578947,0.511688311688,4.94736842105,11.1052631579,0.445497630332,0.633766233766,5.89473684211,6.26315789474,0.941176470588,5.15789473684,6.0,31.5789473684,0.685933784525,31.1526315789,12.7315789474,32.9947368421,128.578947368,98.6842105263
19,20,34.2491666667,10.55,20.15,0.523573200993,5.1,11.1,0.459459459459,0.650124069479,5.8,6.15,0.943089430894,5.05,5.95,32.0,0.70003500175,31.205,13.105,33.085,129.5,99.1
20,21,34.4206349206,10.7142857143,20.3333333333,0.526932084309,5.28571428571,11.2857142857,0.46835443038,0.656908665105,5.85714285714,6.28571428571,0.931818181818,4.90476190476,6.0,32.5714285714,0.705038344191,32.1714285714,12.9428571429,33.3619047619,130.333333333,100.285714286
21,22,34.3212121212,10.7272727273,20.1818181818,0.531531531532,5.27272727273,11.1818181818,0.471544715447,0.662162162162,5.63636363636,6.18181818182,0.911764705882,4.90909090909,5.81818181818,32.3636363636,0.706573515402,31.2,13.1545454545,33.2681818182,129.545454545,100.409090909
22,23,34.3789855072,10.7391304348,20.3043478261,0.528907922912,5.17391304348,11.1304347826,0.46484375,0.656316916488,5.5652173913,6.17391304348,0.901408450704,5.0,6.0,32.2173913043,0.699743144217,31.4173913043,13.1695652174,33.3086956522,129.0,100.869565217
23,24,34.9013888889,10.6666666667,20.5833333333,0.518218623482,5.20833333333,11.2083333333,0.46468401487,0.644736842105,5.91666666667,6.5,0.910256410256,5.25,6.08333333333,32.4583333333,0.692272145599,31.4416666667,13.4291666667,33.4125,128.083333333,100.833333333
24,25,34.9146666667,10.64,20.64,0.515503875969,5.08,11.12,0.456834532374,0.638565891473,5.92,6.52,0.907975460123,5.32,6.04,32.28,0.686551419043,31.4,13.188,33.348,127.64,101.2
25,26,34.7096153846,10.6153846154,20.3846153846,0.520754716981,4.96153846154,10.8846153846,0.455830388693,0.642452830189,5.80769230769,6.46153846154,0.89880952381,5.19230769231,6.07692307692,32.0,0.688832958008,31.6576923077,13.2807692308,33.0923076923,127.884615385,101.115384615
26,27,34.8808641975,10.4814814815,20.1481481481,0.520220588235,4.85185185185,10.7037037037,0.453287197232,0.640625,5.96296296296,6.62962962963,0.899441340782,5.37037037037,6.18518518519,31.7777777778,0.68886890616,31.7,13.6851851852,32.8148148148,127.666666667,101.333333333
27,28,34.8571428571,10.2857142857,19.9285714286,0.516129032258,4.75,10.6071428571,0.447811447811,0.635304659498,5.89285714286,6.53571428571,0.901639344262,5.35714285714,6.28571428571,31.2142857143,0.684395163816,31.9785714286,13.7678571429,32.5392857143,127.0,100.928571429
28,29,34.9166666667,10.1379310345,19.7586206897,0.513089005236,4.62068965517,10.3793103448,0.445182724252,0.630017452007,5.89655172414,6.51724137931,0.904761904762,5.41379310345,6.31034482759,30.7931034483,0.680474274567,32.1896551724,13.7931034483,32.3,126.24137931,100.448275862
29,30,34.765,10.0333333333,19.6333333333,0.51103565365,4.66666666667,10.4666666667,0.445859872611,0.629881154499,5.8,6.43333333333,0.901554404145,5.7,6.43333333333,30.5333333333,0.679605887939,32.7666666667,13.67,32.11,126.566666667,100.1
30,31,34.765,10.0333333333,19.6333333333,0.51103565365,4.66666666667,10.4666666667,0.445859872611,0.629881154499,5.8,6.43333333333,0.901554404145,5.7,6.43333333333,30.5333333333,0.679605887939,32.7666666667,13.67,32.11,126.566666667,100.1
31,32,34.765,10.0333333333,19.6333333333,0.51103565365,4.66666666667,10.4666666667,0.445859872611,0.629881154499,5.8,6.43333333333,0.901554404145,5.7,6.43333333333,30.5333333333,0.679605887939,32.7666666667,13.67,32.11,126.566666667,100.1
32,33,34.1075268817,9.77419354839,19.1935483871,0.509243697479,4.54838709677,10.2903225806,0.442006269592,0.627731092437,5.61290322581,6.22580645161,0.901554404145,5.54838709677,6.35483870968,29.7096774194,0.677285563007,33.0451612903,14.035483871,31.9451612903,125.193548387,100.129032258
33,34,34.0369791667,9.84375,19.25,0.511363636364,4.5625,10.28125,0.44376899696,0.62987012987,5.46875,6.0625,0.90206185567,5.46875,6.28125,29.71875,0.677968518307,32.7125,13.8625,32.04375,125.0,100.28125
34,35,33.7974747475,9.72727272727,19.0606060606,0.510333863275,4.54545454545,10.2121212121,0.445103857567,0.629570747218,5.33333333333,5.90909090909,0.902564102564,5.33333333333,6.27272727273,29.3333333333,0.677112479015,32.8727272727,13.9939393939,31.9424242424,124.666666667,100.060606061
35,36,33.6514705882,9.67647058824,19.0294117647,0.508500772798,4.52941176471,10.2352941176,0.442528735632,0.627511591963,5.35294117647,5.91176470588,0.905472636816,5.26470588235,6.35294117647,29.2352941176,0.675785924073,33.2529411765,13.7176470588,31.9558823529,124.941176471,100.264705882
36,37,33.7728571429,9.74285714286,19.0857142857,0.510479041916,4.62857142857,10.3428571429,0.447513812155,0.631736526946,5.37142857143,5.94285714286,0.903846153846,5.28571428571,6.48571428571,29.4857142857,0.679376448283,33.48,13.7314285714,31.9542857143,125.542857143,100.628571429
37,38,33.8782407407,9.77777777778,19.3055555556,0.506474820144,4.61111111111,10.3611111111,0.445040214477,0.625899280576,5.36111111111,5.94444444444,0.901869158879,5.19444444444,6.47222222222,29.5277777778,0.673500937706,33.3416666667,13.4416666667,32.0722222222,125.083333333,100.833333333
38,39,34.0382882883,9.86486486486,19.4594594595,0.506944444444,4.62162162162,10.4054054054,0.444155844156,0.625694444444,5.40540540541,5.97297297297,0.904977375566,5.18918918919,6.54054054054,29.7567567568,0.673608731829,33.5540540541,13.6783783784,32.2756756757,124.72972973,101.135135135
39,40,33.9192982456,9.84210526316,19.4210526316,0.506775067751,4.71052631579,10.5526315789,0.4463840399,0.628048780488,5.26315789474,5.81578947368,0.904977375566,5.21052631579,6.44736842105,29.6578947368,0.674656386188,33.1236842105,13.6947368421,32.2157894737,124.736842105,101.052631579
40,41,33.9961538462,9.92307692308,19.5897435897,0.506544502618,4.76923076923,10.6666666667,0.447115384615,0.628272251309,5.25641025641,5.82051282051,0.903083700441,5.25641025641,6.41025641026,29.8717948718,0.674283465296,33.2487179487,13.5102564103,32.2692307692,124.897435897,101.358974359
41,42,33.8475,9.975,19.55,0.510230179028,4.825,10.7,0.450934579439,0.633631713555,5.225,5.775,0.904761904762,5.25,6.35,30.0,0.679009551401,33.09,13.2925,32.31,125.875,101.225
42,43,33.8451219512,9.92682926829,19.512195122,0.50875,4.78048780488,10.6585365854,0.448512585812,0.63125,5.24390243902,5.78048780488,0.907172995781,5.29268292683,6.46341463415,29.8780487805,0.67733445393,33.2707317073,13.1829268293,32.212195122,126.048780488,100.975609756
43,44,33.9158730159,9.95238095238,19.5,0.510378510379,4.85714285714,10.7619047619,0.451327433628,0.634920634921,5.33333333333,5.85714285714,0.910569105691,5.40476190476,6.59523809524,30.0952380952,0.681592683663,33.7785714286,13.0595238095,32.1023809524,127.142857143,101.142857143
44,45,33.7864341085,10.0,19.511627907,0.512514898689,4.88372093023,10.7209302326,0.455531453362,0.637663885578,5.37209302326,5.88372093023,0.913043478261,5.32558139535,6.51162790698,30.2558139535,0.684506271572,33.4906976744,12.8534883721,32.1651162791,127.790697674,100.651162791
45,46,33.7412878788,9.86363636364,19.3181818182,0.510588235294,4.84090909091,10.6363636364,0.455128205128,0.635882352941,5.31818181818,5.81818181818,0.9140625,5.25,6.56818181818,29.8863636364,0.683017535112,33.4840909091,12.5613636364,31.8590909091,128.227272727,100.840909091
46,47,33.7514814815,9.84444444444,19.3111111111,0.509781357883,4.84444444444,10.6444444444,0.455114822547,0.635212888377,5.2,5.68888888889,0.9140625,5.24444444444,6.55555555556,29.7333333333,0.6815125708,33.2844444444,12.94,31.86,127.355555556,100.822222222
47,48,33.7130434783,9.73913043478,19.2608695652,0.505643340858,4.80434782609,10.652173913,0.451020408163,0.630361173815,5.08695652174,5.5652173913,0.9140625,5.21739130435,6.5,29.3695652174,0.676419931106,32.9391304348,12.9847826087,31.8130434783,126.195652174,100.673913043
48,49,33.754964539,9.93617021277,19.4468085106,0.510940919037,4.93617021277,10.7446808511,0.459405940594,0.637855579869,5.02127659574,5.51063829787,0.911196911197,5.25531914894,6.40425531915,29.829787234,0.68193314915,32.4829787234,13.1191489362,31.9765957447,126.127659574,100.787234043
49,50,33.8371527778,9.9375,19.5833333333,0.507446808511,4.85416666667,10.7083333333,0.453307392996,0.631382978723,5.02083333333,5.5,0.912878787879,5.27083333333,6.47916666667,29.75,0.676033934252,32.5583333333,13.0458333333,32.025,125.666666667,100.833333333
50,51,33.9156462585,9.97959183673,19.6734693878,0.507261410788,4.89795918367,10.8163265306,0.452830188679,0.631742738589,5.0,5.4693877551,0.914179104478,5.26530612245,6.5306122449,29.8571428571,0.676112836439,32.7081632653,12.8551020408,31.9632653061,126.142857143,101.102040816
51,52,33.8393333333,9.96,19.62,0.507645259939,4.9,10.8,0.453703703704,0.63251783894,4.96,5.44,0.911764705882,5.34,6.58,29.78,0.676400043609,33.322,12.79,31.9,126.46,101.06
52,53,33.691503268,10.0,19.6862745098,0.50796812749,4.94117647059,10.8431372549,0.455696202532,0.633466135458,4.86274509804,5.33333333333,0.911764705882,5.29411764706,6.54901960784,29.8039215686,0.676349138545,33.937254902,12.7647058824,32.0235294118,126.294117647,101.509803922
53,54,33.7262820513,9.90384615385,19.5961538462,0.505397448479,4.90384615385,10.7884615385,0.454545454545,0.630520117763,4.96153846154,5.46153846154,0.908450704225,5.25,6.59615384615,29.6730769231,0.674411692717,33.9480769231,12.7673076923,31.9711538462,126.076923077,101.692307692
54,55,33.765408805,9.98113207547,19.641509434,0.508165225744,4.90566037736,10.7924528302,0.454545454545,0.633045148895,4.92452830189,5.41509433962,0.909407665505,5.2641509434,6.62264150943,29.7924528302,0.676358714276,34.3075471698,12.6754716981,31.9641509434,126.339622642,101.509433962
55,56,33.7990740741,10.0555555556,19.8148148148,0.507476635514,4.92592592593,10.8148148148,0.455479452055,0.631775700935,4.98148148148,5.46296296296,0.91186440678,5.2962962963,6.62962962963,30.0185185185,0.675529254876,34.4296296296,12.7685185185,32.2388888889,126.12962963,101.703703704
56,57,33.8033333333,10.2363636364,19.9454545455,0.51321786691,5.01818181818,10.8909090909,0.460767946578,0.639015496809,4.90909090909,5.38181818182,0.912162162162,5.32727272727,6.65454545455,30.4,0.681203350608,34.6309090909,12.8163636364,32.3763636364,126.490909091,101.836363636
57,58,33.8726190476,10.3035714286,20.0178571429,0.514719000892,5.14285714286,10.9821428571,0.468292682927,0.64317573595,4.92857142857,5.42857142857,0.907894736842,5.28571428571,6.64285714286,30.6785714286,0.684593069591,34.6071428571,12.7625,32.4535714286,126.785714286,101.982142857
58,59,33.8726190476,10.3035714286,20.0178571429,0.514719000892,5.14285714286,10.9821428571,0.468292682927,0.64317573595,4.92857142857,5.42857142857,0.907894736842,5.28571428571,6.64285714286,30.6785714286,0.684593069591,34.6071428571,12.7625,32.4535714286,126.785714286,101.982142857
59,60,33.9307017544,10.3333333333,20.1052631579,0.513961605585,5.14035087719,11.0526315789,0.465079365079,0.641797556719,4.91228070175,5.42105263158,0.906148867314,5.26315789474,6.59649122807,30.7192982456,0.68293862523,34.2877192982,12.6,32.4964912281,126.614035088,102.122807018
60,61,33.9367816092,10.2586206897,20.1034482759,0.510291595197,5.06896551724,11.0344827586,0.459375,0.636363636364,4.91379310345,5.41379310345,0.907643312102,5.27586206897,6.55172413793,30.5,0.67821432953,34.0344827586,12.6465517241,32.4586206897,125.879310345,102.344827586
61,62,33.9943502825,10.3220338983,20.1694915254,0.511764705882,5.10169491525,11.0677966102,0.460949464012,0.638235294118,4.93220338983,5.42372881356,0.909375,5.40677966102,6.49152542373,30.6779661017,0.680042079952,33.7305084746,12.7,32.4830508475,125.898305085,102.271186441
62,63,33.9530555556,10.2166666667,20.0333333333,0.509983361065,5.06666666667,11.0333333333,0.459214501511,0.636439267887,4.86666666667,5.36666666667,0.906832298137,5.36666666667,6.55,30.3666666667,0.677988806859,33.7733333333,12.8033333333,32.3316666667,125.55,102.2
63,64,33.8789617486,10.262295082,20.0819672131,0.511020408163,5.09836065574,11.0819672131,0.460059171598,0.637959183673,4.80327868852,5.31147540984,0.904320987654,5.32786885246,6.50819672131,30.4262295082,0.678580830092,33.7885245902,12.7770491803,32.431147541,125.606557377,102.409836066
64,65,33.8967741935,10.2903225806,20.1451612903,0.510808646918,5.12903225806,11.1612903226,0.459537572254,0.638110488391,4.79032258065,5.29032258065,0.905487804878,5.29032258065,6.5,30.5,0.678595010479,33.7629032258,12.6306451613,32.464516129,125.725806452,102.741935484
65,66,33.8555555556,10.2857142857,20.0793650794,0.512252964427,5.11111111111,11.126984127,0.459343794579,0.6395256917,4.7619047619,5.26984126984,0.903614457831,5.28571428571,6.47619047619,30.4444444444,0.679621282989,33.6111111111,12.5142857143,32.3682539683,126.142857143,102.841269841
66,67,33.76953125,10.3125,20.078125,0.513618677043,5.15625,11.15625,0.46218487395,0.642023346304,4.71875,5.21875,0.904191616766,5.296875,6.4375,30.5,0.681583284449,33.4984375,12.4546875,32.421875,126.4375,102.71875
67,68,33.7779487179,10.3384615385,20.1692307692,0.512585812357,5.16923076923,11.1692307692,0.462809917355,0.640732265446,4.66153846154,5.15384615385,0.90447761194,5.35384615385,6.49230769231,30.5076923077,0.679854635217,33.6723076923,12.3184615385,32.4446153846,126.415384615,102.769230769
68,69,33.8358585859,10.2424242424,20.1363636364,0.508653122649,5.10606060606,11.1818181818,0.456639566396,0.635440180587,4.66666666667,5.15151515152,0.905882352941,5.36363636364,6.48484848485,30.2575757576,0.675300960368,33.6106060606,12.2681818182,32.3984848485,125.727272727,102.742424242
69,70,33.8507462687,10.1791044776,20.0895522388,0.506686478455,5.05970149254,11.1492537313,0.453815261044,0.632615156018,4.67164179104,5.16417910448,0.904624277457,5.38805970149,6.55223880597,30.0895522388,0.672789406237,33.7597014925,12.3880597015,32.3611940299,125.417910448,102.776119403
70,71,33.9034313725,10.2058823529,20.1323529412,0.506939371804,5.04411764706,11.1323529412,0.453104359313,0.632213294375,4.67647058824,5.17647058824,0.903409090909,5.36764705882,6.52941176471,30.1323529412,0.672297031262,33.6632352941,12.2617647059,32.3367647059,125.514705882,102.720588235
71,72,33.9219806763,10.1884057971,20.1014492754,0.506849315068,5.04347826087,11.1449275362,0.452535760728,0.632299927902,4.75362318841,5.26086956522,0.903581267218,5.40579710145,6.55072463768,30.1739130435,0.67303713665,33.6898550725,12.252173913,32.3536231884,125.68115942,102.869565217
72,73,33.9116666667,10.1428571429,20.0428571429,0.506058446187,5.0,11.1142857143,0.449871465296,0.630791161796,4.74285714286,5.25714285714,0.902173913043,5.37142857143,6.57142857143,30.0285714286,0.671599826189,33.6957142857,12.3342857143,32.3085714286,125.4,102.828571429
73,74,33.9227699531,10.1267605634,20.0422535211,0.505270555165,5.01408450704,11.0704225352,0.452926208651,0.630358397751,4.70422535211,5.21126760563,0.902702702703,5.39436619718,6.57746478873,29.9718309859,0.670954723168,33.7549295775,12.4323943662,32.2985915493,125.056338028,102.521126761
74,75,34.0386574074,10.1388888889,20.0833333333,0.504840940526,5.01388888889,11.0555555556,0.45351758794,0.629668049793,4.69444444444,5.20833333333,0.901333333333,5.41666666667,6.54166666667,29.9861111111,0.67008069522,33.5625,12.4902777778,32.3083333333,124.819444444,102.388888889
75,76,34.0739726027,10.1232876712,20.0684931507,0.504436860068,5.05479452055,11.095890411,0.455555555556,0.630375426621,4.67123287671,5.17808219178,0.902116402116,5.41095890411,6.53424657534,29.9726027397,0.670622563323,33.5136986301,12.7397260274,32.3410958904,124.465753425,102.520547945
76,77,34.0808558559,10.1621621622,20.0810810811,0.506056527591,5.10810810811,11.1216216216,0.459295261239,0.633243606999,4.66216216216,5.16216216216,0.903141361257,5.41891891892,6.54054054054,30.0945945946,0.673183884697,33.4716216216,12.7689189189,32.3621621622,124.837837838,102.635135135
77,78,34.1942222222,10.12,20.1466666667,0.50231634679,5.09333333333,11.16,0.456391875747,0.628722700199,4.64,5.13333333333,0.903896103896,5.42666666667,6.65333333333,29.9733333333,0.668888359914,33.6426666667,12.7346666667,32.3213333333,124.52,102.72
78,79,34.2217105263,10.1315789474,20.1315789474,0.503267973856,5.06578947368,11.1052631579,0.456161137441,0.62908496732,4.60526315789,5.09210526316,0.904392764858,5.42105263158,6.68421052632,29.9342105263,0.669007457595,33.7144736842,12.7394736842,32.2828947368,124.552631579,102.75
79,80,34.2186147186,10.0909090909,20.1558441558,0.500644329897,5.03896103896,11.1428571429,0.452214452214,0.625644329897,4.54545454545,5.02597402597,0.904392764858,5.46753246753,6.7012987013,29.7662337662,0.665397031842,33.7805194805,12.6818181818,32.2883116883,124.051948052,102.74025974
80,81,34.2333333333,10.1282051282,20.1794871795,0.501905972046,5.02564102564,11.1153846154,0.452133794694,0.626429479034,4.57692307692,5.05128205128,0.906091370558,5.46153846154,6.67948717949,29.858974359,0.666433934621,33.8794871795,12.6961538462,32.391025641,124.102564103,102.641025641
81,82,34.1767932489,10.1898734177,20.2278481013,0.503754693367,5.08860759494,11.2151898734,0.453724604966,0.629536921151,4.59493670886,5.06329113924,0.9075,5.44303797468,6.67088607595,30.0632911392,0.669391206313,34.0126582278,12.6240506329,32.5075949367,124.569620253,102.658227848
