,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Anthony Davis 2017,41.2333333333,17.0,34.0,0.5,0.0,2.0,0.0,0.5,16.0,17.0,0.941176470588,15.0,5.0,50.0,0.602700096432,32.0,6.7,45.2,113.0,85.0
1,2,Anthony Davis 2017,40.6,17.0,32.5,0.523076923077,0.5,2.0,0.25,0.530769230769,13.0,15.5,0.838709677419,16.0,4.0,47.5,0.604018311292,22.8,4.65,41.2,120.0,96.5
2,3,Anthony Davis 2017,37.5944444444,13.3333333333,26.6666666667,0.5,0.333333333333,1.33333333333,0.25,0.50625,10.6666666667,13.0,0.820512820513,12.3333333333,2.66666666667,37.6666666667,0.58151502676,15.2,4.8,37.2,111.333333333,98.3333333333
3,4,Anthony Davis 2017,37.4875,12.25,25.25,0.485148514851,0.25,1.75,0.142857142857,0.490099009901,12.25,14.25,0.859649122807,13.0,2.5,37.0,0.58692893401,14.05,4.425,36.45,116.0,99.75
4,5,Anthony Davis 2017,37.1233333333,10.4,22.8,0.456140350877,0.4,2.2,0.181818181818,0.464912280702,10.4,12.4,0.838709677419,11.8,2.2,31.6,0.559173272933,12.4,8.5,34.66,103.6,96.0
5,6,Anthony Davis 2017,38.0277777778,9.83333333333,20.8333333333,0.472,0.333333333333,2.0,0.166666666667,0.48,10.0,12.3333333333,0.810810810811,11.5,2.16666666667,30.0,0.571210967251,11.55,8.05,32.0166666667,108.166666667,96.8333333333
6,7,Anthony Davis 2017,37.5952380952,10.0,20.4285714286,0.48951048951,0.428571428571,2.0,0.214285714286,0.5,10.0,12.4285714286,0.804597701149,11.7142857143,2.0,30.4285714286,0.587488967343,10.7142857143,8.5,32.1571428571,110.714285714,99.7142857143
7,8,Anthony Davis 2017,37.4729166667,10.5,20.625,0.509090909091,0.375,2.0,0.1875,0.518181818182,9.5,11.75,0.808510638298,11.25,1.875,30.875,0.598468695484,10.2125,8.775,32.65,111.625,99.625
8,9,Anthony Davis 2017,37.9148148148,10.5555555556,21.0,0.502645502646,0.333333333333,1.77777777778,0.1875,0.510582010582,9.33333333333,11.3333333333,0.823529411765,10.8888888889,1.88888888889,30.7777777778,0.592184025996,10.0555555556,8.55555555556,32.4444444444,111.777777778,100.111111111
9,10,Anthony Davis 2017,37.6083333333,10.8,21.5,0.502325581395,0.3,1.8,0.166666666667,0.509302325581,9.2,11.3,0.814159292035,10.6,1.9,31.1,0.587413115745,10.36,8.01,33.25,112.1,103.1
10,11,Anthony Davis 2017,37.6742424242,10.4545454545,21.5454545455,0.485232067511,0.272727272727,1.72727272727,0.157894736842,0.491561181435,9.36363636364,11.4545454545,0.81746031746,11.0909090909,1.72727272727,30.5454545455,0.574476815757,9.41818181818,9.11818181818,33.7909090909,108.909090909,101.818181818
