,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Draymond Green 2017,32.6166666667,7.0,14.0,0.5,2.0,5.0,0.4,0.571428571429,2.0,2.0,1.0,12.0,6.0,5.0,18.0,0.604838709677,29.7,11.8,22.8,125.0,114.0
1,2,Draymond Green 2017,33.3416666667,5.0,12.0,0.416666666667,1.5,3.5,0.428571428571,0.479166666667,1.5,2.0,0.75,11.5,6.5,3.5,13.0,0.504658385093,27.25,16.7,19.75,109.0,108.5
2,3,Draymond Green 2017,34.8222222222,4.0,11.0,0.363636363636,1.0,3.66666666667,0.272727272727,0.409090909091,1.33333333333,2.0,0.666666666667,12.0,7.33333333333,2.33333333333,10.3333333333,0.434904601571,29.9,16.7333333333,17.6333333333,98.6666666667,104.0
3,4,Draymond Green 2017,33.6208333333,3.5,9.0,0.388888888889,1.0,3.25,0.307692307692,0.444444444444,1.25,2.0,0.625,11.0,7.75,2.5,9.25,0.468117408907,30.125,12.55,14.575,120.0,100.25
4,5,Draymond Green 2017,32.73,3.2,9.0,0.355555555556,0.8,3.0,0.266666666667,0.4,2.0,2.8,0.714285714286,10.8,7.2,2.2,9.2,0.449569976544,27.96,15.16,16.22,115.0,98.8
5,6,Draymond Green 2017,32.8888888889,3.66666666667,9.16666666667,0.4,0.666666666667,3.0,0.222222222222,0.436363636364,2.33333333333,3.33333333333,0.7,10.5,6.66666666667,2.5,10.3333333333,0.485893416928,26.4166666667,13.85,16.3333333333,117.333333333,99.8333333333
6,7,Draymond Green 2017,33.1476190476,3.42857142857,8.85714285714,0.387096774194,0.571428571429,2.71428571429,0.210526315789,0.41935483871,2.0,2.85714285714,0.7,10.7142857143,7.28571428571,2.42857142857,9.42857142857,0.466101694915,27.7857142857,15.0428571429,15.6142857143,116.428571429,100.0
7,8,Draymond Green 2017,33.3291666667,3.75,9.125,0.41095890411,1.0,3.125,0.32,0.465753424658,1.75,2.625,0.666666666667,10.625,6.875,2.125,10.25,0.498540856031,26.3125,14.1625,15.85,118.25,100.25
8,9,Draymond Green 2017,32.8222222222,3.77777777778,8.88888888889,0.425,1.22222222222,3.22222222222,0.379310344828,0.49375,1.77777777778,2.55555555556,0.695652173913,10.4444444444,6.66666666667,2.22222222222,10.5555555556,0.527075011096,25.7444444444,13.8444444444,15.6,122.444444444,99.3333333333
9,10,Draymond Green 2017,33.2416666667,3.8,9.0,0.422222222222,1.2,3.4,0.352941176471,0.488888888889,2.1,2.8,0.75,10.1,7.1,2.3,10.9,0.532642689601,26.75,14.43,15.73,123.1,100.2
10,11,Draymond Green 2017,33.3924242424,3.90909090909,9.36363636364,0.417475728155,1.18181818182,3.45454545455,0.342105263158,0.480582524272,1.90909090909,2.54545454545,0.75,9.81818181818,6.90909090909,2.27272727273,10.9090909091,0.520291363163,26.0,14.8272727273,16.1,119.272727273,101.454545455
11,12,Draymond Green 2017,33.5388888889,3.83333333333,9.5,0.40350877193,1.25,3.66666666667,0.340909090909,0.469298245614,2.0,2.66666666667,0.75,9.66666666667,7.0,2.16666666667,10.9166666667,0.511399125547,26.1166666667,14.2,16.2333333333,118.333333333,100.583333333
12,13,Draymond Green 2017,33.691025641,3.76923076923,9.30769230769,0.404958677686,1.15384615385,3.46153846154,0.333333333333,0.46694214876,2.15384615385,2.76923076923,0.777777777778,9.07692307692,6.84615384615,2.23076923077,10.8461538462,0.51520023385,25.4769230769,14.5384615385,15.9076923077,118.538461538,101.846153846
13,14,Draymond Green 2017,33.3857142857,3.78571428571,9.14285714286,0.4140625,1.07142857143,3.35714285714,0.31914893617,0.47265625,2.14285714286,2.71428571429,0.789473684211,9.07142857143,6.85714285714,2.21428571429,10.7857142857,0.521697070205,26.0928571429,14.3071428571,15.6642857143,120.571428571,100.142857143
14,15,Draymond Green 2017,33.0222222222,3.6,8.93333333333,0.402985074627,1.0,3.33333333333,0.3,0.458955223881,2.2,2.93333333333,0.75,9.06666666667,7.13333333333,2.13333333333,10.4,0.508607198748,26.8133333333,13.3533333333,15.5066666667,121.133333333,100.0
15,16,Draymond Green 2017,32.5791666667,3.6875,8.8125,0.418439716312,1.0,3.25,0.307692307692,0.475177304965,2.125,2.9375,0.723404255319,9.0,6.9375,2.1875,10.5,0.519544779812,26.50625,13.73125,15.65,120.875,98.1875
16,17,Draymond Green 2017,32.5791666667,3.6875,8.8125,0.418439716312,1.0,3.25,0.307692307692,0.475177304965,2.125,2.9375,0.723404255319,9.0,6.9375,2.1875,10.5,0.519544779812,26.50625,13.73125,15.65,120.875,98.1875
17,18,Draymond Green 2017,32.9666666667,3.58823529412,8.82352941176,0.406666666667,0.941176470588,3.23529411765,0.290909090909,0.46,2.0,2.76470588235,0.723404255319,8.64705882353,6.94117647059,2.11764705882,10.1176470588,0.5038668854,26.4058823529,13.9941176471,15.4529411765,118.058823529,98.2941176471
18,19,Draymond Green 2017,33.7416666667,3.88888888889,9.16666666667,0.424242424242,0.888888888889,3.16666666667,0.280701754386,0.472727272727,2.0,2.88888888889,0.692307692308,9.0,7.05555555556,2.11111111111,10.6666666667,0.510964445391,26.8777777778,14.2666666667,15.6555555556,117.777777778,98.7777777778
19,20,Draymond Green 2017,33.449122807,3.78947368421,9.0,0.421052631579,0.894736842105,3.15789473684,0.283333333333,0.470760233918,2.10526315789,3.0,0.701754385965,8.78947368421,7.42105263158,2.15789473684,10.5789473684,0.512545899633,28.2157894737,15.2421052632,15.8263157895,118.263157895,99.0
20,21,Draymond Green 2017,33.1225,3.65,8.85,0.412429378531,0.85,3.1,0.274193548387,0.460451977401,2.0,2.85,0.701754385965,8.6,7.55,2.25,10.15,0.502276326207,28.515,15.195,15.53,117.75,98.7
21,22,Draymond Green 2017,33.046031746,3.85714285714,8.90476190476,0.433155080214,0.952380952381,3.19047619048,0.298507462687,0.486631016043,2.04761904762,2.90476190476,0.704918032787,8.42857142857,7.38095238095,2.2380952381,10.7142857143,0.526094276094,28.1285714286,14.8428571429,15.619047619,120.285714286,99.0476190476
22,23,Draymond Green 2017,33.1310606061,3.86363636364,8.90909090909,0.433673469388,1.09090909091,3.31818181818,0.328767123288,0.494897959184,2.0,2.95454545455,0.676923076923,8.5,7.40909090909,2.31818181818,10.8181818182,0.529830810329,28.3409090909,14.5545454545,15.6,120.863636364,98.7272727273
23,24,Draymond Green 2017,32.8260869565,3.82608695652,8.82608695652,0.433497536946,1.04347826087,3.21739130435,0.324324324324,0.492610837438,1.95652173913,2.95652173913,0.661764705882,8.4347826087,7.13043478261,2.30434782609,10.652173913,0.525931650352,27.3913043478,15.3347826087,15.8260869565,118.782608696,99.2608695652
