,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,James Harden 2017,37.1833333333,9.0,19.0,0.473684210526,1.0,7.0,0.142857142857,0.5,15.0,16.0,0.9375,7.0,17.0,34.0,0.652841781874,67.8,21.2,38.1,127.0,123.0
1,2,James Harden 2017,36.5166666667,9.0,18.5,0.486486486486,2.5,8.0,0.3125,0.554054054054,9.5,10.5,0.904761904762,7.0,12.5,30.0,0.648788927336,59.45,18.85,35.0,123.5,114.0
2,3,James Harden 2017,37.2166666667,8.66666666667,20.0,0.433333333333,2.66666666667,8.33333333333,0.32,0.5,9.33333333333,11.0,0.848484848485,7.0,11.0,29.3333333333,0.590445517982,53.4,19.9333333333,37.3666666667,113.0,110.0
3,4,James Harden 2017,37.4541666667,9.75,20.0,0.4875,3.25,8.5,0.382352941176,0.56875,9.5,11.75,0.808510638298,7.0,12.0,32.25,0.640643623361,57.75,15.875,35.925,126.75,116.5
4,5,James Harden 2017,36.75,9.6,19.2,0.5,3.6,9.2,0.391304347826,0.59375,9.0,11.0,0.818181818182,6.8,12.6,31.8,0.661397670549,60.7,15.36,34.06,134.0,113.2
5,6,James Harden 2017,36.7777777778,9.66666666667,19.1666666667,0.504347826087,3.66666666667,9.0,0.407407407407,0.6,8.5,10.3333333333,0.822580645161,7.16666666667,12.3333333333,31.5,0.664183300534,60.5166666667,17.2333333333,33.9666666667,130.666666667,111.833333333
6,7,James Harden 2017,37.2095238095,9.57142857143,19.1428571429,0.5,3.57142857143,8.71428571429,0.409836065574,0.59328358209,8.85714285714,10.4285714286,0.849315068493,6.85714285714,12.7142857143,31.5714285714,0.665181796292,60.4428571429,18.0142857143,34.1714285714,130.0,112.428571429
7,8,James Harden 2017,37.6625,9.5,19.125,0.496732026144,3.25,8.25,0.393939393939,0.581699346405,8.375,10.0,0.8375,7.5,13.0,30.625,0.650903294368,61.225,19.0875,34.0375,126.625,111.25
8,9,James Harden 2017,37.8037037037,9.22222222222,19.0,0.485380116959,3.11111111111,8.33333333333,0.373333333333,0.567251461988,8.44444444444,10.1111111111,0.835164835165,7.88888888889,13.0,30.0,0.639689158453,61.4444444444,19.5777777778,33.9,125.0,112.111111111
9,10,James Harden 2017,37.325,9.5,19.1,0.497382198953,3.2,8.3,0.385542168675,0.581151832461,8.1,9.6,0.84375,7.8,12.6,30.3,0.649545532499,60.23,19.46,33.93,126.4,110.0
10,11,James Harden 2017,37.2712121212,9.0,18.8181818182,0.478260869565,3.0,8.0,0.375,0.557971014493,7.72727272727,9.36363636364,0.825242718447,7.72727272727,12.6363636364,28.7272727273,0.626188966392,59.2,19.8636363636,33.4545454545,122.636363636,109.363636364
11,12,James Harden 2017,36.8,8.83333333333,18.6666666667,0.473214285714,3.0,8.0,0.375,0.553571428571,7.83333333333,9.5,0.824561403509,8.08333333333,12.75,28.5,0.623723373213,59.275,19.5,33.4166666667,123.333333333,108.5
12,13,James Harden 2017,36.6551282051,8.92307692308,19.0769230769,0.467741935484,3.07692307692,8.15384615385,0.377358490566,0.548387096774,7.76923076923,9.46153846154,0.821138211382,7.76923076923,12.5384615385,28.6923076923,0.617304382365,58.4615384615,18.0,33.6153846154,123.615384615,108.769230769
13,14,James Harden 2017,36.725,8.71428571429,18.9285714286,0.460377358491,3.0,8.21428571429,0.365217391304,0.539622641509,8.21428571429,10.1428571429,0.80985915493,7.78571428571,12.4285714286,28.6428571429,0.61225112984,57.95,18.0785714286,33.9357142857,122.785714286,108.428571429
14,15,James Harden 2017,36.9788888889,8.6,18.5333333333,0.464028776978,3.0,8.2,0.365853658537,0.544964028777,8.46666666667,10.2666666667,0.824675324675,7.66666666667,12.6,28.6666666667,0.621818602499,58.0733333333,19.5133333333,33.86,122.266666667,109.066666667
15,16,James Harden 2017,37.1666666667,8.4375,18.5,0.456081081081,3.0,8.375,0.358208955224,0.537162162162,8.4375,10.125,0.833333333333,7.75,12.4375,28.3125,0.616695708996,56.73125,19.475,33.5875,121.5625,109.125
16,17,James Harden 2017,37.0088235294,8.58823529412,18.7058823529,0.459119496855,3.11764705882,8.58823529412,0.36301369863,0.542452830189,8.58823529412,10.2941176471,0.834285714286,7.41176470588,12.2941176471,28.8823529412,0.621518987342,56.0647058824,19.2294117647,34.1529411765,122.176470588,109.588235294
17,18,James Harden 2017,36.9046296296,8.55555555556,18.9444444444,0.451612903226,3.05555555556,8.44444444444,0.361842105263,0.532258064516,8.55555555556,10.2777777778,0.832432432432,7.27777777778,12.0,28.7222222222,0.611979166667,54.9888888889,18.5388888889,34.3277777778,121.666666667,111.0
18,19,James Harden 2017,37.3728070175,8.52631578947,19.1578947368,0.445054945055,3.0,8.57894736842,0.349693251534,0.523351648352,8.68421052632,10.4736842105,0.829145728643,7.68421052632,12.0526315789,28.7368421053,0.604570821153,54.3842105263,18.5842105263,34.2421052632,120.631578947,110.368421053
19,20,James Harden 2017,37.1666666667,8.4,19.0,0.442105263158,2.9,8.4,0.345238095238,0.518421052632,8.6,10.35,0.830917874396,7.65,11.9,28.3,0.600747219156,53.455,18.675,34.14,119.95,110.35
20,21,James Harden 2017,37.0785714286,8.38095238095,18.7619047619,0.446700507614,2.90476190476,8.2380952381,0.352601156069,0.524111675127,9.04761904762,10.7142857143,0.844444444444,7.66666666667,11.6666666667,28.7142857143,0.611561866126,52.8666666667,19.2761904762,34.4714285714,120.095238095,109.952380952
