,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Kawhi Leonard 2017,32.05,10.0,21.0,0.47619047619,0.0,3.0,0.0,0.47619047619,15.0,15.0,1.0,5.0,3.0,35.0,0.634057971014,14.0,6.8,36.2,145.0,94.0
1,2,Kawhi Leonard 2017,33.4833333333,10.5,21.0,0.5,0.5,4.0,0.125,0.511904761905,11.0,11.0,1.0,4.0,4.0,32.5,0.62886996904,23.45,5.4,35.35,136.0,94.5
2,3,Kawhi Leonard 2017,31.6555555556,9.0,18.0,0.5,1.0,4.0,0.25,0.527777777778,9.33333333333,9.33333333333,1.0,4.0,3.66666666667,28.3333333333,0.640832328106,22.5666666667,3.6,31.7666666667,138.0,90.6666666667
3,4,Kawhi Leonard 2017,31.1958333333,8.75,17.5,0.5,1.0,3.75,0.266666666667,0.528571428571,9.5,10.0,0.95,3.5,4.25,28.0,0.639269406393,26.925,6.65,33.2,133.75,94.25
4,5,Kawhi Leonard 2017,32.1133333333,9.0,17.6,0.511363636364,1.8,4.4,0.409090909091,0.5625,8.6,9.0,0.955555555556,4.2,3.8,28.4,0.658627087199,24.28,7.12,32.88,132.6,98.6
5,6,Kawhi Leonard 2017,32.0111111111,9.0,17.6666666667,0.509433962264,1.66666666667,4.5,0.37037037037,0.556603773585,8.83333333333,9.16666666667,0.963636363636,5.33333333333,3.83333333333,28.5,0.65668202765,24.6,6.65,33.1333333333,133.833333333,97.6666666667
6,7,Kawhi Leonard 2017,31.4261904762,8.14285714286,17.0,0.478991596639,1.42857142857,4.28571428571,0.333333333333,0.521008403361,8.71428571429,9.0,0.968253968254,5.42857142857,3.42857142857,26.4285714286,0.630452562704,22.0714285714,7.24285714286,32.9428571429,127.0,100.857142857
7,8,Kawhi Leonard 2017,32.3708333333,8.5,18.125,0.468965517241,1.75,4.5,0.388888888889,0.51724137931,8.625,8.875,0.971830985915,5.625,3.125,27.375,0.621311847481,20.1,7.125,33.35,125.125,101.75
8,9,Kawhi Leonard 2017,32.9074074074,8.11111111111,18.1111111111,0.447852760736,2.0,4.55555555556,0.439024390244,0.503067484663,8.0,8.22222222222,0.972972972973,5.44444444444,2.88888888889,26.2222222222,0.603395377378,18.3555555556,7.37777777778,32.7888888889,120.555555556,100.777777778
9,10,Kawhi Leonard 2017,33.38,8.2,17.9,0.458100558659,1.8,4.6,0.391304347826,0.508379888268,7.4,7.6,0.973684210526,5.1,2.6,25.6,0.602523065336,16.52,7.7,32.0,118.5,101.2
10,11,Kawhi Leonard 2017,33.4878787879,8.09090909091,18.0,0.449494949495,1.90909090909,4.63636363636,0.411764705882,0.502525252525,7.36363636364,7.72727272727,0.952941176471,5.72727272727,2.72727272727,25.4545454545,0.594732370433,17.1909090909,8.34545454545,32.1636363636,116.909090909,100.636363636
11,12,Kawhi Leonard 2017,33.3666666667,8.0,17.6666666667,0.452830188679,2.08333333333,5.0,0.416666666667,0.51179245283,6.91666666667,7.25,0.954022988506,5.75,2.58333333333,25.0,0.599328751798,16.1416666667,8.175,31.3416666667,117.75,100.75
12,13,Kawhi Leonard 2017,33.8153846154,7.92307692308,17.4615384615,0.453744493392,2.07692307692,5.15384615385,0.402985074627,0.513215859031,6.92307692308,7.30769230769,0.947368421053,6.23076923077,2.92307692308,24.8461538462,0.600818452381,16.7615384615,8.61538461538,30.9923076923,117.846153846,101.307692308
13,14,Kawhi Leonard 2017,33.8142857143,7.92857142857,17.5714285714,0.451219512195,2.0,4.85714285714,0.411764705882,0.508130081301,6.92857142857,7.35714285714,0.941747572816,6.42857142857,3.0,24.7857142857,0.595565014417,17.2785714286,8.30714285714,31.1857142857,117.714285714,101.285714286
14,15,Kawhi Leonard 2017,34.0,8.33333333333,17.8,0.468164794007,2.0,5.0,0.4,0.524344569288,6.46666666667,6.93333333333,0.932692307692,6.33333333333,3.06666666667,25.1333333333,0.602698554802,17.4933333333,7.75333333333,30.9133333333,119.533333333,102.666666667
15,16,Kawhi Leonard 2017,34.0635416667,8.3125,17.8125,0.466666666667,2.0625,5.125,0.40243902439,0.524561403509,6.4375,6.875,0.936363636364,6.5625,3.125,25.125,0.602879424115,17.66875,7.81875,30.775,120.0625,103.0625
16,17,Kawhi Leonard 2017,34.1549019608,8.11764705882,17.5882352941,0.461538461538,2.0,5.17647058824,0.386363636364,0.518394648829,6.52941176471,7.05882352941,0.925,6.23529411765,3.23529411765,24.7647058824,0.598351335986,17.8235294118,8.18235294118,30.6294117647,119.058823529,103.294117647
17,18,Kawhi Leonard 2017,34.037037037,8.0,17.5,0.457142857143,1.94444444444,5.11111111111,0.380434782609,0.512698412698,6.61111111111,7.16666666667,0.922480620155,6.0,3.05555555556,24.5555555556,0.594469550247,16.8333333333,8.23333333333,30.6611111111,118.166666667,103.333333333
18,19,Kawhi Leonard 2017,33.8789473684,7.84210526316,17.4210526316,0.450151057402,1.94736842105,5.10526315789,0.381443298969,0.506042296073,6.73684210526,7.42105263158,0.90780141844,6.05263157895,3.0,24.3684210526,0.588998575209,16.5894736842,8.25263157895,31.0947368421,117.315789474,103.105263158
19,20,Kawhi Leonard 2017,33.9,7.9,17.45,0.452722063037,1.95,5.05,0.386138613861,0.508595988539,6.55,7.2,0.909722222222,6.0,2.95,24.3,0.589290910855,16.29,8.085,30.84,117.4,103.45
20,21,Kawhi Leonard 2017,33.75,7.95238095238,17.6666666667,0.450134770889,1.90476190476,5.04761904762,0.377358490566,0.504043126685,6.33333333333,6.95238095238,0.91095890411,6.14285714286,2.80952380952,24.1428571429,0.582437275986,15.5142857143,8.08095238095,31.0047619048,116.047619048,103.238095238
