,Game,PTS_G
0,1,19.0
1,2,20.0
2,3,21.0
3,4,20.5
4,5,22.4
5,6,22.83
6,7,22.86
7,8,23.38
8,9,22.89
9,10,23.4
10,11,23.4
11,12,23.18
12,13,23.83
13,14,23.46
14,15,23.64
15,16,23.53
16,17,23.06
17,18,23.29
18,19,23.89
19,20,23.95
20,21,24.1
21,22,25.05
22,23,24.95
23,24,24.9545454545
24,25,25.0
25,26,25.38
26,27,25.52
27,28,25.27
28,29,25.48
29,30,25.4814814815
30,31,25.39
31,32,25.62
32,33,25.63
33,34,25.81
34,35,26.12
35,36,26.18
36,37,26.26
37,38,26.09
38,39,25.81
39,40,25.65
40,41,25.53
41,42,25.62
42,43,25.62
43,44,25.59
44,45,25.71
45,46,25.7
46,47,25.64
47,48,25.67
48,49,25.8
49,50,25.94
50,51,25.92
51,52,25.76
52,53,25.78
53,54,25.76
54,55,25.87
55,56,25.72
56,57,25.7169811321
57,58,25.69
58,59,25.73
59,60,25.95
60,61,25.9464285714
61,62,26.02
62,63,26.07
63,64,26.03
64,65,26.1
65,66,25.93
66,67,26.05
67,68,26.0483870968
68,69,26.17
69,70,26.05
70,71,26.14
71,72,26.11
72,73,25.97
73,74,25.97
74,75,26.09
75,76,26.3
76,77,26.18
77,78,26.32
78,79,26.33
79,80,26.41
80,81,26.4054054054
81,82,26.4054054054
