,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Nikola Jokic 2017,21.1333333333,2.0,5.0,0.4,1.0,2.0,0.5,0.5,0.0,0.0,0.0,7.0,2.0,0.0,5.0,0.5,14.0,44.4,16.8,68.0,98.0
1,2,Nikola Jokic 2017,27.6166666667,6.0,12.5,0.48,1.0,3.5,0.285714285714,0.52,1.0,1.5,0.666666666667,12.0,2.0,2.0,14.0,0.531914893617,13.9,24.45,21.35,93.5,93.5
2,3,Nikola Jokic 2017,25.8666666667,6.0,11.3333333333,0.529411764706,0.666666666667,2.66666666667,0.25,0.558823529412,0.666666666667,1.0,0.666666666667,9.33333333333,1.66666666667,1.33333333333,13.3333333333,0.566251415629,12.8333333333,26.5666666667,23.1333333333,94.0,102.0
3,4,Nikola Jokic 2017,23.0083333333,5.25,9.25,0.567567567568,0.5,2.0,0.25,0.594594594595,1.0,1.75,0.571428571429,7.75,2.5,1.0,12.0,0.59880239521,23.95,24.275,21.625,109.0,102.5
4,5,Nikola Jokic 2017,22.9466666667,4.8,9.2,0.521739130435,0.4,1.6,0.25,0.54347826087,0.8,1.4,0.571428571429,7.4,2.0,1.0,10.8,0.550122249389,19.16,21.42,20.86,101.8,102.4
5,6,Nikola Jokic 2017,22.8305555556,4.66666666667,8.5,0.549019607843,0.333333333333,1.5,0.222222222222,0.56862745098,0.833333333333,1.33333333333,0.625,7.0,2.0,1.0,10.5,0.577769625825,18.0,20.4333333333,19.4,109.0,102.333333333
6,7,Nikola Jokic 2017,23.6214285714,4.57142857143,8.71428571429,0.524590163934,0.428571428571,1.71428571429,0.25,0.549180327869,1.14285714286,1.71428571429,0.666666666667,6.71428571429,2.0,1.14285714286,10.7142857143,0.565781532891,17.1428571429,17.5142857143,19.2857142857,110.142857143,102.857142857
7,8,Nikola Jokic 2017,22.9791666667,4.125,8.25,0.5,0.375,1.875,0.2,0.522727272727,1.25,1.75,0.714285714286,6.25,2.0,1.125,9.875,0.547394678492,16.8375,15.325,18.475,109.5,105.625
8,9,Nikola Jokic 2017,22.6981481481,3.88888888889,8.11111111111,0.479452054795,0.333333333333,1.66666666667,0.2,0.5,1.33333333333,1.77777777778,0.75,5.88888888889,1.88888888889,1.11111111111,9.44444444444,0.530984507746,15.8,14.8777777778,18.5777777778,107.777777778,107.0
9,10,Nikola Jokic 2017,23.0216666667,3.5,7.6,0.460526315789,0.3,1.5,0.2,0.480263157895,1.2,1.6,0.75,5.8,2.0,1.1,8.5,0.511801541426,15.76,17.39,17.48,100.3,107.0
