,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Russell Westbrook 2017,36.3833333333,11.0,21.0,0.52380952381,1.0,2.0,0.5,0.547619047619,9.0,11.0,0.818181818182,12.0,9.0,32.0,0.61919504644,48.5,7.2,31.8,130.0,99.0
1,2,Russell Westbrook 2017,40.85,14.0,32.5,0.430769230769,1.5,6.0,0.25,0.453846153846,12.0,15.5,0.774193548387,12.5,9.5,41.5,0.527721261445,53.3,7.95,41.0,118.0,97.0
2,3,Russell Westbrook 2017,38.45,13.0,28.6666666667,0.453488372093,2.66666666667,6.0,0.444444444444,0.5,10.0,12.3333333333,0.810810810811,12.0,11.6666666667,38.6666666667,0.567070786077,61.5,12.9,39.3333333333,121.0,95.6666666667
3,4,Russell Westbrook 2017,37.0,13.25,29.0,0.456896551724,2.0,6.25,0.32,0.491379310345,9.25,11.5,0.804347826087,10.5,10.0,37.75,0.554169113329,59.825,15.35,43.7,112.25,91.0
4,5,Russell Westbrook 2017,35.3733333333,11.4,26.2,0.435114503817,2.0,5.8,0.344827586207,0.473282442748,9.4,12.0,0.783333333333,9.6,10.0,34.2,0.543202033037,59.6,16.7,42.8,109.0,97.2
5,6,Russell Westbrook 2017,34.2055555556,11.0,24.8333333333,0.442953020134,2.33333333333,5.66666666667,0.411764705882,0.489932885906,8.83333333333,11.3333333333,0.779411764706,9.0,9.66666666667,33.1666666667,0.556114464565,57.25,15.3333333333,41.7833333333,114.0,96.3333333333
6,7,Russell Westbrook 2017,33.1261904762,10.1428571429,23.5714285714,0.430303030303,2.14285714286,5.71428571429,0.375,0.475757575758,8.0,10.1428571429,0.788732394366,8.42857142857,9.85714285714,30.4285714286,0.542702812882,59.1857142857,16.3428571429,41.1142857143,110.714285714,96.7142857143
7,8,Russell Westbrook 2017,33.83125,10.0,23.875,0.418848167539,2.25,6.5,0.346153846154,0.465968586387,8.875,11.125,0.797752808989,8.25,9.5,31.125,0.540928050052,57.2375,16.6875,42.0625,109.625,99.375
8,9,Russell Westbrook 2017,33.9907407407,9.88888888889,24.0,0.412037037037,2.33333333333,6.33333333333,0.368421052632,0.460648148148,8.77777777778,10.8888888889,0.80612244898,8.88888888889,9.44444444444,30.8888888889,0.536430997221,56.1666666667,16.1777777778,41.8222222222,109.333333333,99.7777777778
9,10,Russell Westbrook 2017,34.355,10.3,23.7,0.434599156118,2.1,6.0,0.35,0.478902953586,9.2,11.6,0.793103448276,9.2,10.1,31.9,0.553742535759,57.55,15.21,41.12,113.7,102.3
10,11,Russell Westbrook 2017,34.2833333333,10.3636363636,23.4545454545,0.441860465116,1.90909090909,5.63636363636,0.338709677419,0.482558139535,9.36363636364,11.6363636364,0.8046875,9.72727272727,9.90909090909,32.0,0.559938915755,58.3363636364,15.7363636364,41.2181818182,113.272727273,102.454545455
11,12,Russell Westbrook 2017,34.4347222222,10.25,23.1666666667,0.442446043165,1.91666666667,5.5,0.348484848485,0.48381294964,9.41666666667,11.5833333333,0.812949640288,9.5,9.83333333333,31.8333333333,0.563156032551,57.0333333333,16.05,41.0,113.0,102.416666667
