,Game,PTS_G,AST_G
0,1,26.0,4.0
1,2,24.5,6.0
2,3,25.67,5.0
3,4,26.25,4.5
4,5,25.2,5.0
5,6,23.17,5.83
6,7,26.43,5.71
7,8,26.12,5.75
8,9,26.89,5.78
9,10,27.2,5.8
10,11,27.91,5.91
11,12,26.92,6.08
12,13,26.38,6.0
13,14,26.07,6.0
14,15,26.4,6.2
15,16,26.25,6.12
16,17,26.71,6.12
17,18,26.61,5.94
18,19,26.68,5.89
19,20,26.9,5.65
20,21,26.24,5.9
21,22,25.91,5.91
22,23,25.91,5.74
23,24,25.54,5.62
24,25,25.4,5.76
25,26,25.58,5.81
26,27,24.93,5.89
27,28,24.71,5.89
28,29,24.72,5.83
29,30,24.4,5.87
30,31,24.42,5.94
31,32,24.12,5.84
32,33,24.24,5.88
33,34,23.94,5.85
34,35,23.89,5.83
35,36,24.19,5.81
36,37,24.62,5.81
37,38,24.76,5.82
38,39,24.74,5.9
39,40,24.73,5.92
40,41,24.61,6.05
41,42,24.6,6.1
42,43,24.58,6.12
43,44,24.64,6.11
44,45,24.56,6.16
45,46,24.63,6.17
46,47,25.02,6.17
47,48,25.0212765957,6.17021276596
48,49,25.31,6.21
49,50,25.39,6.31
50,51,25.58,6.36
51,52,25.33,6.35
52,53,25.19,6.33
53,54,25.21,6.38
54,55,24.94,6.35
55,56,24.73,6.4
56,57,24.91,6.38
57,58,24.95,6.35
58,59,24.84,6.34
59,60,24.85,6.31
60,61,24.82,6.28
61,62,24.92,6.28
62,63,24.9,6.32
63,64,24.87,6.32
64,65,24.89,6.33
65,66,24.890625,6.328125
66,67,24.95,6.31
67,68,24.95,6.35
68,69,25.0,6.31
69,70,24.97,6.31
70,71,24.86,6.35
71,72,24.89,6.43
72,73,24.83,6.49
73,74,24.93,6.5
74,75,24.99,6.56
75,76,24.97,6.54
76,77,25.2,6.56
77,78,25.12,6.59
78,79,25.34,6.65
79,80,25.3376623377,6.64935064935
80,81,25.37,6.62
81,82,25.3,6.63
