,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Ben Simmons 2018,34.6666666667,7.0,14.0,0.5,0.0,0.0,0.0,0.5,4.0,6.0,0.666666666667,10.0,5.0,2.0,18.0,0.540865384615,20.8,5.7,20.6,124.0,110.0
1,2,Ben Simmons 2018,35.7833333333,5.5,12.5,0.44,0.0,0.0,0.0,0.44,3.5,6.0,0.583333333333,10.5,5.0,1.5,14.5,0.478863936592,21.3,14.2,20.25,103.0,105.5
2,3,Ben Simmons 2018,34.9833333333,6.0,13.6666666667,0.439024390244,0.0,0.666666666667,0.0,0.439024390244,3.66666666667,6.66666666667,0.55,10.3333333333,6.0,1.0,15.6666666667,0.471887550201,31.6666666667,13.9,22.6666666667,100.333333333,110.333333333
3,4,Ben Simmons 2018,34.6375,6.5,13.0,0.5,0.0,0.5,0.0,0.5,4.0,6.5,0.615384615385,10.75,7.0,1.0,17.0,0.535939470366,38.9,16.1,22.9,109.0,104.5
4,5,Ben Simmons 2018,34.5233333333,6.6,13.8,0.478260869565,0.0,0.6,0.0,0.478260869565,3.2,5.6,0.571428571429,10.0,7.4,1.4,16.4,0.504181013281,38.78,16.54,23.66,104.8,104.4
5,6,Ben Simmons 2018,34.375,7.16666666667,14.0,0.511904761905,0.0,0.5,0.0,0.511904761905,3.16666666667,5.33333333333,0.59375,9.5,7.5,1.66666666667,17.5,0.535277324633,38.9333333333,14.7166666667,23.7,112.5,105.0
6,7,Ben Simmons 2018,34.9738095238,7.57142857143,14.1428571429,0.535353535354,0.0,0.571428571429,0.0,0.535353535354,3.28571428571,5.85714285714,0.560975609756,9.14285714286,7.71428571429,1.42857142857,18.4285714286,0.551093643199,38.4428571429,15.6,24.2,112.714285714,105.857142857
7,8,Ben Simmons 2018,34.7895833333,7.625,14.375,0.530434782609,0.0,0.625,0.0,0.530434782609,3.25,5.875,0.553191489362,9.625,7.875,1.5,18.5,0.545400943396,38.3,15.8625,24.3875,112.0,104.625
8,9,Ben Simmons 2018,35.2055555556,7.33333333333,14.2222222222,0.515625,0.0,0.555555555556,0.0,0.515625,3.33333333333,5.66666666667,0.588235294118,9.77777777778,8.22222222222,1.55555555556,18.0,0.53842063281,37.8777777778,16.9111111111,24.0333333333,111.333333333,104.111111111
9,10,Ben Simmons 2018,35.2916666667,7.3,15.0,0.486666666667,0.0,0.6,0.0,0.486666666667,3.2,5.3,0.603773584906,10.1,8.0,1.7,17.8,0.513501038541,37.32,17.3,24.94,107.2,101.4
10,11,Ben Simmons 2018,34.5272727273,7.18181818182,14.3636363636,0.5,0.0,0.545454545455,0.0,0.5,3.45454545455,5.54545454545,0.622950819672,9.36363636364,7.81818181818,1.72727272727,17.8181818182,0.530188270937,37.6363636364,18.0727272727,24.8454545455,108.909090909,101.636363636
11,12,Ben Simmons 2018,34.0555555556,7.08333333333,14.5833333333,0.485714285714,0.0,0.5,0.0,0.485714285714,3.25,5.41666666667,0.6,9.0,7.83333333333,1.75,17.4166666667,0.51326129666,37.7583333333,18.0333333333,25.3666666667,106.75,103.416666667
12,13,Ben Simmons 2018,34.3243589744,7.23076923077,14.5384615385,0.497354497354,0.0,0.538461538462,0.0,0.497354497354,3.30769230769,5.46153846154,0.605633802817,9.23076923077,7.53846153846,1.69230769231,17.7692307692,0.52442789684,36.3384615385,18.4230769231,25.3076923077,107.076923077,103.384615385
13,14,Ben Simmons 2018,34.6654761905,7.28571428571,14.4285714286,0.50495049505,0.0,0.5,0.0,0.50495049505,3.21428571429,5.35714285714,0.6,9.21428571429,7.71428571429,1.92857142857,17.7857142857,0.529787234043,36.4642857143,17.5571428571,24.7,109.142857143,102.928571429
14,15,Ben Simmons 2018,34.8722222222,7.53333333333,14.4666666667,0.520737327189,0.0,0.466666666667,0.0,0.520737327189,3.06666666667,5.13333333333,0.597402597403,9.13333333333,8.0,1.86666666667,18.1333333333,0.542091836735,37.1133333333,16.78,24.2933333333,112.2,104.4
15,16,Ben Simmons 2018,34.834375,7.875,15.0625,0.522821576763,0.0,0.4375,0.0,0.522821576763,2.9375,5.0625,0.58024691358,9.1875,7.625,2.0,18.6875,0.540413533835,35.475,16.56875,25.06875,111.25,102.8125
16,17,Ben Simmons 2018,35.0833333333,7.88235294118,15.3529411765,0.513409961686,0.0,0.411764705882,0.0,0.513409961686,2.76470588235,4.88235294118,0.566265060241,9.11764705882,7.70588235294,2.05882352941,18.5294117647,0.529376176392,35.6176470588,16.3352941176,25.0882352941,109.764705882,101.176470588
17,18,Ben Simmons 2018,35.0833333333,7.88235294118,15.3529411765,0.513409961686,0.0,0.411764705882,0.0,0.513409961686,2.76470588235,4.88235294118,0.566265060241,9.11764705882,7.70588235294,2.05882352941,18.5294117647,0.529376176392,35.6176470588,16.3352941176,25.0882352941,109.764705882,101.176470588
18,19,Ben Simmons 2018,35.087037037,7.72222222222,15.1111111111,0.511029411765,0.0,0.388888888889,0.0,0.511029411765,2.61111111111,4.61111111111,0.566265060241,9.05555555556,7.38888888889,2.11111111111,18.0555555556,0.526708155063,34.1611111111,16.9111111111,24.6666666667,108.166666667,101.888888889
19,20,Ben Simmons 2018,35.3771929825,7.73684210526,15.1578947368,0.510416666667,0.0,0.421052631579,0.0,0.510416666667,3.26315789474,5.89473684211,0.553571428571,9.52631578947,7.21052631579,2.10526315789,18.7368421053,0.52775142315,33.2684210526,16.9315789474,25.0842105263,107.894736842,101.842105263
20,21,Ben Simmons 2018,35.605,7.65,15.1,0.506622516556,0.0,0.4,0.0,0.506622516556,3.25,5.8,0.560344827586,9.35,7.2,2.25,18.55,0.525436211194,33.12,17.29,24.955,107.4,102.1
21,22,Ben Simmons 2018,35.7753968254,7.38095238095,14.6666666667,0.503246753247,0.0,0.380952380952,0.0,0.503246753247,3.14285714286,5.61904761905,0.559322033898,9.38095238095,7.14285714286,2.14285714286,17.9047619048,0.522338297399,32.619047619,18.219047619,24.3095238095,106.142857143,102.285714286
22,23,Ben Simmons 2018,35.7954545455,7.45454545455,14.8181818182,0.503067484663,0.0,0.363636363636,0.0,0.503067484663,3.09090909091,5.45454545455,0.566666666667,9.31818181818,7.13636363636,2.31818181818,18.0,0.522703273495,32.6954545455,18.0136363636,24.3818181818,106.227272727,102.454545455
23,24,Ben Simmons 2018,36.0898550725,7.39130434783,14.7826086957,0.5,0.0,0.347826086957,0.0,0.5,2.95652173913,5.30434782609,0.55737704918,9.4347826087,7.47826086957,2.21739130435,17.7391304348,0.518187360293,33.5565217391,18.152173913,24.1782608696,105.826086957,102.608695652
24,25,Ben Simmons 2018,36.0666666667,7.375,14.7083333333,0.501416430595,0.0,0.333333333333,0.0,0.501416430595,2.83333333333,5.08333333333,0.55737704918,9.29166666667,7.58333333333,2.16666666667,17.5833333333,0.518835448018,34.2,18.8541666667,24.2666666667,105.041666667,102.916666667
25,26,Ben Simmons 2018,36.0593333333,7.48,14.76,0.506775067751,0.0,0.32,0.0,0.506775067751,3.0,5.24,0.572519083969,9.12,7.68,2.08,17.96,0.526204762798,34.58,18.9,24.356,105.96,104.08
26,27,Ben Simmons 2018,36.2237179487,7.30769230769,14.5,0.503978779841,0.0,0.307692307692,0.0,0.503978779841,2.92307692308,5.15384615385,0.567164179104,8.88461538462,7.69230769231,2.03846153846,17.5384615385,0.522983759978,34.3730769231,19.8230769231,24.1192307692,104.384615385,104.153846154
27,28,Ben Simmons 2018,36.7919753086,7.25925925926,14.3333333333,0.50645994832,0.0,0.296296296296,0.0,0.50645994832,2.81481481481,5.03703703704,0.558823529412,8.88888888889,7.81481481481,2.11111111111,17.3333333333,0.523677378928,34.4555555556,19.8888888889,23.7185185185,104.555555556,103.851851852
28,29,Ben Simmons 2018,36.7261904762,7.32142857143,14.4642857143,0.506172839506,0.0,0.321428571429,0.0,0.506172839506,2.75,5.03571428571,0.54609929078,8.96428571429,7.89285714286,2.03571428571,17.3928571429,0.52136861939,34.775,19.6392857143,23.8285714286,104.678571429,103.892857143
29,30,Ben Simmons 2018,36.5908045977,7.24137931034,14.1724137931,0.510948905109,0.0,0.310344827586,0.0,0.510948905109,2.75862068966,5.03448275862,0.547945205479,9.06896551724,7.93103448276,2.06896551724,17.2413793103,0.526049995792,35.2793103448,20.0931034483,23.5620689655,105.344827586,103.551724138
30,31,Ben Simmons 2018,36.4838888889,7.3,14.1666666667,0.515294117647,0.0,0.3,0.0,0.515294117647,2.73333333333,5.03333333333,0.543046357616,8.96666666667,7.8,2.0,17.3333333333,0.52905746378,34.7,20.43,23.7433333333,104.9,104.166666667
31,32,Ben Simmons 2018,36.3591397849,7.22580645161,14.1290322581,0.511415525114,0.0,0.290322580645,0.0,0.511415525114,2.64516129032,4.93548387097,0.535947712418,8.83870967742,7.74193548387,1.96774193548,17.0967741935,0.524420169398,34.6903225806,20.3451612903,23.7,104.032258065,104.161290323
32,33,Ben Simmons 2018,36.2536458333,7.125,13.9375,0.511210762332,0.0,0.28125,0.0,0.511210762332,2.5625,4.84375,0.529032258065,8.8125,7.59375,1.9375,16.8125,0.523142746013,34.075,20.284375,23.409375,103.5625,104.0625
33,34,Ben Simmons 2018,36.1808080808,7.12121212121,14.0303030303,0.507559395248,0.0,0.272727272727,0.0,0.507559395248,2.57575757576,4.78787878788,0.537974683544,8.66666666667,7.60606060606,1.90909090909,16.8181818182,0.521107188462,34.1151515152,20.096969697,23.5636363636,103.424242424,104.424242424
34,35,Ben Simmons 2018,36.0598039216,7.0,13.8823529412,0.504237288136,0.0,0.264705882353,0.0,0.504237288136,2.5,4.64705882353,0.537974683544,8.58823529412,7.55882352941,1.85294117647,16.5,0.517986408628,33.7647058824,20.5558823529,23.4294117647,102.264705882,104.352941176
35,36,Ben Simmons 2018,35.9471428571,7.0,13.8,0.507246376812,0.0,0.257142857143,0.0,0.507246376812,2.62857142857,4.82857142857,0.544378698225,8.6,7.51428571429,1.88571428571,16.6285714286,0.52210420554,33.5885714286,20.6542857143,23.5485714286,102.571428571,104.114285714
36,37,Ben Simmons 2018,35.8847222222,7.02777777778,13.9166666667,0.50499001996,0.0,0.277777777778,0.0,0.50499001996,2.83333333333,5.11111111111,0.554347826087,8.5,7.41666666667,1.91666666667,16.8888888889,0.522372671661,33.3,20.4694444444,23.9055555556,102.583333333,104.138888889
37,38,Ben Simmons 2018,35.5369369369,7.08108108108,13.8918918919,0.509727626459,0.0,0.27027027027,0.0,0.509727626459,2.78378378378,5.0,0.556756756757,8.37837837838,7.45945945946,1.91891891892,16.9459459459,0.526536781995,34.4108108108,20.5351351351,24.172972973,103.297297297,103.297297297
38,39,Ben Simmons 2018,35.3526315789,7.10526315789,13.8421052632,0.513307984791,0.0,0.263157894737,0.0,0.513307984791,2.71052631579,4.86842105263,0.556756756757,8.21052631579,7.34210526316,1.92105263158,16.9210526316,0.52930523543,34.0473684211,20.5210526316,24.1473684211,103.342105263,103.394736842
39,40,Ben Simmons 2018,35.1452991453,7.05128205128,13.7435897436,0.513059701493,0.0,0.25641025641,0.0,0.513059701493,2.69230769231,4.84615384615,0.555555555556,8.02564102564,7.25641025641,1.92307692308,16.7948717949,0.528942438142,33.7538461538,20.8615384615,24.2025641026,102.615384615,103.358974359
40,41,Ben Simmons 2018,35.1204166667,6.975,13.625,0.511926605505,0.0,0.25,0.0,0.511926605505,2.625,4.725,0.555555555556,8.0,7.175,1.9,16.575,0.527731788079,33.405,20.965,24.01,102.225,102.975
41,42,Ben Simmons 2018,35.0085365854,7.0,13.6097560976,0.514336917563,0.0,0.243902439024,0.0,0.514336917563,2.56097560976,4.60975609756,0.555555555556,8.0,7.21951219512,1.87804878049,16.5609756098,0.52950901491,33.6536585366,21.0268292683,24.0195121951,102.487804878,102.804878049
42,43,Ben Simmons 2018,35.0091269841,6.90476190476,13.4761904762,0.512367491166,0.0,0.238095238095,0.0,0.512367491166,2.5,4.5,0.555555555556,7.88095238095,7.21428571429,1.85714285714,16.3095238095,0.5276049048,33.6714285714,21.319047619,23.8119047619,102.19047619,103.166666667
43,44,Ben Simmons 2018,35.0968992248,6.88372093023,13.511627907,0.509466437177,0.0,0.232558139535,0.0,0.509466437177,2.60465116279,4.62790697674,0.562814070352,8.09302325581,7.37209302326,1.81395348837,16.3720930233,0.526504726577,34.0534883721,21.3720930233,23.9627906977,102.348837209,103.046511628
44,45,Ben Simmons 2018,35.065530303,6.95454545455,13.4545454545,0.516891891892,0.0,0.227272727273,0.0,0.516891891892,2.56818181818,4.56818181818,0.562189054726,8.02272727273,7.36363636364,1.81818181818,16.4772727273,0.5327435189,34.2318181818,21.3454545455,23.9204545455,103.295454545,102.704545455
45,46,Ben Simmons 2018,35.1592592593,7.02222222222,13.4666666667,0.521452145215,0.0,0.222222222222,0.0,0.521452145215,2.55555555556,4.6,0.555555555556,7.93333333333,7.35555555556,1.8,16.6,0.535806507144,34.2088888889,20.9977777778,23.8511111111,104.177777778,103.4
46,47,Ben Simmons 2018,35.0351449275,7.02173913043,13.3913043478,0.524350649351,0.0,0.217391304348,0.0,0.524350649351,2.54347826087,4.5652173913,0.557142857143,7.89130434783,7.30434782609,1.78260869565,16.5869565217,0.538537549407,34.1847826087,20.8673913043,23.7782608696,104.608695652,103.673913043
47,48,Ben Simmons 2018,35.0960992908,7.10638297872,13.4468085106,0.528481012658,0.0,0.212765957447,0.0,0.528481012658,2.53191489362,4.51063829787,0.561320754717,7.76595744681,7.29787234043,1.76595744681,16.7446808511,0.542549084492,34.3127659574,20.5425531915,23.7595744681,105.489361702,104.319148936
48,49,Ben Simmons 2018,35.096875,7.125,13.4375,0.53023255814,0.0,0.208333333333,0.0,0.53023255814,2.5625,4.5,0.569444444444,7.72916666667,7.25,1.77083333333,16.8125,0.545240797795,34.05625,20.1145833333,23.6770833333,106.4375,104.375
49,50,Ben Simmons 2018,35.0993197279,7.0612244898,13.4285714286,0.525835866261,0.0,0.204081632653,0.0,0.525835866261,2.55102040816,4.5306122449,0.563063063063,7.79591836735,7.22448979592,1.75510204082,16.6734693878,0.540572729198,33.9673469388,19.7040816327,23.5693877551,106.265306122,104.387755102
50,51,Ben Simmons 2018,35.1096666667,7.04,13.32,0.528528528529,0.0,0.2,0.0,0.528528528529,2.56,4.54,0.563876651982,7.76,7.24,1.78,16.64,0.543166031232,33.872,19.968,23.488,106.58,104.44
51,52,Ben Simmons 2018,34.9140522876,6.96078431373,13.2745098039,0.524372230428,0.0,0.196078431373,0.0,0.524372230428,2.58823529412,4.52941176471,0.571428571429,7.78431372549,7.25490196078,1.80392156863,16.5098039216,0.540686324874,34.1078431373,20.0450980392,23.5882352941,106.215686275,103.745098039
52,53,Ben Simmons 2018,34.9240384615,6.96153846154,13.2692307692,0.524637681159,0.0,0.192307692308,0.0,0.524637681159,2.53846153846,4.46153846154,0.568965517241,7.73076923077,7.30769230769,1.80769230769,16.4615384615,0.540349459651,34.2288461538,20.1,23.55,106.115384615,103.615384615
53,54,Ben Simmons 2018,34.8827044025,6.94339622642,13.1698113208,0.527220630372,0.0,0.188679245283,0.0,0.527220630372,2.50943396226,4.41509433962,0.568376068376,7.69811320755,7.28301886792,1.84905660377,16.3962264151,0.542474031163,34.0981132075,20.1981132075,23.4264150943,106.433962264,103.245283019
54,55,Ben Simmons 2018,34.912037037,6.96296296296,13.2037037037,0.527349228612,0.0,0.185185185185,0.0,0.527349228612,2.5,4.42592592593,0.564853556485,7.77777777778,7.33333333333,1.88888888889,16.4259259259,0.542070010756,34.3222222222,20.1740740741,23.4240740741,106.555555556,103.166666667
55,56,Ben Simmons 2018,34.8990909091,7.07272727273,13.2909090909,0.532147742818,0.0,0.181818181818,0.0,0.532147742818,2.56363636364,4.54545454545,0.564,7.76363636364,7.4,1.87272727273,16.7090909091,0.546373365042,34.88,19.9545454545,23.5945454545,107.254545455,103.4
56,57,Ben Simmons 2018,34.7860119048,7.07142857143,13.25,0.533692722372,0.0,0.178571428571,0.0,0.533692722372,2.57142857143,4.53571428571,0.566929133858,7.69642857143,7.39285714286,1.85714285714,16.7142857143,0.548163418291,34.9517857143,19.8410714286,23.5875,107.678571429,103.517857143
57,58,Ben Simmons 2018,34.8207602339,7.05263157895,13.2280701754,0.533156498674,0.0,0.175438596491,0.0,0.533156498674,2.59649122807,4.56140350877,0.569230769231,7.70175438596,7.40350877193,1.84210526316,16.701754386,0.54813450023,35.1298245614,19.7035087719,23.5052631579,107.912280702,103.789473684
58,59,Ben Simmons 2018,34.7962643678,7.0,13.1551724138,0.532110091743,0.0,0.172413793103,0.0,0.532110091743,2.60344827586,4.58620689655,0.567669172932,7.6724137931,7.37931034483,1.81034482759,16.6034482759,0.547134221172,35.0327586207,19.8051724138,23.4310344828,107.603448276,103.844827586
59,60,Ben Simmons 2018,34.7457627119,7.01694915254,13.1694915254,0.532818532819,0.0,0.169491525424,0.0,0.532818532819,2.59322033898,4.54237288136,0.570895522388,7.69491525424,7.38983050847,1.81355932203,16.6271186441,0.548093684352,35.1711864407,19.6694915254,23.4237288136,107.93220339,103.677966102
60,61,Ben Simmons 2018,34.735,7.0,13.1166666667,0.533672172808,0.0,0.166666666667,0.0,0.533672172808,2.6,4.53333333333,0.573529411765,7.7,7.38333333333,1.78333333333,16.6,0.549256628579,35.09,19.68,23.37,108.1,103.7
61,62,Ben Simmons 2018,34.7409836066,6.98360655738,13.0491803279,0.535175879397,0.0,0.16393442623,0.0,0.535175879397,2.55737704918,4.45901639344,0.573529411765,7.65573770492,7.50819672131,1.75409836066,16.5245901639,0.550410623799,35.606557377,20.0131147541,23.3049180328,108.327868852,104.016393443
62,63,Ben Simmons 2018,34.7115591398,7.0,12.9838709677,0.539130434783,0.0,0.161290322581,0.0,0.539130434783,2.51612903226,4.38709677419,0.573529411765,7.66129032258,7.59677419355,1.72580645161,16.5161290323,0.553705065536,35.8306451613,19.8516129032,23.1483870968,109.564516129,104.322580645
63,64,Ben Simmons 2018,34.7185185185,6.96825396825,12.9365079365,0.538650306748,0.0,0.15873015873,0.0,0.538650306748,2.47619047619,4.31746031746,0.573529411765,7.66666666667,7.60317460317,1.74603174603,16.4126984127,0.55313048316,35.9,20.0650793651,23.0682539683,109.238095238,104.206349206
64,65,Ben Simmons 2018,34.6236979167,6.921875,12.875,0.537621359223,0.0,0.15625,0.0,0.537621359223,2.484375,4.3125,0.576086956522,7.640625,7.578125,1.71875,16.328125,0.552652733119,35.7015625,19.884375,22.9828125,109.4375,104.234375
65,66,Ben Simmons 2018,34.5535897436,6.87692307692,12.8307692308,0.535971223022,0.0,0.153846153846,0.0,0.535971223022,2.47692307692,4.27692307692,0.579136690647,7.72307692308,7.61538461538,1.69230769231,16.2307692308,0.551593608834,36.0107692308,19.8169230769,22.9292307692,109.476923077,104.138461538
66,67,Ben Simmons 2018,34.5366161616,6.84848484848,12.803030303,0.534911242604,0.0,0.151515151515,0.0,0.534911242604,2.48484848485,4.33333333333,0.573426573427,7.75757575758,7.68181818182,1.68181818182,16.1818181818,0.550039141362,36.2363636364,19.9045454545,22.9363636364,109.348484848,104.227272727
67,68,Ben Simmons 2018,34.5741293532,6.89552238806,12.8656716418,0.53596287703,0.0,0.149253731343,0.0,0.53596287703,2.46268656716,4.32835820896,0.568965517241,7.76119402985,7.74626865672,1.70149253731,16.2537313433,0.550222312045,36.4671641791,19.7507462687,22.9537313433,109.626865672,104.417910448
68,69,Ben Simmons 2018,34.5512254902,6.85294117647,12.8088235294,0.535017221584,0.0,0.147058823529,0.0,0.535017221584,2.47058823529,4.32352941176,0.571428571429,7.82352941176,7.85294117647,1.72058823529,16.1764705882,0.549802071254,36.8176470588,19.4602941176,22.8220588235,110.426470588,104.220588235
