,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Bogdan Bogdanovic 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,Bogdan Bogdanovic 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,Bogdan Bogdanovic 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,Bogdan Bogdanovic 2018,25.4833333333,5.0,15.0,0.333333333333,1.0,4.0,0.25,0.366666666667,1.0,1.0,1.0,3.0,2.0,2.0,12.0,0.388601036269,11.2,0.0,24.1,91.0,112.0
4,5,Bogdan Bogdanovic 2018,25.4666666667,4.5,11.0,0.409090909091,0.5,3.0,0.166666666667,0.431818181818,1.5,1.5,1.0,2.5,3.0,1.0,11.0,0.471698113208,18.0,10.1,21.0,100.0,117.0
5,6,Bogdan Bogdanovic 2018,24.7722222222,5.33333333333,10.3333333333,0.516129032258,0.666666666667,2.33333333333,0.285714285714,0.548387096774,1.0,1.0,1.0,2.66666666667,2.33333333333,2.0,12.3333333333,0.572400990099,15.8666666667,12.8,21.1,109.666666667,111.666666667
6,7,Bogdan Bogdanovic 2018,25.6041666667,4.75,9.5,0.5,0.75,2.5,0.3,0.539473684211,0.75,0.75,1.0,2.5,2.25,1.5,11.0,0.559511698881,14.575,12.725,18.975,106.0,112.0
7,8,Bogdan Bogdanovic 2018,24.32,4.2,9.0,0.466666666667,0.6,2.6,0.230769230769,0.5,1.0,1.0,1.0,2.4,2.0,1.4,10.0,0.529661016949,13.32,10.18,19.08,103.0,115.2
8,9,Bogdan Bogdanovic 2018,24.7583333333,4.5,8.66666666667,0.519230769231,0.833333333333,2.5,0.333333333333,0.567307692308,0.833333333333,0.833333333333,1.0,2.16666666667,1.83333333333,1.16666666667,10.6666666667,0.590405904059,12.1166666667,10.5666666667,18.3,112.333333333,116.166666667
9,10,Bogdan Bogdanovic 2018,24.2333333333,4.14285714286,8.57142857143,0.483333333333,0.857142857143,2.42857142857,0.352941176471,0.533333333333,1.0,1.0,1.0,2.42857142857,1.57142857143,1.0,10.1428571429,0.562777425491,10.3857142857,11.6857142857,18.9857142857,106.857142857,112.142857143
10,11,Bogdan Bogdanovic 2018,24.0354166667,4.0,8.75,0.457142857143,1.0,2.875,0.347826086957,0.514285714286,1.0,1.0,1.0,2.5,1.625,1.0,10.0,0.544069640914,10.6625,12.2375,19.5,103.625,111.25
11,12,Bogdan Bogdanovic 2018,23.6851851852,3.88888888889,8.55555555556,0.454545454545,0.888888888889,2.77777777778,0.32,0.506493506494,1.22222222222,1.22222222222,1.0,2.44444444444,1.55555555556,1.11111111111,9.88888888889,0.543743890518,10.5777777778,12.0666666667,19.5777777778,103.777777778,111.666666667
12,13,Bogdan Bogdanovic 2018,23.355,3.7,8.1,0.456790123457,0.9,2.6,0.346153846154,0.512345679012,1.1,1.1,1.0,2.5,1.6,1.0,9.4,0.54753028891,11.13,10.86,18.54,107.8,113.4
13,14,Bogdan Bogdanovic 2018,23.3060606061,3.63636363636,8.09090909091,0.449438202247,0.909090909091,2.72727272727,0.333333333333,0.505617977528,1.0,1.0,1.0,2.45454545455,1.45454545455,0.909090909091,9.18181818182,0.538150042626,10.1181818182,10.8818181818,18.4363636364,104.909090909,115.818181818
14,15,Bogdan Bogdanovic 2018,23.3916666667,3.41666666667,8.08333333333,0.422680412371,0.833333333333,2.91666666667,0.285714285714,0.474226804124,0.916666666667,0.916666666667,1.0,2.5,1.58333333333,1.0,8.58333333333,0.50569520817,10.725,9.975,18.1583333333,100.25,113.583333333
15,16,Bogdan Bogdanovic 2018,23.7179487179,3.53846153846,8.46153846154,0.418181818182,0.923076923077,3.15384615385,0.292682926829,0.472727272727,0.846153846154,0.846153846154,1.0,2.38461538462,1.69230769231,0.923076923077,8.84615384615,0.500696621386,11.4846153846,9.20769230769,18.3692307692,100.461538462,113.923076923
16,17,Bogdan Bogdanovic 2018,23.5238095238,3.57142857143,8.64285714286,0.413223140496,1.0,3.28571428571,0.304347826087,0.471074380165,0.785714285714,0.785714285714,1.0,2.42857142857,1.57142857143,0.857142857143,8.92857142857,0.496662428481,10.6642857143,9.65,19.1357142857,98.8571428571,115.071428571
17,18,Bogdan Bogdanovic 2018,23.7377777778,3.73333333333,8.66666666667,0.430769230769,1.06666666667,3.26666666667,0.326530612245,0.492307692308,0.733333333333,0.733333333333,1.0,2.33333333333,1.93333333333,0.933333333333,9.26666666667,0.515425689706,12.2666666667,10.6733333333,19.1866666667,100.866666667,114.333333333
18,19,Bogdan Bogdanovic 2018,23.6895833333,3.75,8.625,0.434782608696,1.0625,3.1875,0.333333333333,0.496376811594,0.75,0.75,1.0,2.25,1.875,1.0,9.3125,0.51996091569,11.94375,12.33125,19.6625,99.125,113.375
19,20,Bogdan Bogdanovic 2018,23.581372549,3.76470588235,8.52941176471,0.441379310345,1.0,3.11764705882,0.320754716981,0.5,0.941176470588,1.0,0.941176470588,2.23529411765,1.94117647059,0.941176470588,9.47058823529,0.527938090241,12.4058823529,12.6588235294,19.9352941176,100.235294118,114.117647059
20,21,Bogdan Bogdanovic 2018,23.3601851852,3.66666666667,8.22222222222,0.445945945946,1.0,3.05555555556,0.327272727273,0.506756756757,1.0,1.11111111111,0.9,2.11111111111,1.88888888889,1.0,9.33333333333,0.535714285714,12.2388888889,14.2333333333,19.7722222222,99.7222222222,113.944444444
21,22,Bogdan Bogdanovic 2018,23.7350877193,3.78947368421,8.42105263158,0.45,1.0,3.0,0.333333333333,0.509375,1.26315789474,1.52631578947,0.827586206897,2.15789473684,2.0,1.0,9.84210526316,0.541213243806,12.5263157895,14.3157894737,20.2526315789,100.105263158,114.105263158
22,23,Bogdan Bogdanovic 2018,23.9175,3.75,8.35,0.449101796407,1.0,3.0,0.333333333333,0.508982035928,1.3,1.55,0.838709677419,2.25,2.05,1.05,9.8,0.542515500443,12.73,14.61,20.095,100.25,114.05
23,24,Bogdan Bogdanovic 2018,23.6206349206,3.66666666667,8.33333333333,0.44,1.0,3.19047619048,0.313432835821,0.5,1.2380952381,1.47619047619,0.838709677419,2.2380952381,2.19047619048,1.09523809524,9.57142857143,0.532760814249,14.0476190476,14.8666666667,20.3857142857,99.1904761905,113.571428571
24,25,Bogdan Bogdanovic 2018,23.6734848485,3.68181818182,8.36363636364,0.440217391304,0.954545454545,3.09090909091,0.308823529412,0.497282608696,1.18181818182,1.40909090909,0.838709677419,2.18181818182,2.18181818182,1.22727272727,9.5,0.528739121635,13.9136363636,15.3272727273,20.4318181818,98.1818181818,112.545454545
25,26,Bogdan Bogdanovic 2018,23.934057971,3.73913043478,8.4347826087,0.443298969072,1.08695652174,3.30434782609,0.328947368421,0.507731958763,1.17391304348,1.4347826087,0.818181818182,2.13043478261,2.13043478261,1.17391304348,9.73913043478,0.537118741608,13.5695652174,14.6608695652,20.3086956522,99.9565217391,112.739130435
26,27,Bogdan Bogdanovic 2018,24.3027777778,3.70833333333,8.45833333333,0.43842364532,1.125,3.45833333333,0.325301204819,0.504926108374,1.20833333333,1.45833333333,0.828571428571,2.25,2.20833333333,1.16666666667,9.75,0.535714285714,13.7291666667,14.4333333333,20.0791666667,100.5,112.291666667
27,28,Bogdan Bogdanovic 2018,24.6353333333,3.68,8.36,0.44019138756,1.2,3.48,0.344827586207,0.511961722488,1.16,1.4,0.828571428571,2.4,2.24,1.12,9.72,0.541443850267,13.74,14.856,19.72,101.12,113.16
28,29,Bogdan Bogdanovic 2018,24.7871794872,3.80769230769,8.42307692308,0.452054794521,1.30769230769,3.61538461538,0.36170212766,0.529680365297,1.11538461538,1.34615384615,0.828571428571,2.42307692308,2.34615384615,1.11538461538,10.0384615385,0.556740614334,14.4423076923,14.9269230769,19.7384615385,102.807692308,113.538461538
29,30,Bogdan Bogdanovic 2018,24.5407407407,3.7037037037,8.33333333333,0.444444444444,1.25925925926,3.62962962963,0.34693877551,0.52,1.14814814815,1.37037037037,0.837837837838,2.37037037037,2.37037037037,1.07407407407,9.81481481481,0.549154509284,14.6740740741,15.2074074074,19.7777777778,101.333333333,113.296296296
30,31,Bogdan Bogdanovic 2018,24.85,3.78571428571,8.39285714286,0.451063829787,1.21428571429,3.53571428571,0.343434343434,0.523404255319,1.17857142857,1.46428571429,0.80487804878,2.39285714286,2.35714285714,1.03571428571,9.96428571429,0.551296237749,14.4785714286,14.9428571429,19.7107142857,102.107142857,113.571428571
31,32,Bogdan Bogdanovic 2018,24.9810344828,3.86206896552,8.31034482759,0.464730290456,1.27586206897,3.51724137931,0.362745098039,0.541493775934,1.13793103448,1.41379310345,0.80487804878,2.34482758621,2.31034482759,1.0,10.1379310345,0.56747992588,14.1724137931,14.9206896552,19.4310344828,105.344827586,113.862068966
32,33,Bogdan Bogdanovic 2018,25.1105555556,3.86666666667,8.36666666667,0.462151394422,1.26666666667,3.5,0.361904761905,0.537848605578,1.1,1.4,0.785714285714,2.36666666667,2.33333333333,1.0,10.1,0.562193854832,14.2,15.1666666667,19.46,104.333333333,114.433333333
33,34,Bogdan Bogdanovic 2018,25.2849462366,3.93548387097,8.38709677419,0.469230769231,1.32258064516,3.58064516129,0.369369369369,0.548076923077,1.09677419355,1.38709677419,0.790697674419,2.38709677419,2.51612903226,1.09677419355,10.2903225806,0.571848558727,15.0290322581,15.6387096774,19.5290322581,105.096774194,113.838709677
34,35,Bogdan Bogdanovic 2018,25.4458333333,3.96875,8.4375,0.47037037037,1.34375,3.625,0.370689655172,0.55,1.09375,1.40625,0.777777777778,2.375,2.53125,1.0625,10.375,0.572808833678,15.06875,15.15,19.459375,105.78125,114.34375
35,36,Bogdan Bogdanovic 2018,25.5146464646,3.93939393939,8.39393939394,0.469314079422,1.36363636364,3.66666666667,0.371900826446,0.550541516245,1.06060606061,1.36363636364,0.777777777778,2.45454545455,2.60606060606,1.0303030303,10.303030303,0.572776280323,15.4363636364,15.6,19.3333333333,105.515151515,114.545454545
36,37,Bogdan Bogdanovic 2018,25.4593137255,3.97058823529,8.38235294118,0.473684210526,1.32352941176,3.61764705882,0.365853658537,0.552631578947,1.05882352941,1.35294117647,0.782608695652,2.44117647059,2.67647058824,1.0,10.3235294118,0.574957410562,15.8382352941,15.7058823529,19.3323529412,106.088235294,115.382352941
37,38,Bogdan Bogdanovic 2018,25.6638095238,3.94285714286,8.4,0.469387755102,1.31428571429,3.54285714286,0.370967741935,0.547619047619,1.14285714286,1.42857142857,0.8,2.42857142857,2.74285714286,1.0,10.3428571429,0.572784810127,15.9457142857,15.5,19.2285714286,106.371428571,115.142857143
38,39,Bogdan Bogdanovic 2018,25.8768518519,4.0,8.44444444444,0.473684210526,1.33333333333,3.5,0.380952380952,0.552631578947,1.16666666667,1.44444444444,0.807692307692,2.5,2.80555555556,0.972222222222,10.5,0.578193832599,16.1416666667,15.3027777778,19.1388888889,107.472222222,115.111111111
39,40,Bogdan Bogdanovic 2018,26.0432432432,4.08108108108,8.56756756757,0.476340694006,1.2972972973,3.48648648649,0.372093023256,0.552050473186,1.27027027027,1.56756756757,0.810344827586,2.48648648649,2.83783783784,0.972972972973,10.7297297297,0.579528202733,16.5351351351,14.8891891892,19.172972973,108.135135135,114.783783784
40,41,Bogdan Bogdanovic 2018,26.1710526316,4.15789473684,8.63157894737,0.481707317073,1.36842105263,3.55263157895,0.385185185185,0.560975609756,1.34210526316,1.63157894737,0.822580645161,2.52631578947,2.81578947368,0.947368421053,11.0263157895,0.589675748705,16.3631578947,14.6894736842,19.1684210526,109.552631579,115.0
41,42,Bogdan Bogdanovic 2018,26.152991453,4.17948717949,8.64102564103,0.483679525223,1.35897435897,3.51282051282,0.386861313869,0.562314540059,1.35897435897,1.66666666667,0.815384615385,2.51282051282,2.87179487179,0.948717948718,11.0769230769,0.590809628009,16.6641025641,14.5384615385,19.1717948718,110.0,115.333333333
42,43,Bogdan Bogdanovic 2018,26.2583333333,4.175,8.75,0.477142857143,1.4,3.6,0.388888888889,0.557142857143,1.375,1.675,0.820895522388,2.575,2.85,0.975,11.125,0.586328660272,16.545,14.3425,19.2375,109.55,114.85
43,44,Bogdan Bogdanovic 2018,26.5699186992,4.29268292683,8.80487804878,0.487534626039,1.51219512195,3.65853658537,0.413333333333,0.573407202216,1.36585365854,1.65853658537,0.823529411765,2.65853658537,2.82926829268,0.975609756098,11.4634146341,0.60114601453,16.3634146341,14.7341463415,19.2634146341,110.292682927,115.317073171
44,45,Bogdan Bogdanovic 2018,26.6186507937,4.35714285714,8.90476190476,0.489304812834,1.5,3.7380952381,0.40127388535,0.573529411765,1.33333333333,1.61904761905,0.823529411765,2.69047619048,2.83333333333,0.97619047619,11.5476190476,0.60036640919,16.5642857143,14.9428571429,19.4285714286,109.880952381,115.285714286
45,46,Bogdan Bogdanovic 2018,26.6627906977,4.32558139535,8.93023255814,0.484375,1.51162790698,3.74418604651,0.403726708075,0.569010416667,1.3488372093,1.62790697674,0.828571428571,2.67441860465,2.93023255814,0.976744186047,11.511627907,0.596673095468,16.9,14.7906976744,19.3976744186,109.837209302,115.348837209
46,47,Bogdan Bogdanovic 2018,26.8071969697,4.31818181818,9.0,0.479797979798,1.47727272727,3.75,0.393939393939,0.561868686869,1.31818181818,1.59090909091,0.828571428571,2.70454545455,2.95454545455,0.954545454545,11.4318181818,0.589268978444,16.8704545455,15.1227272727,19.4840909091,108.727272727,115.295454545
47,48,Bogdan Bogdanovic 2018,26.9974074074,4.33333333333,9.02222222222,0.480295566502,1.46666666667,3.71111111111,0.395209580838,0.56157635468,1.28888888889,1.55555555556,0.828571428571,2.71111111111,2.95555555556,0.933333333333,11.4222222222,0.58836996337,16.7844444444,14.9888888889,19.3822222222,108.644444444,114.911111111
48,49,Bogdan Bogdanovic 2018,27.1224637681,4.26086956522,8.97826086957,0.474576271186,1.45652173913,3.71739130435,0.391812865497,0.555690072639,1.26086956522,1.52173913043,0.828571428571,2.69565217391,2.9347826087,0.934782608696,11.2391304348,0.582469580892,16.6086956522,15.1456521739,19.2608695652,107.304347826,115.195652174
49,50,Bogdan Bogdanovic 2018,26.9340425532,4.23404255319,8.95744680851,0.472684085511,1.44680851064,3.70212765957,0.390804597701,0.553444180523,1.23404255319,1.48936170213,0.828571428571,2.65957446809,2.91489361702,0.936170212766,11.1489361702,0.579902611775,16.5489361702,14.8234042553,19.2319148936,107.29787234,114.914893617
50,51,Bogdan Bogdanovic 2018,26.9677083333,4.22916666667,8.95833333333,0.472093023256,1.5,3.77083333333,0.397790055249,0.555813953488,1.20833333333,1.45833333333,0.828571428571,2.66666666667,2.97916666667,0.979166666667,11.1666666667,0.581597222222,16.8,14.7229166667,19.1458333333,107.729166667,114.854166667
51,52,Bogdan Bogdanovic 2018,26.9506802721,4.18367346939,8.87755102041,0.471264367816,1.48979591837,3.77551020408,0.394594594595,0.555172413793,1.22448979592,1.4693877551,0.833333333333,2.63265306122,3.04081632653,0.979591836735,11.0816326531,0.581769092312,17.0285714286,14.7183673469,19.012244898,108.285714286,115.040816327
