,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Bradley Beal 2018,35.6166666667,6.0,17.0,0.352941176471,1.0,4.0,0.25,0.382352941176,12.0,16.0,0.75,6.0,4.0,3.0,25.0,0.51996672213,15.9,7.7,28.6,114.0,107.0
1,2,Bradley Beal 2018,35.2416666667,7.5,17.5,0.428571428571,1.0,3.5,0.285714285714,0.457142857143,9.0,11.5,0.782608695652,5.0,4.0,1.5,25.0,0.554078014184,17.9,8.2,29.25,116.0,110.5
2,3,Bradley Beal 2018,35.2388888889,7.66666666667,17.3333333333,0.442307692308,1.0,4.0,0.25,0.471153846154,7.0,8.66666666667,0.807692307692,5.0,3.33333333333,1.33333333333,23.3333333333,0.551702395965,15.4,8.73333333333,27.8,112.0,109.333333333
3,4,Bradley Beal 2018,37.3083333333,8.5,18.75,0.453333333333,1.25,4.75,0.263157894737,0.486666666667,6.25,8.0,0.78125,5.25,3.0,1.75,24.5,0.550067355186,13.925,9.925,28.5,107.75,104.5
4,5,Bradley Beal 2018,32.9166666667,7.2,16.4,0.439024390244,1.0,4.2,0.238095238095,0.469512195122,5.0,6.4,0.78125,4.8,2.8,1.6,20.4,0.530807660283,14.54,10.44,26.94,102.0,106.6
5,6,Bradley Beal 2018,32.2833333333,7.0,15.5,0.451612903226,1.0,4.0,0.25,0.483870967742,4.5,5.66666666667,0.794117647059,4.5,3.0,1.33333333333,19.5,0.541867358281,15.7666666667,10.0,25.7,107.333333333,105.0
6,7,Bradley Beal 2018,33.0857142857,7.71428571429,16.8571428571,0.457627118644,1.71428571429,5.14285714286,0.333333333333,0.508474576271,5.28571428571,6.42857142857,0.822222222222,4.71428571429,2.85714285714,1.14285714286,22.4285714286,0.569666182874,14.9142857143,9.02857142857,26.7857142857,112.428571429,108.571428571
7,8,Bradley Beal 2018,33.55625,8.25,17.125,0.481751824818,1.625,5.125,0.317073170732,0.529197080292,6.0,7.25,0.827586206897,4.625,3.0,1.125,24.125,0.593773074083,15.2625,9.6375,27.55,115.25,111.375
8,9,Bradley Beal 2018,34.237037037,9.11111111111,18.1111111111,0.503067484663,1.88888888889,5.22222222222,0.36170212766,0.555214723926,5.55555555556,6.77777777778,0.819672131148,4.66666666667,3.11111111111,1.11111111111,25.6666666667,0.608407079646,16.1666666667,9.98888888889,28.2444444444,116.555555556,110.555555556
9,10,Bradley Beal 2018,34.56,9.0,18.3,0.491803278689,2.0,5.5,0.363636363636,0.546448087432,5.4,6.6,0.818181818182,4.6,3.0,1.1,25.4,0.598943595548,15.73,10.83,28.77,113.0,111.1
