,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Brandon Ingram 2018,30.5166666667,3.0,15.0,0.2,0.0,1.0,0.0,0.2,6.0,7.0,0.857142857143,5.0,4.0,0.0,12.0,0.33185840708,19.5,5.2,25.0,78.0,108.0
1,2,Brandon Ingram 2018,33.6166666667,6.0,14.5,0.413793103448,1.5,2.5,0.6,0.465517241379,5.0,6.5,0.769230769231,3.5,2.5,0.5,18.5,0.532834101382,11.55,7.95,22.15,104.0,110.0
2,3,Brandon Ingram 2018,30.5111111111,5.0,12.6666666667,0.394736842105,1.0,2.0,0.5,0.434210526316,3.66666666667,5.0,0.733333333333,3.0,3.0,0.333333333333,14.6666666667,0.493273542601,14.6333333333,8.36666666667,20.9666666667,97.0,113.333333333
3,4,Brandon Ingram 2018,32.6333333333,5.75,13.5,0.425925925926,0.75,2.25,0.333333333333,0.453703703704,3.5,4.5,0.777777777778,4.75,3.0,0.5,15.75,0.508720930233,14.35,10.975,21.75,96.25,107.5
4,5,Brandon Ingram 2018,30.7966666667,5.2,12.6,0.412698412698,0.6,2.2,0.272727272727,0.436507936508,3.4,4.4,0.772727272727,4.2,2.6,0.4,14.4,0.495321959274,12.86,13.14,22.5,91.8,107.4
5,6,Brandon Ingram 2018,31.3055555556,5.5,12.8333333333,0.428571428571,0.666666666667,2.16666666667,0.307692307692,0.454545454545,3.0,4.33333333333,0.692307692308,3.66666666667,2.5,1.0,14.6666666667,0.497512437811,12.9666666667,14.3166666667,23.1666666667,90.1666666667,106.5
6,7,Brandon Ingram 2018,31.7261904762,5.57142857143,12.7142857143,0.438202247191,0.714285714286,2.14285714286,0.333333333333,0.466292134831,2.57142857143,3.71428571429,0.692307692308,3.85714285714,3.0,1.42857142857,14.4285714286,0.502787733971,14.4,16.4714285714,22.9142857143,89.7142857143,103.714285714
7,8,Brandon Ingram 2018,31.7958333333,5.5,12.5,0.44,0.625,2.0,0.3125,0.465,2.75,4.0,0.6875,3.75,3.0,1.5,14.375,0.504032258065,14.1625,15.2625,22.725,91.375,105.25
8,9,Brandon Ingram 2018,32.2203703704,5.66666666667,12.5555555556,0.451327433628,0.777777777778,2.0,0.388888888889,0.482300884956,2.66666666667,4.22222222222,0.631578947368,4.44444444444,2.88888888889,1.44444444444,14.7777777778,0.512642614863,13.3666666667,14.8222222222,22.3666666667,92.8888888889,104.333333333
9,10,Brandon Ingram 2018,32.8266666667,5.8,12.7,0.456692913386,0.7,1.8,0.388888888889,0.484251968504,3.0,4.4,0.681818181818,4.7,2.7,1.3,15.3,0.522683793386,12.43,13.91,22.12,95.6,104.6
10,11,Brandon Ingram 2018,33.1651515152,5.90909090909,12.5454545455,0.471014492754,0.636363636364,1.72727272727,0.368421052632,0.496376811594,3.09090909091,4.63636363636,0.666666666667,4.90909090909,2.54545454545,1.36363636364,15.5454545455,0.532909498878,11.7272727273,13.7727272727,21.7636363636,97.5454545455,104.545454545
11,12,Brandon Ingram 2018,33.3194444444,5.66666666667,12.1666666667,0.465753424658,0.583333333333,1.66666666667,0.35,0.489726027397,3.16666666667,4.75,0.666666666667,4.83333333333,2.41666666667,1.25,15.0833333333,0.528992284311,11.175,13.3416666667,21.0333333333,97.75,105.333333333
12,13,Brandon Ingram 2018,33.5076923077,5.38461538462,12.0,0.448717948718,0.538461538462,1.69230769231,0.318181818182,0.471153846154,3.23076923077,5.0,0.646153846154,4.92307692308,2.38461538462,1.15384615385,14.5384615385,0.511917659805,11.0461538462,13.7153846154,20.9461538462,94.6153846154,105.153846154
