,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,DeMarcus Cousins 2018,38.4,9.0,21.0,0.428571428571,3.0,9.0,0.333333333333,0.5,7.0,8.0,0.875,10.0,2.0,0.0,28.0,0.570962479608,13.3,14.0,32.5,111.0,103.0
1,2,DeMarcus Cousins 2018,35.5,10.0,22.0,0.454545454545,3.0,8.5,0.352941176471,0.522727272727,8.5,10.5,0.809523809524,12.0,3.5,1.5,31.5,0.59166040571,19.45,16.8,37.35,110.5,105.5
2,3,DeMarcus Cousins 2018,35.5166666667,9.33333333333,20.3333333333,0.459016393443,2.33333333333,7.66666666667,0.304347826087,0.516393442623,7.33333333333,9.66666666667,0.758620689655,11.6666666667,5.0,1.0,28.3333333333,0.576193058568,22.9,18.7333333333,35.7333333333,106.333333333,106.333333333
3,4,DeMarcus Cousins 2018,36.375,10.0,21.0,0.47619047619,2.5,8.25,0.30303030303,0.535714285714,8.5,11.5,0.739130434783,12.0,4.5,1.0,31.0,0.594781273983,23.25,19.25,37.875,105.25,103.0
4,5,DeMarcus Cousins 2018,37.8533333333,10.8,21.8,0.495412844037,2.6,7.6,0.342105263158,0.55504587156,8.8,11.6,0.758620689655,14.2,4.8,1.0,33.0,0.613291703836,23.54,17.74,37.06,111.6,103.4
5,6,DeMarcus Cousins 2018,36.9583333333,10.8333333333,21.5,0.503875968992,2.5,7.33333333333,0.340909090909,0.562015503876,8.16666666667,10.5,0.777777777778,13.8333333333,5.66666666667,1.33333333333,32.3333333333,0.618938233793,27.1333333333,15.5,35.9333333333,116.833333333,101.833333333
6,7,DeMarcus Cousins 2018,37.2142857143,10.0,20.4285714286,0.48951048951,2.42857142857,7.28571428571,0.333333333333,0.548951048951,7.0,9.14285714286,0.765625,13.5714285714,5.85714285714,1.57142857143,29.4285714286,0.601776115915,27.0285714286,17.4857142857,34.0285714286,110.0,102.428571429
7,8,DeMarcus Cousins 2018,37.6541666667,10.0,20.5,0.487804878049,2.75,7.625,0.360655737705,0.55487804878,7.375,9.25,0.797297297297,13.0,5.875,2.125,30.125,0.613044363044,27.3,18.3,34.1625,109.625,100.75
8,9,DeMarcus Cousins 2018,37.7666666667,9.77777777778,20.0,0.488888888889,2.44444444444,7.22222222222,0.338461538462,0.55,7.0,8.66666666667,0.807692307692,14.0,6.0,2.0,29.0,0.608902575588,27.9666666667,18.3111111111,33.0333333333,109.111111111,99.1111111111
9,10,DeMarcus Cousins 2018,38.3016666667,9.4,20.0,0.47,2.4,7.3,0.328767123288,0.53,7.4,9.1,0.813186813187,13.7,5.8,1.9,28.6,0.595734044326,26.95,17.52,32.95,107.5,97.6
10,11,DeMarcus Cousins 2018,38.2727272727,9.63636363636,20.4545454545,0.471111111111,2.54545454545,7.54545454545,0.33734939759,0.533333333333,7.09090909091,8.72727272727,0.8125,13.6363636364,5.81818181818,1.72727272727,28.9090909091,0.594970812753,26.8909090909,16.5454545455,33.0454545455,109.272727273,99.0909090909
11,12,DeMarcus Cousins 2018,38.3347222222,9.5,20.75,0.457831325301,2.5,7.75,0.322580645161,0.518072289157,6.66666666667,8.5,0.78431372549,13.75,5.75,1.66666666667,28.1666666667,0.575064652239,26.15,16.9,33.5416666667,105.833333333,100.166666667
12,13,DeMarcus Cousins 2018,38.2448717949,9.84615384615,20.9230769231,0.470588235294,2.61538461538,7.76923076923,0.336633663366,0.533088235294,6.38461538462,8.23076923077,0.775700934579,13.8461538462,5.69230769231,1.53846153846,28.6923076923,0.584492917137,26.1307692308,17.4538461538,33.8692307692,105.615384615,100.076923077
13,14,DeMarcus Cousins 2018,38.0261904762,9.57142857143,20.2857142857,0.471830985915,2.64285714286,7.64285714286,0.345794392523,0.536971830986,6.42857142857,8.35714285714,0.769230769231,14.0,5.78571428571,1.64285714286,28.2142857143,0.58870871587,26.3428571429,18.3428571429,33.7,105.571428571,99.9285714286
14,15,DeMarcus Cousins 2018,37.5555555556,9.53333333333,20.2,0.471947194719,2.66666666667,7.6,0.350877192982,0.53795379538,6.26666666667,8.06666666667,0.776859504132,13.6666666667,5.73333333333,1.8,28.0,0.589490231305,26.2,18.6133333333,33.94,105.4,100.933333333
15,16,DeMarcus Cousins 2018,36.759375,9.3125,19.9375,0.467084639498,2.5,7.3125,0.34188034188,0.529780564263,6.0,7.75,0.774193548387,13.1875,5.625,1.6875,27.125,0.580897312346,25.89375,18.375,34.0875,104.125,103.8125
16,17,DeMarcus Cousins 2018,36.1294117647,9.17647058824,19.7647058824,0.464285714286,2.35294117647,7.17647058824,0.327868852459,0.52380952381,5.88235294118,7.52941176471,0.78125,12.9411764706,5.52941176471,1.70588235294,26.5882352941,0.576060358891,25.9117647059,18.1058823529,34.1705882353,103.647058824,103.294117647
17,18,DeMarcus Cousins 2018,35.875,9.11111111111,19.7777777778,0.460674157303,2.27777777778,7.16666666667,0.317829457364,0.518258426966,5.94444444444,7.61111111111,0.78102189781,13.0555555556,5.38888888889,1.66666666667,26.4444444444,0.571730565965,25.4166666667,18.2111111111,34.65,103.0,102.166666667
18,19,DeMarcus Cousins 2018,35.5684210526,8.94736842105,19.3684210526,0.461956521739,2.26315789474,7.0,0.323308270677,0.520380434783,5.89473684211,7.63157894737,0.772413793103,12.8947368421,5.42105263158,1.68421052632,26.0526315789,0.573182028717,25.5052631579,18.7210526316,34.3789473684,102.842105263,101.263157895
19,20,DeMarcus Cousins 2018,35.3458333333,8.75,18.95,0.461741424802,2.25,6.85,0.328467153285,0.52110817942,5.75,7.55,0.761589403974,12.6,5.35,1.65,25.5,0.572467672414,25.405,19.31,34.025,101.8,101.2
20,21,DeMarcus Cousins 2018,35.523015873,8.66666666667,18.7619047619,0.46192893401,2.19047619048,6.80952380952,0.321678321678,0.520304568528,5.57142857143,7.33333333333,0.75974025974,12.4761904762,5.38095238095,1.61904761905,25.0952380952,0.570642758143,25.3523809524,19.3285714286,33.5380952381,101.761904762,102.333333333
21,22,DeMarcus Cousins 2018,35.6886363636,8.63636363636,18.8636363636,0.457831325301,2.18181818182,6.68181818182,0.326530612245,0.515662650602,5.54545454545,7.27272727273,0.7625,12.5,5.31818181818,1.54545454545,25.0,0.566543057272,24.8909090909,18.6363636364,33.3363636364,102.0,103.090909091
22,23,DeMarcus Cousins 2018,35.6246376812,8.86956521739,19.2608695652,0.460496613995,2.17391304348,6.69565217391,0.324675324675,0.516930022573,5.65217391304,7.52173913043,0.751445086705,12.3043478261,5.08695652174,1.47826086957,25.5652173913,0.566343042071,23.8086956522,18.0695652174,33.9043478261,102.130434783,103.47826087
23,24,DeMarcus Cousins 2018,35.4722222222,8.79166666667,19.0833333333,0.460698689956,2.20833333333,6.66666666667,0.33125,0.518558951965,5.5,7.375,0.745762711864,12.25,5.16666666667,1.625,25.2916666667,0.566358139882,24.0875,18.5458333333,33.7458333333,101.583333333,103.208333333
24,25,DeMarcus Cousins 2018,35.6353333333,8.92,19.32,0.461697722567,2.2,6.64,0.331325301205,0.518633540373,5.84,7.92,0.737373737374,12.64,5.12,1.56,25.88,0.56742440188,23.74,18.4,34.176,102.12,103.32
