,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Devin Booker 2018,27.0666666667,6.0,17.0,0.352941176471,0.0,3.0,0.0,0.352941176471,0.0,0.0,0.0,5.0,2.0,2.0,12.0,0.352941176471,20.4,0.0,26.7,83.0,122.0
1,2,Devin Booker 2018,33.4,7.5,18.0,0.416666666667,2.0,5.5,0.363636363636,0.472222222222,1.5,2.5,0.6,8.0,5.0,2.0,18.5,0.484293193717,24.35,11.05,26.1,94.0,117.0
2,3,Devin Booker 2018,32.8611111111,6.66666666667,16.6666666667,0.4,1.33333333333,5.0,0.266666666667,0.44,2.0,3.0,0.666666666667,6.66666666667,4.0,1.33333333333,16.6666666667,0.463306152706,21.4,11.1333333333,25.7666666667,88.6666666667,122.333333333
3,4,Devin Booker 2018,31.8541666667,7.0,16.5,0.424242424242,1.5,5.5,0.272727272727,0.469696969697,2.5,3.25,0.769230769231,6.0,4.25,1.25,18.0,0.501952035694,23.3,10.875,26.8,97.5,119.75
4,5,Devin Booker 2018,32.07,7.0,17.0,0.411764705882,1.6,5.2,0.307692307692,0.458823529412,2.2,2.8,0.785714285714,6.2,4.0,1.2,17.8,0.488152698552,21.4,12.12,27.34,95.4,113.2
5,6,Devin Booker 2018,32.4472222222,7.66666666667,17.3333333333,0.442307692308,2.0,5.5,0.363636363636,0.5,3.16666666667,3.83333333333,0.826086956522,6.16666666667,4.33333333333,1.0,20.5,0.538906414301,24.3,12.5666666667,28.15,101.166666667,113.833333333
6,7,Devin Booker 2018,32.8785714286,8.14285714286,18.0,0.452380952381,2.42857142857,5.85714285714,0.414634146341,0.519841269841,3.42857142857,4.0,0.857142857143,6.28571428571,4.28571428571,0.857142857143,22.1428571429,0.56029496819,23.4,12.8,28.5,103.714285714,112.428571429
7,8,Devin Booker 2018,32.9875,8.0,17.625,0.45390070922,2.5,6.0,0.416666666667,0.524822695035,3.625,4.125,0.878787878788,5.625,4.375,0.875,22.125,0.569058641975,23.3375,11.2,27.75,108.875,113.75
8,9,Devin Booker 2018,33.0277777778,8.22222222222,17.7777777778,0.4625,2.44444444444,6.11111111111,0.4,0.53125,4.55555555556,5.0,0.911111111111,5.22222222222,4.0,1.0,23.4444444444,0.586763070078,21.5555555556,11.1777777778,28.2,111.555555556,114.555555556
9,10,Devin Booker 2018,32.3466666667,7.7,17.1,0.450292397661,2.3,6.0,0.383333333333,0.517543859649,4.3,4.7,0.914893617021,5.0,3.8,0.9,22.0,0.57387312187,20.56,12.58,28.06,106.8,115.2
