,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Giannis Antetokounmpo 2018,36.9333333333,13.0,22.0,0.590909090909,0.0,1.0,0.0,0.590909090909,11.0,13.0,0.846153846154,13.0,3.0,3.0,37.0,0.667388167388,18.5,15.3,40.8,117.0,92.0
1,2,Giannis Antetokounmpo 2018,37.7333333333,14.0,22.0,0.636363636364,0.0,1.0,0.0,0.636363636364,7.5,9.5,0.789473684211,10.5,5.5,3.0,35.5,0.677998472116,35.05,11.4,36.8,127.5,105.0
2,3,Giannis Antetokounmpo 2018,38.2666666667,15.0,22.3333333333,0.671641791045,0.333333333333,2.0,0.166666666667,0.679104477612,8.0,10.6666666667,0.75,9.66666666667,5.0,2.66666666667,38.3333333333,0.709176122348,31.0333333333,9.76666666667,36.2,134.0,107.0
3,4,Giannis Antetokounmpo 2018,38.525,14.5,22.0,0.659090909091,0.25,1.5,0.166666666667,0.664772727273,7.5,10.0,0.75,10.75,5.25,2.25,36.75,0.696022727273,30.875,12.25,36.025,128.0,103.0
4,5,Giannis Antetokounmpo 2018,39.1366666667,13.6,21.8,0.623853211009,0.6,1.8,0.333333333333,0.637614678899,7.2,9.4,0.765957446809,10.6,5.6,2.4,35.0,0.674737816163,31.58,12.02,35.06,124.2,100.8
5,6,Giannis Antetokounmpo 2018,39.0,13.6666666667,21.6666666667,0.630769230769,0.666666666667,2.0,0.333333333333,0.646153846154,6.66666666667,8.83333333333,0.754716981132,10.6666666667,5.66666666667,2.0,34.6666666667,0.6783198539,31.05,10.7,34.15,126.833333333,102.5
6,7,Giannis Antetokounmpo 2018,37.4023809524,13.0,20.5714285714,0.631944444444,0.857142857143,2.14285714286,0.4,0.652777777778,6.85714285714,8.85714285714,0.774193548387,10.2857142857,5.28571428571,1.71428571429,33.7142857143,0.688930406352,31.1,11.7714285714,34.6428571429,126.571428571,104.571428571
7,8,Giannis Antetokounmpo 2018,36.7208333333,12.0,20.0,0.6,0.75,2.125,0.352941176471,0.61875,6.5,8.25,0.787878787879,10.625,5.25,1.75,31.25,0.661235717309,29.7125,12.1125,33.8,121.75,105.625
8,9,Giannis Antetokounmpo 2018,36.8685185185,12.1111111111,20.7777777778,0.582887700535,0.777777777778,2.33333333333,0.333333333333,0.601604278075,6.0,7.55555555556,0.794117647059,9.88888888889,5.0,1.66666666667,31.0,0.643094228287,28.2666666667,11.8444444444,34.3777777778,118.888888889,106.111111111
9,10,Giannis Antetokounmpo 2018,37.205,12.5,20.8,0.600961538462,0.7,2.1,0.333333333333,0.617788461538,6.2,7.9,0.784810126582,9.8,4.8,1.5,31.9,0.657027516889,26.72,12.79,34.63,119.4,108.4
10,11,Giannis Antetokounmpo 2018,37.0666666667,12.4545454545,21.0909090909,0.590517241379,0.636363636364,2.0,0.318181818182,0.605603448276,6.0,7.90909090909,0.758620689655,10.0,4.81818181818,1.45454545455,31.5454545455,0.641926890632,26.7545454545,11.9454545455,34.7090909091,118.454545455,106.272727273
11,12,Giannis Antetokounmpo 2018,37.3180555556,12.4166666667,20.9166666667,0.593625498008,0.583333333333,1.91666666667,0.304347826087,0.607569721116,6.25,8.16666666667,0.765306122449,10.4166666667,4.66666666667,1.41666666667,31.6666666667,0.645994832041,25.975,11.8833333333,34.2833333333,119.416666667,104.75
12,13,Giannis Antetokounmpo 2018,37.8179487179,12.2307692308,21.0,0.582417582418,0.538461538462,1.84615384615,0.291666666667,0.595238095238,6.30769230769,8.23076923077,0.766355140187,10.3076923077,4.84615384615,1.46153846154,31.3076923077,0.635778555361,26.0076923077,11.5230769231,33.9538461538,119.384615385,105.230769231
13,14,Giannis Antetokounmpo 2018,37.6107142857,11.9285714286,20.6428571429,0.57785467128,0.5,1.78571428571,0.28,0.589965397924,6.21428571429,8.07142857143,0.769911504425,10.0,4.57142857143,1.57142857143,30.5714285714,0.631790269249,24.5142857143,11.6928571429,33.6071428571,118.357142857,104.857142857
14,15,Giannis Antetokounmpo 2018,37.7511111111,11.6,20.6,0.563106796117,0.533333333333,1.8,0.296296296296,0.576051779935,6.4,8.4,0.761904761905,10.4666666667,4.4,1.66666666667,30.1333333333,0.620129513775,23.7066666667,11.6066666667,33.6666666667,116.8,105.266666667
15,16,Giannis Antetokounmpo 2018,37.8395833333,11.375,20.625,0.551515151515,0.5,1.875,0.266666666667,0.563636363636,6.4375,8.4375,0.762962962963,10.3125,4.375,1.5625,29.6875,0.609912686184,23.44375,10.88125,33.54375,115.875,105.6875
16,17,Giannis Antetokounmpo 2018,37.8395833333,11.375,20.625,0.551515151515,0.5,1.875,0.266666666667,0.563636363636,6.4375,8.4375,0.762962962963,10.3125,4.375,1.5625,29.6875,0.609912686184,23.44375,10.88125,33.54375,115.875,105.6875
17,18,Giannis Antetokounmpo 2018,37.9049019608,11.2941176471,20.4705882353,0.551724137931,0.470588235294,1.82352941176,0.258064516129,0.563218390805,6.47058823529,8.47058823529,0.763888888889,10.4705882353,4.41176470588,1.47058823529,29.5294117647,0.610171139634,23.3294117647,10.9470588235,33.3235294118,116.352941176,107.294117647
18,19,Giannis Antetokounmpo 2018,37.2574074074,11.2777777778,20.2222222222,0.557692307692,0.5,1.77777777778,0.28125,0.570054945055,6.61111111111,8.72222222222,0.757961783439,10.1666666667,4.44444444444,1.66666666667,29.6666666667,0.616514269881,24.3555555556,10.8055555556,33.9666666667,117.444444444,105.5
19,20,Giannis Antetokounmpo 2018,37.2210526316,11.0526315789,20.2105263158,0.546875,0.473684210526,1.73684210526,0.272727272727,0.55859375,6.57894736842,8.68421052632,0.757575757576,10.1052631579,4.47368421053,1.73684210526,29.1578947368,0.606657906264,24.1263157895,10.2368421053,33.7473684211,116.421052632,104.368421053
20,21,Giannis Antetokounmpo 2018,37.0575,10.9,19.95,0.546365914787,0.45,1.75,0.257142857143,0.557644110276,7.1,9.35,0.75935828877,10.25,4.5,1.8,29.35,0.609832114362,24.48,10.1,33.9,117.6,104.3
21,22,Giannis Antetokounmpo 2018,37.1547619048,11.0476190476,20.1428571429,0.548463356974,0.428571428571,1.71428571429,0.25,0.559101654846,7.33333333333,9.57142857143,0.766169154229,10.1904761905,4.47619047619,1.71428571429,29.8571428571,0.612975129047,24.6285714286,10.1761904762,34.3333333333,117.761904762,105.142857143
22,23,Giannis Antetokounmpo 2018,37.1810606061,10.9090909091,19.9545454545,0.546697038724,0.454545454545,1.77272727273,0.25641025641,0.558086560364,7.36363636364,9.68181818182,0.760563380282,10.2272727273,4.45454545455,1.68181818182,29.6363636364,0.611953746809,24.3136363636,10.7136363636,34.3136363636,117.181818182,105.318181818
23,24,Giannis Antetokounmpo 2018,37.4376811594,10.7826086957,19.9130434783,0.541484716157,0.434782608696,1.69565217391,0.25641025641,0.552401746725,7.52173913043,9.78260869565,0.768888888889,10.2608695652,4.39130434783,1.69565217391,29.5217391304,0.609515260323,23.7913043478,10.8608695652,34.1391304348,116.695652174,105.347826087
24,25,Giannis Antetokounmpo 2018,37.5201388889,10.9166666667,20.0,0.545833333333,0.458333333333,1.66666666667,0.275,0.557291666667,7.54166666667,9.75,0.773504273504,10.375,4.5,1.70833333333,29.8333333333,0.614107314395,24.1166666667,10.7083333333,34.0875,117.916666667,105.166666667
25,26,Giannis Antetokounmpo 2018,37.6873333333,11.0,20.16,0.545634920635,0.48,1.68,0.285714285714,0.55753968254,7.44,9.68,0.768595041322,10.32,4.48,1.84,29.92,0.612632682479,23.788,10.552,33.932,118.16,105.48
