,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Jimmy Butler 2018,35.4333333333,5.0,12.0,0.416666666667,2.0,3.0,0.666666666667,0.5,0.0,0.0,0.0,4.0,3.0,1.0,12.0,0.5,13.4,20.0,18.8,84.0,116.0
1,2,Jimmy Butler 2018,37.0083333333,5.0,13.0,0.384615384615,1.0,2.5,0.4,0.423076923077,1.5,1.5,1.0,5.5,3.0,3.0,12.5,0.457540263543,12.95,20.35,20.6,80.5,104.0
2,3,Jimmy Butler 2018,37.7222222222,5.66666666667,14.3333333333,0.395348837209,1.0,3.0,0.333333333333,0.43023255814,1.0,1.0,1.0,5.66666666667,4.0,2.0,13.3333333333,0.451263537906,15.7666666667,15.4333333333,20.2333333333,88.3333333333,107.333333333
3,4,Jimmy Butler 2018,37.7222222222,5.66666666667,14.3333333333,0.395348837209,1.0,3.0,0.333333333333,0.43023255814,1.0,1.0,1.0,5.66666666667,4.0,2.0,13.3333333333,0.451263537906,15.7666666667,15.4333333333,20.2333333333,88.3333333333,107.333333333
4,5,Jimmy Butler 2018,37.7222222222,5.66666666667,14.3333333333,0.395348837209,1.0,3.0,0.333333333333,0.43023255814,1.0,1.0,1.0,5.66666666667,4.0,2.0,13.3333333333,0.451263537906,15.7666666667,15.4333333333,20.2333333333,88.3333333333,107.333333333
5,6,Jimmy Butler 2018,37.8333333333,6.0,13.25,0.452830188679,0.75,2.25,0.333333333333,0.481132075472,3.5,4.0,0.875,5.5,4.75,1.5,16.25,0.541305796136,18.45,13.075,19.7,109.0,112.0
6,7,Jimmy Butler 2018,38.1666666667,5.8,13.2,0.439393939394,0.8,2.4,0.333333333333,0.469696969697,3.8,4.2,0.904761904762,5.4,4.4,1.8,16.2,0.538277511962,17.1,14.62,19.96,106.2,111.6
7,8,Jimmy Butler 2018,37.3472222222,6.16666666667,14.0,0.440476190476,0.666666666667,2.5,0.266666666667,0.464285714286,4.33333333333,5.16666666667,0.838709677419,5.16666666667,4.0,2.0,17.3333333333,0.532568619418,15.8833333333,13.55,21.75,106.0,108.833333333
8,9,Jimmy Butler 2018,36.8119047619,5.42857142857,13.0,0.417582417582,0.571428571429,2.42857142857,0.235294117647,0.43956043956,4.0,4.71428571429,0.848484848485,5.14285714286,4.42857142857,1.71428571429,15.4285714286,0.511751326763,17.0571428571,14.5,20.5428571429,103.0,108.714285714
9,10,Jimmy Butler 2018,36.0104166667,5.25,12.125,0.432989690722,0.75,2.375,0.315789473684,0.463917525773,3.875,4.5,0.861111111111,5.25,4.0,1.625,15.125,0.536157390996,15.55,16.325,19.7875,106.125,107.25
10,11,Jimmy Butler 2018,35.5055555556,5.22222222222,12.1111111111,0.43119266055,0.777777777778,2.33333333333,0.333333333333,0.463302752294,3.44444444444,4.0,0.861111111111,5.0,4.11111111111,1.66666666667,14.6666666667,0.528676706184,16.6111111111,15.3666666667,19.4777777778,105.0,108.333333333
11,12,Jimmy Butler 2018,36.0016666667,5.2,12.6,0.412698412698,0.8,2.4,0.333333333333,0.444444444444,4.5,5.2,0.865384615385,5.1,4.2,1.6,15.7,0.527270284793,16.74,14.94,20.15,106.0,109.3
12,13,Jimmy Butler 2018,36.2409090909,5.27272727273,12.5454545455,0.420289855072,0.727272727273,2.36363636364,0.307692307692,0.449275362319,4.90909090909,5.63636363636,0.870967741935,5.0,4.72727272727,1.63636363636,16.1818181818,0.538480154889,19.0454545455,14.5727272727,20.4181818182,109.181818182,109.0
13,14,Jimmy Butler 2018,35.9694444444,5.0,12.5833333333,0.397350993377,0.666666666667,2.25,0.296296296296,0.423841059603,4.66666666667,5.33333333333,0.875,5.0,4.75,1.75,15.3333333333,0.513507479348,19.1416666667,13.9166666667,20.5166666667,105.75,107.666666667
14,15,Jimmy Butler 2018,36.0743589744,5.23076923077,13.0769230769,0.4,0.846153846154,2.46153846154,0.34375,0.432352941176,4.46153846154,5.07692307692,0.878787878788,5.23076923077,4.69230769231,1.76923076923,15.7692307692,0.514971864952,19.0461538462,13.2153846154,20.9230769231,106.230769231,106.461538462
