,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Karl-Anthony Towns 2018,34.5,8.0,15.0,0.533333333333,0.0,1.0,0.0,0.533333333333,2.0,2.0,1.0,13.0,1.0,2.0,18.0,0.566750629723,5.4,11.2,23.0,105.0,103.0
1,2,Karl-Anthony Towns 2018,33.4916666667,7.5,13.5,0.555555555556,0.0,1.0,0.0,0.555555555556,4.0,5.0,0.8,11.5,1.0,1.5,19.0,0.605095541401,5.6,8.65,22.85,116.0,99.5
2,3,Karl-Anthony Towns 2018,34.1888888889,8.66666666667,14.6666666667,0.590909090909,0.666666666667,3.0,0.222222222222,0.613636363636,3.66666666667,4.33333333333,0.846153846154,11.6666666667,1.0,1.0,21.6666666667,0.653660498793,5.33333333333,11.7333333333,24.1,118.666666667,103.0
3,4,Karl-Anthony Towns 2018,33.3208333333,9.5,15.25,0.622950819672,0.5,2.5,0.2,0.639344262295,3.75,4.25,0.882352941176,10.5,1.25,0.75,23.25,0.679030373832,7.35,12.25,25.825,121.0,110.5
4,5,Karl-Anthony Towns 2018,33.8866666667,9.2,15.4,0.597402597403,1.0,3.2,0.3125,0.62987012987,3.8,4.2,0.904761904762,10.4,1.2,0.6,23.2,0.67254174397,6.88,12.7,25.76,119.0,112.6
5,6,Karl-Anthony Towns 2018,34.2472222222,9.66666666667,16.8333333333,0.574257425743,1.0,3.33333333333,0.3,0.60396039604,4.5,5.0,0.9,11.8333333333,1.0,0.5,24.8333333333,0.652364273205,5.73333333333,11.1666666667,26.9833333333,122.166666667,112.5
6,7,Karl-Anthony Towns 2018,34.9,9.28571428571,16.0,0.580357142857,1.28571428571,3.42857142857,0.375,0.620535714286,4.28571428571,4.85714285714,0.882352941176,11.8571428571,1.0,0.571428571429,24.1428571429,0.665563957152,5.52857142857,9.57142857143,25.1571428571,128.428571429,111.714285714
7,8,Karl-Anthony Towns 2018,33.3583333333,8.25,14.875,0.554621848739,1.125,3.0,0.375,0.59243697479,3.75,4.25,0.882352941176,11.0,0.875,0.625,21.375,0.638250223947,4.8375,12.925,24.5625,115.625,109.375
8,9,Karl-Anthony Towns 2018,33.2092592593,8.55555555556,15.2222222222,0.56204379562,1.22222222222,3.22222222222,0.379310344828,0.602189781022,4.11111111111,4.66666666667,0.880952380952,11.1111111111,1.0,0.555555555556,22.4444444444,0.649601234886,5.55555555556,12.4333333333,25.5333333333,118.222222222,108.444444444
9,10,Karl-Anthony Towns 2018,32.7416666667,8.2,14.8,0.554054054054,1.1,3.3,0.333333333333,0.591216216216,4.3,4.8,0.895833333333,10.9,1.1,0.5,21.8,0.644512771996,6.14,13.46,25.62,116.8,106.8
10,11,Karl-Anthony Towns 2018,32.2409090909,7.90909090909,14.4545454545,0.547169811321,1.09090909091,3.36363636364,0.324324324324,0.584905660377,4.36363636364,5.0,0.872727272727,11.0,1.09090909091,0.545454545455,21.2727272727,0.63864628821,6.12727272727,12.8363636364,25.3545454545,116.727272727,107.818181818
