,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Klay Thompson 2018,38.15,6.0,14.0,0.428571428571,4.0,7.0,0.571428571429,0.571428571429,0.0,0.0,0.0,6.0,3.0,2.0,16.0,0.571428571429,10.6,6.7,17.8,106.0,115.0
1,2,Klay Thompson 2018,37.35,9.5,16.5,0.575757575758,5.5,9.5,0.578947368421,0.742424242424,0.0,0.0,0.0,5.0,2.5,1.0,24.5,0.742424242424,9.7,5.85,20.05,132.5,116.5
2,3,Klay Thompson 2018,37.6277777778,8.0,16.3333333333,0.489795918367,4.33333333333,9.0,0.481481481481,0.622448979592,0.666666666667,0.666666666667,1.0,4.0,2.0,0.666666666667,21.0,0.63151563753,8.03333333333,3.9,19.6333333333,119.666666667,117.333333333
3,4,Klay Thompson 2018,35.2416666667,8.25,16.25,0.507692307692,4.0,9.0,0.444444444444,0.630769230769,0.5,0.5,1.0,4.0,2.25,0.5,21.0,0.63752276867,9.95,5.7,21.5,119.25,113.75
4,5,Klay Thompson 2018,35.88,8.4,16.0,0.525,4.0,8.4,0.47619047619,0.65,0.4,0.4,1.0,4.8,2.8,0.6,21.2,0.655291790307,11.9,8.78,21.78,118.0,113.8
5,6,Klay Thompson 2018,35.0972222222,8.33333333333,16.5,0.505050505051,3.66666666667,8.33333333333,0.44,0.616161616162,0.333333333333,0.333333333333,1.0,4.33333333333,2.83333333333,0.5,20.6666666667,0.620744893873,12.2,8.15,22.4,115.5,114.333333333
6,7,Klay Thompson 2018,34.8404761905,8.85714285714,16.8571428571,0.525423728814,3.71428571429,8.14285714286,0.456140350877,0.635593220339,0.428571428571,0.571428571429,0.75,4.0,2.42857142857,0.714285714286,21.8571428571,0.63877755511,10.4571428571,9.38571428571,23.7857142857,115.142857143,115.428571429
7,8,Klay Thompson 2018,34.2104166667,8.5,16.5,0.515151515152,3.375,7.625,0.44262295082,0.617424242424,0.625,0.75,0.833333333333,4.125,2.875,0.625,21.0,0.623885918004,12.0,10.3125,23.9625,114.375,116.0
8,9,Klay Thompson 2018,33.8148148148,8.77777777778,16.5555555556,0.530201342282,3.55555555556,7.66666666667,0.463768115942,0.637583892617,0.555555555556,0.666666666667,0.833333333333,4.0,2.77777777778,0.555555555556,21.6666666667,0.642970192561,12.0222222222,9.78888888889,24.3111111111,116.666666667,114.555555556
9,10,Klay Thompson 2018,33.3683333333,8.5,16.1,0.527950310559,3.5,7.5,0.466666666667,0.636645962733,0.5,0.6,0.833333333333,3.8,2.7,0.6,21.0,0.641652407724,11.63,10.24,23.93,115.1,114.0
10,11,Klay Thompson 2018,33.2696969697,8.18181818182,16.0,0.511363636364,3.45454545455,7.54545454545,0.457831325301,0.619318181818,0.454545454545,0.545454545455,0.833333333333,4.0,2.63636363636,0.636363636364,20.2727272727,0.624160322436,11.6727272727,10.3818181818,23.8181818182,112.636363636,111.181818182
11,12,Klay Thompson 2018,33.2680555556,8.41666666667,16.3333333333,0.515306122449,3.66666666667,7.91666666667,0.463157894737,0.627551020408,0.416666666667,0.583333333333,0.714285714286,4.08333333333,2.66666666667,0.666666666667,20.9166666667,0.630399839261,11.825,9.90833333333,24.1416666667,113.0,110.166666667
