,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Lou Williams 2018,24.6833333333,5.0,12.0,0.416666666667,1.0,4.0,0.25,0.458333333333,1.0,1.0,1.0,3.0,6.0,2.0,12.0,0.48231511254,36.1,13.9,22.2,105.0,87.0
1,2,Lou Williams 2018,24.45,6.0,12.5,0.48,1.5,4.5,0.333333333333,0.54,1.5,2.0,0.75,3.0,6.0,1.0,15.0,0.560538116592,35.5,10.2,24.5,119.0,90.0
2,3,Lou Williams 2018,22.5944444444,5.0,11.6666666667,0.428571428571,1.33333333333,4.33333333333,0.307692307692,0.485714285714,1.66666666667,2.0,0.833333333333,2.66666666667,5.33333333333,1.0,13.0,0.518065887354,34.4666666667,9.6,25.9,113.0,91.6666666667
3,4,Lou Williams 2018,21.5791666667,5.0,11.0,0.454545454545,1.5,4.25,0.352941176471,0.522727272727,1.5,2.0,0.75,2.0,4.25,0.75,13.0,0.547138047138,28.65,7.2,25.575,121.25,101.0
4,5,Lou Williams 2018,21.59,4.6,10.6,0.433962264151,1.4,4.2,0.333333333333,0.5,1.8,2.2,0.818181818182,2.0,4.0,0.6,12.4,0.535961272476,29.16,9.0,25.36,116.4,102.4
5,6,Lou Williams 2018,22.2666666667,4.33333333333,10.1666666667,0.426229508197,1.33333333333,4.0,0.333333333333,0.491803278689,3.16666666667,3.66666666667,0.863636363636,1.83333333333,3.83333333333,0.5,13.1666666667,0.558856819468,27.1,10.65,25.5333333333,116.833333333,109.666666667
6,7,Lou Williams 2018,21.6595238095,4.42857142857,9.85714285714,0.449275362319,1.42857142857,3.85714285714,0.37037037037,0.521739130435,3.42857142857,3.85714285714,0.888888888889,2.14285714286,3.85714285714,0.428571428571,13.7142857143,0.593471810089,28.7285714286,10.4,25.8714285714,123.0,108.714285714
7,8,Lou Williams 2018,21.875,4.375,10.125,0.432098765432,1.375,4.0,0.34375,0.5,3.5,3.875,0.903225806452,2.25,3.5,0.5,13.625,0.575866441251,26.0,11.9125,26.8,118.125,110.625
8,9,Lou Williams 2018,22.7444444444,4.77777777778,11.0,0.434343434343,1.44444444444,4.44444444444,0.325,0.5,3.55555555556,3.88888888889,0.914285714286,2.22222222222,3.33333333333,0.444444444444,14.5555555556,0.572552447552,24.8111111111,12.0555555556,27.3666666667,117.555555556,111.777777778
9,10,Lou Williams 2018,23.165,5.0,11.3,0.442477876106,1.6,4.7,0.340425531915,0.513274336283,3.2,3.5,0.914285714286,2.1,3.3,0.5,14.8,0.576323987539,24.14,12.1,27.31,117.2,113.4
10,11,Lou Williams 2018,24.6136363636,5.72727272727,12.2727272727,0.466666666667,2.0,5.36363636364,0.372881355932,0.548148148148,3.18181818182,3.45454545455,0.921052631579,2.54545454545,3.27272727273,0.454545454545,16.6363636364,0.603084629581,23.4,12.0363636364,27.3727272727,119.818181818,114.727272727
11,12,Lou Williams 2018,25.5791666667,5.66666666667,12.5833333333,0.450331125828,1.91666666667,5.33333333333,0.359375,0.526490066225,3.16666666667,3.41666666667,0.926829268293,2.5,3.16666666667,0.583333333333,16.4166666667,0.582702318978,22.225,11.9,27.05,116.583333333,114.333333333
12,13,Lou Williams 2018,26.5,5.92307692308,13.0769230769,0.452941176471,2.15384615385,5.69230769231,0.378378378378,0.535294117647,3.53846153846,3.92307692308,0.901960784314,2.84615384615,3.38461538462,0.923076923077,17.5384615385,0.592392434005,22.9230769231,11.5923076923,27.2153846154,117.846153846,113.153846154
13,14,Lou Williams 2018,27.2595238095,5.85714285714,13.2857142857,0.440860215054,2.0,5.64285714286,0.354430379747,0.516129032258,3.5,3.85714285714,0.907407407407,2.78571428571,3.64285714286,0.928571428571,17.2142857143,0.574466056445,23.1214285714,12.1071428571,27.0214285714,115.142857143,113.214285714
14,15,Lou Williams 2018,27.3988888889,6.13333333333,13.5333333333,0.453201970443,2.0,5.66666666667,0.352941176471,0.527093596059,3.46666666667,4.0,0.866666666667,2.73333333333,3.66666666667,0.866666666667,17.7333333333,0.579773321709,24.2,12.4266666667,27.6666666667,114.4,113.2
15,16,Lou Williams 2018,27.3177083333,5.875,13.1875,0.445497630332,2.0,5.625,0.355555555556,0.521327014218,3.375,3.875,0.870967741935,2.6875,3.5625,0.875,17.125,0.574953835823,23.5625,13.9,27.3875,111.3125,113.3125
16,17,Lou Williams 2018,27.9009803922,5.94117647059,13.2941176471,0.446902654867,2.05882352941,5.64705882353,0.364583333333,0.524336283186,3.35294117647,3.82352941176,0.876923076923,2.58823529412,3.82352941176,0.882352941176,17.2941176471,0.577376276512,23.9117647059,14.6647058824,27.4823529412,111.0,113.529411765
