Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
1,Average Backcourt MVP - Past 30 Years,36.8033333333,10.4,21.5333333333,0.491359930054,1.26666666667,3.93333333333,0.292275132275,0.521705507144,7.6,9.4,0.79772005772,6.6,6.93333333333,2.4,29.6666666667,0.589315550153,34.38,12.12,33.42,118.2,95.2666666667
2,Average Backcourt MVP - Past 30 Years,36.2877777778,9.73333333333,20.4,0.479192213164,1.26666666667,3.96666666667,0.291361089891,0.511557783803,6.96666666667,8.46666666667,0.85175993706,6.66666666667,7.06666666667,2.4,27.7,0.580768435914,34.01,13.5233333333,31.7666666667,117.833333333,96.3
3,Average Backcourt MVP - Past 30 Years,36.49,9.8,19.9777777778,0.495079449312,1.31111111111,3.77777777778,0.319636844637,0.52874994365,6.64444444444,7.93333333333,0.861722460253,6.31111111111,7.33333333333,2.35555555556,27.5555555556,0.595112321141,35.1911111111,14.0555555556,30.6155555556,120.066666667,97.0888888889
4,Average Backcourt MVP - Past 30 Years,36.4319444444,9.7,19.6666666667,0.493823839511,1.35,3.88333333333,0.308922172017,0.52837675787,6.35,7.56666666667,0.858415275102,6.16666666667,7.43333333333,2.05,27.1,0.591804766585,35.4466666667,13.6816666667,30.4783333333,120.25,98.05
5,Average Backcourt MVP - Past 30 Years,36.9073333333,9.68,19.5333333333,0.497228343391,1.41333333333,3.84,0.318200295257,0.534078600367,6.28,7.48,0.853228505368,6.09333333333,7.57333333333,2.04,27.0533333333,0.595306982023,35.596,13.8586666667,30.3813333333,119.933333333,99.4
6,Average Backcourt MVP - Past 30 Years,36.7190740741,9.53333333333,19.2555555556,0.497841695153,1.47777777778,3.9,0.32611338045,0.537196319383,5.86666666667,7.03333333333,0.847917849829,5.82222222222,7.56666666667,2.08888888889,26.4111111111,0.59520688059,35.8644444444,13.8922222222,30.0455555556,119.388888889,99.3
7,Average Backcourt MVP - Past 30 Years,36.6574603175,9.26666666667,19.0,0.489518380421,1.38095238095,3.92380952381,0.30777602505,0.526978195028,5.79047619048,6.91428571429,0.849629929773,5.79047619048,7.55238095238,1.9619047619,25.7047619048,0.586491797841,35.6876190476,14.0704761905,29.8076190476,118.238095238,99.5619047619
8,Average Backcourt MVP - Past 30 Years,36.6731944444,9.04166666667,18.8,0.483867808365,1.34166666667,3.88333333333,0.298314810987,0.520960315361,5.9,6.99166666667,0.85869563524,5.75,7.575,2.025,25.325,0.583497069122,35.43,14.3725,29.6966666667,117.458333333,99.6833333333
9,Average Backcourt MVP - Past 30 Years,36.6880246914,9.08148148148,18.8814814815,0.484225344838,1.31851851852,3.77777777778,0.303931857667,0.520572483958,5.92592592593,6.98518518519,0.860528611756,5.83703703704,7.65925925926,2.08888888889,25.4074074074,0.583299243498,35.5748148148,14.1888888889,29.7725925926,117.82962963,99.4296296296
10,Average Backcourt MVP - Past 30 Years,36.8175555556,9.26,19.04,0.49002716095,1.38,3.78,0.315596849045,0.527727914463,5.96,7.04666666667,0.85653551865,5.8,7.75333333333,2.08,25.86,0.589341291213,35.7853333333,14.1426666667,29.8826666667,118.573333333,99.9533333333
11,Average Backcourt MVP - Past 30 Years,36.852020202,9.20606060606,19.0848484848,0.485344517087,1.34545454545,3.7696969697,0.306110534096,0.522203474033,5.9696969697,7.04848484848,0.855211138213,5.73333333333,7.64848484848,2.05454545455,25.7272727273,0.584597969148,35.6696969697,14.2327272727,30.0012121212,117.460606061,100.157575758
12,Average Backcourt MVP - Past 30 Years,37.0690740741,9.26111111111,19.2944444444,0.483501453829,1.33333333333,3.75555555556,0.303472439245,0.519515838462,6.02222222222,7.13333333333,0.851437003123,5.72777777778,7.63333333333,2.02222222222,25.8777777778,0.581612635637,35.5883333333,14.0733333333,30.1477777778,116.95,100.333333333
13,Average Backcourt MVP - Past 30 Years,37.0637606838,9.34358974359,19.3384615385,0.486117046629,1.3641025641,3.76923076923,0.307848033224,0.523218798804,6.12820512821,7.2,0.858023432495,5.77948717949,7.6358974359,2.02051282051,26.1794871795,0.586179185014,35.5205128205,14.04,30.2302564103,117.358974359,100.38974359
