Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
1,Average Frontcourt MVP - Past 30 Years,38.6666666667,9.13333333333,18.6666666667,0.491304969876,0.666666666667,2.0,0.112962962963,0.507643353715,7.66666666667,10.2666666667,0.722500174404,12.1333333333,4.26666666667,1.73333333333,26.6,0.571903174718,22.5866666667,10.66,30.26,115.666666667,96.2
2,Average Frontcourt MVP - Past 30 Years,37.6933333333,8.73333333333,17.9333333333,0.490478483019,0.5,1.66666666667,0.117289377289,0.50419891214,6.83333333333,9.43333333333,0.715920704119,10.8666666667,4.66666666667,1.2,24.8,0.56471723563,25.4466666667,12.0166666667,30.1066666667,112.933333333,99.8666666667
3,Average Frontcourt MVP - Past 30 Years,38.107037037,8.97777777778,17.6444444444,0.510277829252,0.444444444444,1.44444444444,0.123747276688,0.522817917478,6.55555555556,8.86666666667,0.732750017964,10.9555555556,4.68888888889,1.2,24.9555555556,0.579827058367,24.7666666667,11.7844444444,29.2866666667,115.755555556,98.0444444444
4,Average Frontcourt MVP - Past 30 Years,37.8375,9.15,17.8,0.512402559484,0.383333333333,1.35,0.108956228956,0.523584123018,6.25,8.61666666667,0.729269224491,10.9333333333,4.5,1.2,24.9333333333,0.576411609764,23.34,11.6983333333,29.4933333333,114.983333333,97.8666666667
5,Average Frontcourt MVP - Past 30 Years,37.9133333333,9.25333333333,17.5733333333,0.526632205856,0.4,1.34666666667,0.11306142167,0.538592345082,6.53333333333,8.88,0.744997707246,10.92,4.50666666667,1.28,25.44,0.592124999364,23.1786666667,12.3026666667,29.276,116.84,97.4
6,Average Frontcourt MVP - Past 30 Years,37.845,9.14444444444,17.5777777778,0.522075909206,0.388888888889,1.37777777778,0.113163944344,0.533444808526,6.34444444444,8.64444444444,0.736147831383,10.7666666667,4.44444444444,1.21111111111,25.0222222222,0.585114462701,22.8,12.4044444444,29.2511111111,115.477777778,97.8777777778
7,Average Frontcourt MVP - Past 30 Years,37.8844444444,9.15238095238,17.8285714286,0.515271772328,0.428571428571,1.45714285714,0.124775355364,0.527438329421,6.49523809524,8.7619047619,0.734312965288,10.8285714286,4.47619047619,1.19047619048,25.2285714286,0.581678652512,23.2485714286,12.0647619048,29.4695238095,115.438095238,97.2380952381
8,Average Frontcourt MVP - Past 30 Years,38.13,9.23333333333,18.0083333333,0.513284266716,0.475,1.525,0.128584311019,0.526549052332,6.58333333333,8.88333333333,0.735068873826,10.6416666667,4.5,1.21666666667,25.525,0.582124412208,23.3241666667,12.0691666667,29.6458333333,115.491666667,97.8666666667
9,Average Frontcourt MVP - Past 30 Years,38.3485185185,9.34814814815,18.1185185185,0.516313427983,0.466666666667,1.5037037037,0.128285714286,0.529330731724,6.65925925926,9.04444444444,0.732157528389,10.6,4.58518518519,1.18518518519,25.8222222222,0.584474936645,23.5614814815,12.3081481481,29.84,115.488888889,98.1407407407
10,Average Frontcourt MVP - Past 30 Years,38.4324444444,9.37333333333,18.1733333333,0.516137564336,0.473333333333,1.52666666667,0.131217102717,0.529116280717,6.71333333333,9.13333333333,0.735255596859,10.62,4.64666666667,1.18666666667,25.9333333333,0.583939190615,23.8173333333,12.1313333333,29.848,115.846666667,98.2666666667
11,Average Frontcourt MVP - Past 30 Years,38.4482828283,9.42424242424,18.3878787879,0.5126726244,0.515151515152,1.60606060606,0.15580213404,0.526709892862,6.78787878788,9.27878787879,0.734732981084,10.6787878788,4.69090909091,1.16363636364,26.1515151515,0.581595488091,23.9339393939,12.0315151515,30.1745454545,115.812121212,98.3151515152
12,Average Frontcourt MVP - Past 30 Years,38.4923148148,9.38888888889,18.4666666667,0.508161017772,0.538888888889,1.62222222222,0.166230810934,0.522912409004,6.78333333333,9.25555555556,0.737367291316,10.7611111111,4.75555555556,1.16666666667,26.1,0.578765087716,24.29,11.9472222222,30.2661111111,115.672222222,98.2111111111
13,Average Frontcourt MVP - Past 30 Years,38.4513675214,9.43076923077,18.4820512821,0.510009125681,0.54358974359,1.63076923077,0.16947036269,0.524783331698,6.76923076923,9.15897435897,0.744669858458,10.7435897436,4.72820512821,1.15897435897,26.1743589744,0.581147079564,24.1835897436,12.0435897436,30.3297435897,115.943589744,97.9692307692
14,Average Frontcourt MVP - Past 30 Years,38.5692857143,9.39523809524,18.4047619048,0.509874066945,0.542857142857,1.61428571429,0.170684823388,0.52468694338,6.75714285714,9.12380952381,0.743129706074,10.7142857143,4.68571428571,1.17619047619,26.0904761905,0.581534438087,23.8523809524,12.0819047619,30.1885714286,115.9,97.9952380952
15,Average Frontcourt MVP - Past 30 Years,38.3565185185,9.43555555556,18.3955555556,0.512240131351,0.537777777778,1.59555555556,0.170325315828,0.526992595357,6.63111111111,8.94666666667,0.744713997799,10.7555555556,4.70666666667,1.21333333333,26.04,0.582768612277,24.0928888889,11.9671111111,30.2302222222,116.293333333,97.64
16,Average Frontcourt MVP - Past 30 Years,38.2913888889,9.35416666667,18.2666666667,0.511305887942,0.545833333333,1.60833333333,0.169889661079,0.526226186357,6.50833333333,8.825,0.740601440739,10.7583333333,4.74583333333,1.24166666667,25.7625,0.581189765361,24.2504166667,12.0291666667,30.0479166667,116.025,97.4958333333
17,Average Frontcourt MVP - Past 30 Years,38.3993464052,9.4,18.3607843137,0.511257621319,0.560784313725,1.62745098039,0.181902899827,0.526506173032,6.50588235294,8.80392156863,0.742214917345,10.7176470588,4.74901960784,1.23921568627,25.8666666667,0.581308377045,24.1874509804,12.0035294118,30.0654901961,116.105882353,97.9843137255
18,Average Frontcourt MVP - Past 30 Years,38.2858024691,9.33333333333,18.2259259259,0.511301596445,0.544444444444,1.61111111111,0.176954124869,0.526165072232,6.46296296296,8.71481481481,0.74358914066,10.637037037,4.74444444444,1.24814814815,25.6740740741,0.581401499023,24.0896296296,11.9722222222,29.942962963,116.096296296,97.6148148148
19,Average Frontcourt MVP - Past 30 Years,38.2666666667,9.3649122807,18.2701754386,0.512059536598,0.557894736842,1.6,0.196629762442,0.527303010095,6.50877192982,8.77894736842,0.743033998586,10.6701754386,4.75087719298,1.24912280702,25.7964912281,0.58254435632,24.1136842105,11.8750877193,30.0828070175,116.4,97.7087719298
20,Average Frontcourt MVP - Past 30 Years,38.3103888889,9.37,18.2533333333,0.512744499858,0.553333333333,1.58333333333,0.196949970787,0.527892656383,6.51333333333,8.78666666667,0.743715435013,10.6666666667,4.77,1.27666666667,25.8066666667,0.58317786339,24.1593333333,12.0923333333,30.0806666667,116.286666667,97.4766666667
21,Average Frontcourt MVP - Past 30 Years,38.1954497354,9.39047619048,18.2507936508,0.513934655635,0.565079365079,1.6126984127,0.197505367251,0.529324334048,6.52380952381,8.76825396825,0.7459346585,10.6793650794,4.69523809524,1.26984126984,25.8698412698,0.584701552033,23.8720634921,12.1257142857,30.1580952381,116.501587302,97.4380952381
22,Average Frontcourt MVP - Past 30 Years,38.1477272727,9.35454545455,18.1909090909,0.513646997633,0.569696969697,1.61515151515,0.197567073336,0.529243237367,6.47575757576,8.69696969697,0.745736215808,10.7151515152,4.71212121212,1.26363636364,25.7545454545,0.584566555843,23.906969697,12.1390909091,30.0681818182,116.645454545,97.2818181818
23,Average Frontcourt MVP - Past 30 Years,38.172173913,9.34492753623,18.1739130435,0.513606643159,0.565217391304,1.60289855072,0.197088622515,0.52906377544,6.49855072464,8.71014492754,0.747305956144,10.6898550725,4.73043478261,1.24347826087,25.7536231884,0.584853752527,23.9907246377,12.1779710145,30.0823188406,116.620289855,97.2376811594
24,Average Frontcourt MVP - Past 30 Years,38.2094907407,9.37777777778,18.2527777778,0.513289969872,0.575,1.61111111111,0.198640753733,0.528924298875,6.45833333333,8.68055555556,0.745064984518,10.625,4.72222222222,1.25833333333,25.7888888889,0.583948344901,23.9144444444,12.1908333333,30.1233333333,116.383333333,97.1194444444
25,Average Frontcourt MVP - Past 30 Years,38.2741777778,9.38933333333,18.28,0.513285880519,0.576,1.62933333333,0.199477616553,0.528914009359,6.45333333333,8.70933333333,0.743026020221,10.6506666667,4.77333333333,1.272,25.808,0.583484908288,24.0378666667,12.0733333333,30.1032,116.541333333,97.24
26,Average Frontcourt MVP - Past 30 Years,38.273974359,9.39743589744,18.3076923077,0.512888692191,0.571794871795,1.63076923077,0.197186055364,0.528398778288,6.45897435897,8.70256410256,0.745481935873,10.6358974359,4.78461538462,1.2641025641,25.8256410256,0.583297616162,24.1456410256,12.1115384615,30.1623076923,116.358974359,97.2974358974
27,Average Frontcourt MVP - Past 30 Years,38.2903292181,9.41481481481,18.3160493827,0.513555727975,0.587654320988,1.64938271605,0.200155739594,0.529538530119,6.45679012346,8.6962962963,0.745973771355,10.6049382716,4.77283950617,1.26666666667,25.8740740741,0.584258880962,24.112345679,12.1325925926,30.2054320988,116.407407407,97.4197530864
