Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
1,Average MVP,37.735,9.76666666667,20.1,0.491332449965,0.966666666667,2.96666666667,0.202619047619,0.51467443043,7.63333333333,9.83333333333,0.760110116062,9.36666666667,5.6,28.1333333333,0.580609362436,28.4833333333,11.39,31.84,116.933333333,95.7333333333
2,Average MVP,36.9905555556,9.23333333333,19.1666666667,0.484835348091,0.883333333333,2.81666666667,0.20432523359,0.507878347972,6.9,8.95,0.78384032059,8.76666666667,5.86666666667,26.25,0.572742835772,29.7283333333,12.77,30.9366666667,115.383333333,98.0833333333
3,Average MVP,37.2985185185,9.38888888889,18.8111111111,0.502678639282,0.877777777778,2.61111111111,0.221692060663,0.525783930564,6.6,8.4,0.797236239109,8.63333333333,6.01111111111,26.2555555556,0.587469689754,29.9788888889,12.92,29.9511111111,117.911111111,97.5666666667
4,Average MVP,37.1347222222,9.425,18.7333333333,0.503113199497,0.866666666667,2.61666666667,0.208939200486,0.525980440444,6.3,8.09166666667,0.793842249796,8.55,5.96666666667,26.0166666667,0.584108188175,29.3933333333,12.69,29.9858333333,117.616666667,97.9583333333
5,Average MVP,37.4103333333,9.46666666667,18.5533333333,0.511930274624,0.906666666667,2.59333333333,0.215630858464,0.536335472724,6.40666666667,8.18,0.799113106307,8.50666666667,6.04,26.2466666667,0.593715990693,29.3873333333,13.0806666667,29.8286666667,118.386666667,98.4
6,Average MVP,37.282037037,9.33888888889,18.4166666667,0.50995880218,0.933333333333,2.63888888889,0.219638662397,0.535320563954,6.10555555556,7.83888888889,0.792032840606,8.29444444444,6.00555555556,25.7166666667,0.590160671646,29.3322222222,13.1483333333,29.6483333333,117.433333333,98.5888888889
7,Average MVP,37.270952381,9.20952380952,18.4142857143,0.502395076375,0.904761904762,2.69047619048,0.216275690207,0.527208262224,6.14285714286,7.8380952381,0.791971447531,8.30952380952,6.01428571429,25.4666666667,0.584085225177,29.4680952381,13.0676190476,29.6385714286,116.838095238,98.4
8,Average MVP,37.4015972222,9.1375,18.4041666667,0.49857603754,0.908333333333,2.70416666667,0.213449561003,0.523754683846,6.24166666667,7.9375,0.796882254533,8.19583333333,6.0375,25.425,0.582810740665,29.3770833333,13.2208333333,29.67125,116.475,98.775
9,Average MVP,37.5182716049,9.21481481481,18.5,0.500269386411,0.892592592593,2.64074074074,0.216108785976,0.524951607841,6.29259259259,8.01481481481,0.796343070073,8.21851851852,6.12222222222,25.6148148148,0.583887090072,29.5681481481,13.2485185185,29.8062962963,116.659259259,98.7851851852
10,Average MVP,37.625,9.31666666667,18.6066666667,0.503082362643,0.926666666667,2.65333333333,0.223406975881,0.52842209759,6.33666666667,8.09,0.795895557754,8.21,6.2,25.8966666667,0.586640240914,29.8013333333,13.137,29.8653333333,117.21,99.11
11,Average MVP,37.6501515152,9.31515151515,18.7363636364,0.499008570743,0.930303030303,2.68787878788,0.230956334068,0.524456683447,6.37878787879,8.16363636364,0.794972059649,8.20606060606,6.1696969697,25.9393939394,0.583096728619,29.8018181818,13.1321212121,30.0878787879,116.636363636,99.2363636364
12,Average MVP,37.7806944444,9.325,18.8805555556,0.495831235801,0.936111111111,2.68888888889,0.234851625089,0.521214123733,6.40277777778,8.19444444444,0.79440214722,8.24444444444,6.19444444444,25.9888888889,0.580188861676,29.9391666667,13.0102777778,30.2069444444,116.311111111,99.2722222222
13,Average MVP,37.7575641026,9.38717948718,18.9102564103,0.498063086155,0.953846153846,2.7,0.238659197957,0.524001065251,6.44871794872,8.17948717949,0.801346645477,8.26153846154,6.18205128205,26.1769230769,0.583663132289,29.8520512821,13.0417948718,30.28,116.651282051,99.1794871795
14,Average MVP,37.8453571429,9.40238095238,18.919047619,0.498869392737,0.945238095238,2.68333333333,0.236570803877,0.524607612487,6.40476190476,8.12142857143,0.800845817835,8.25238095238,6.18333333333,26.1547619048,0.584075222131,29.8957142857,12.9823809524,30.2383333333,116.75952381,99.1785714286
15,Average MVP,37.6836666667,9.45111111111,18.8977777778,0.501956397674,0.94,2.67333333333,0.237323260212,0.527704055517,6.32888888889,8.04,0.79939358997,8.28222222222,6.18222222222,26.1711111111,0.586105733286,29.9751111111,12.8824444444,30.2606666667,117.188888889,99.0688888889
16,Average MVP,37.6163541667,9.38125,18.7854166667,0.50116486582,0.9375,2.67708333333,0.240674163168,0.526829967394,6.26666666667,7.975,0.797927250063,8.26041666667,6.2125,25.9666666667,0.585112795576,30.130625,12.8227083333,30.1195833333,117.204166667,99.0354166667
