Game,mean,,,,,
1,28.13333333,,,,,
2,26.25,,,,,
3,26.256,,,,,
4,26.01666667,,,,,
5,26.24666667,,,,,
6,25.717,,,,,
7,25.46666667,,,,,
8,25.42533333,,,,,
9,25.615,,,,,
10,25.89666667,,,,,
11,25.93933333,,,,,
12,25.98866667,,,,,
13,26.17666667,,,,,
14,26.155,,,,,
15,26.17133333,,,,,
16,25.96666667,,,,,
17,26.058,,,,,
18,25.91066667,,,,,
19,25.916,,,,,
20,25.93833333,,,,,
21,25.95766667,,,,,
22,25.87666667,,,,,
23,25.877,,,,,
24,25.918,,,,,
25,25.916,,,,,
26,25.87366667,,,,,
27,25.91833333,,,,,
28,26.01566667,,,,,
29,26.07066667,,,,,
30,26.081,,,,,
31,26.20911111,,,,,
32,26.18911111,,,,,
33,26.21466667,,,,,
34,26.249,,,,,
35,26.33033333,,,,,
36,26.38066667,,,,,
37,26.43033333,,,,,
38,26.49033333,,,,,
39,26.49466667,,,,,
40,26.51933333,,,,,
41,26.55133333,,,,,
42,26.584,,,,,
43,26.58433333,,,,,
44,26.55721705,,,,,
45,26.596,,,,,
46,26.59366667,,,,,
47,26.622,,,,,
48,26.59366667,,,,,
49,26.599,,,,,
50,26.74103448,,,,,
51,26.83482759,,,,,
52,26.84241379,,,,,
53,26.84432361,,,,,
54,26.8837931,,,,,
55,26.87655172,,,,,
56,26.83517241,,,,,
57,26.84,,,,,
58,26.8337931,,,,,
59,26.84546798,,,,,
60,26.91724138,,,,,
61,26.89896552,,,,,
62,26.93689655,,,,,
63,26.93464286,,,,,
64,26.99266129,,,,,
65,27.00785714,,,,,
66,27.04428571,,,,,
67,27.04857143,,,,,
68,27.03714286,,,,,
69,27.0425,,,,,
70,27.02321429,,,,,
71,27.0425,,,,,
72,26.93259259,,,,,
73,26.91825103,,,,,
74,26.92602881,,,,,
75,26.9586214,,,,,
76,27.38230769,,,,,
77,27.34708333,,,,,
78,27.52864865,,,,,
79,27.66909091,,,,,
80,28.30684211,,,,,
81,28.22482198,,,,,
82,28.86303644,,,,,
