,Game,PTS_G
0,1,32.00
1,2,41.50
2,3,38.67
3,4,37.75
4,5,34.20
5,6,33.17
6,7,30.43
7,8,31.12
8,9,30.89
9,10,31.90
10,11,32.00
11,12,31.83
12,13,31.69
13,14,31.64
14,15,31.80
15,16,31.75
16,17,32.00
17,18,31.17
18,19,30.95
19,20,31.15
20,21,31.00
21,22,31.05
22,23,30.87
23,24,31.12
24,25,30.68
25,26,30.54
26,27,30.37
27,28,30.93
28,29,31.31
29,30,31.77
30,31,31.74
31,32,31.66
32,33,31.33
33,34,30.91
34,35,30.89
35,36,30.94
36,37,31.43
37,38,31.45
38,39,31.18
39,40,31.00
40,41,30.76
41,42,30.88
42,43,30.72
43,44,30.64
44,45,30.80
45,46,30.72
46,47,31.02
47,48,30.79
48,49,30.71
49,50,30.66
50,51,30.80
51,52,31.02
52,53,30.94
53,54,30.91
54,55,31.20
55,56,30.95
56,57,31.07
57,58,30.83
58,59,31.00
59,60,31.20
60,61,31.43
61,62,31.69
62,63,31.65
63,64,32.06
64,65,31.92
65,66,31.94
66,67,31.84
67,68,31.72
68,69,31.67
69,70,31.43
70,71,31.24
71,72,31.35
72,73,31.42
73,74,31.77
74,75,31.77
75,76,31.88
76,77,31.62
77,78,31.79
78,79,31.68
79,80,31.91
80,82,31.58
