Name,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
LeBron James,28.0,8.2,2.4,10.6,0.212,7.2,2.0,9.2,6.9
James Harden,30.4,9.9,2.9,12.8,0.298,10.0,1.0,11.0,6.8
Giannis Antetokounmpo,27.8,7.3,3.2,10.5,0.219,4.1,2.2,6.3,4.9
Kevin Durant,25.8,6.6,2.6,9.2,0.221,4.9,0.8,5.7,3.9
Kyrie Irving,25.1,6.4,2.7,9.1,0.228,7.1,-0.6,6.5,4.1
Stephen Curry,27.9,7.1,1.9,9.0,0.268,9.7,-1.3,8.3,4.2
Russell Westbrook,24.7,4.3,3.8,8.1,0.162,4.9,3.0,8.0,6.0
DeMar DeRozan,22.2,6.1,2.5,8.6,0.187,3.3,-0.7,2.7,2.6
Anthony Davis,28.8,7.2,3.4,10.6,0.24,3.1,1.7,4.8,3.6
Kyle Lowry,19.7,5.5,2.7,8.2,0.197,5.3,0.7,6.0,4.0
Karl-Anthony Towns,24.6,8.3,2.8,11.1,0.226,4.1,1.2,5.3,4.3
Nikola Jokic,23.7,5.6,2.2,7.7,0.2,4.3,2.3,6.7,4.1
Paul George,19.2,4.3,3.4,7.7,0.157,2.8,0.2,2.9,3.0
Gary Harris,16.8,3.9,1.5,5.4,0.12,2.7,-1.3,1.4,1.9
Klay Thompson,16.1,3.2,1.6,4.8,0.104,1.9,-2.2,-0.3,1.0
Draymond Green,16.4,2.7,2.9,5.6,0.141,0.7,2.9,3.6,2.7
Chris Paul,24.7,6.2,2.1,8.4,0.266,6.2,1.1,7.2,3.5
Brandon Ingram,13.9,1.0,1.7,2.8,0.07,-1.6,0.2,-1.3,0.3
DeMarcus Cousins,22.7,1.6,3.0,4.6,0.127,1.9,3.4,5.3,3.2
Victor Oladipo,23.2,3.6,3.1,6.7,0.156,3.5,0.9,4.4,3.3
Lou Williams,21.2,5.1,1.2,6.3,0.146,4.6,-2.7,1.9,2.0
Blake Griffin,19.6,2.5,1.6,4.2,0.117,2.6,0.0,2.6,2.0
Jimmy Butler,23.6,6.9,1.7,8.6,0.198,4.8,0.0,4.9,3.6
Kristaps Porzingis,20.5,1.5,1.9,3.4,0.106,-0.3,0.0,-0.3,0.7
Joel Embiid,22.8,2.0,3.1,5.1,0.148,0.3,2.3,2.6,1.9
Ben Simmons,19.1,2.7,3.6,6.3,0.137,0.6,3.1,3.7,3.2
Devin Booker,18.8,2.3,0.5,2.8,0.074,3.4,-2.6,0.8,1.3
Damian Lillard,24.8,7.6,2.2,9.9,0.22,7.3,-0.8,6.5,4.6
Donovan Mitchell,16.5,0.9,2.8,3.7,0.086,1.2,-0.3,0.8,1.5
Bradley Beal,19.1,4.0,2.2,6.1,0.121,3.0,-0.9,2.1,2.5
Bogdan Bogdanovic,14.2,1.8,0.7,2.6,0.071,0.8,-1.5,-0.7,0.6
